生詞,拼音,越南語翻譯,泰文翻譯（含音標）,法文（含音標）,法文例句
五金百貨,wǔjīn bǎihuò,Cửa hàng kim khí / Đồ gia dụng,ร้านขายอุปกรณ์ก่อสร้าง (ráan-khǎay-ùp-pà-gaawn),La quincaillerie [kɛ̃.ka.jə.ʁi],On achète des clous à la quincaillerie. (我們在五金行買釘子。)
眼睛,yǎnjīng,Mắt,ดวงตา (duang-dtaa),Les yeux [ø],Elle a de beaux yeux. (她有一雙漂亮的眼睛。)
依賴,yīlài,Phụ thuộc / Dựa dẫm,พึ่งพา (phûeng-phaa),Dépendre de [de.pɑ̃.dʁə də],L'enfant dépend de sa mère. (小孩依賴他的母親。)
聊天,liáotiān,Nói chuyện phiếm / Tán gẫu,คุยเล่น (khui-lên),Bavarder [ba.vaʁ.de],Nous aimons bavarder. (我們喜歡聊天。)
並且,bìngqiě,Và / Hơn nữa,และ (láe),Et / De plus [e / də ply],Il est intelligent et beau. (他很聰明並且很帥。)
每當,měidāng,Mỗi khi,ทุกครั้งที่ (thúk-kháng-thîi),Chaque fois que [ʃak fwa kə],Il sourit chaque fois qu'il me voit. (每當他看到我時都會微笑。)
阿姨,āyí,Dì / Cô,คุณป้า / น้า (khun-pâa / náa),La tante [tɑ̃t],Ma tante habite à Paris. (我的阿姨住在巴黎。)
總是,zǒngshì,Luôn luôn,เสมอ (sà-měe),Toujours [tu.žuʁ],Il est toujours à l'heure. (他總是準時。)
但是,dànshì,Nhưng,แต่ (dtàe),Mais [mɛ],Il fait froid mais il y a du soleil. (天氣很冷但是有陽光。)
一整天,yì zhěng tiān,Cả ngày,ทั้งวัน (tháng-wan),Toute la journée [tut la žuʁ.ne],J'ai travaillé toute la journée. (我工作了一整天。)
顧客,gùkè,Khách hàng,ลูกค้า (lûuk-kháa),Le client [kli.ɑ̃],Le client est roi. (顧客是聖瞻。)
上門,shàngmén,Đến cửa / Ghé thăm,มาที่ร้าน (maa-thîi-ráan),Passer / Venir [pa.se / vniʁ],Beaucoup de gens passent ici. (很多人上門光顧。)
無時無刻,wú shí wú kè,Mọi lúc mọi nơi / Luôn luôn,ตลอดเวลา (dtà-lòot-wee-laa),À tout moment [a tu mɔ.mɑ̃],Je pense à toi à tout moment. (我無時無刻不在想你。)
告訴,gàosù,Nói cho biết / Bảo,บอก (bàawk),Dire [diʁ],Dis-moi la vérité. (告訴我真相。)
小島,xiǎodǎo,Hòn đảo nhỏ,เกาะเล็กๆ (gàw-lék-lék),La petite île [pə.tit il],Il vit sur une petite île. (他住在一個小島上。)
碩果僅存,shuòguǒ jǐncún,Người duy nhất còn sót lại,ที่เหลืออยู่เพียงหนึ่งเดียว (thîi-lǔea-yùu-phiang-nùeng-diiaw),Le seul survivant [lə sœl syʁ.vi.vɑ̃],C'est le seul survivant de cette époque. (他是那個時代碩果僅存的人。)
古董,gǔdǒng,Cổ vật / Đồ cổ,ของเก่า / แอนทีค (khǎawng-gào),L'antiquité / L'objet ancien [ɑ̃.ti.ki.te / ɔb.ʒɛ ɑ̃.sjɛ̃],Il collectionne les antiquités. (他收集古董。)
師傅,shīfù,Thợ / Thầy,ช่าง (châang),Le maître [mɛtʁ],C'est un grand maître. (他是一位大師傅。)
升起,shēngqǐ,Nổi lên / Mọc lên,เกิดขึน (gèet-khûen),S'élever / Monter [se.le.ve / mɔ̃.te],Le soleil se lève. (太陽升起。)
敬意,jìngyì,Lòng kính trọng,ความเคารพ (khwaam-khao-róp),Le respect [ʁɛ.spɛ],J'ai beaucoup de respect pour lui. (我對他充滿敬意。)
