生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
一起,yì qǐ,cùng nhau,ด้วยกัน,together,晚飯以後，我們全家一起看電視，媽媽還準備了水果。,"Sau bữa tối, cả gia đình chúng tôi cùng nhau xem ti vi, mẹ còn chuẩn bị trái cây.",หลังอาหารเย็น ครอบครัวของเราดูทีวีด้วยกัน และแม่ยังเตรียมผลไม้ไว้ด้วย,"After dinner, our whole family watched TV together, and Mom also prepared fruit."
住,zhù,ở / sống,อยู่ / พัก,to live / stay,晚上吃飯時，小明和家人談到住，大家都說這件事很重要。,"Trong bữa tối, Tiểu Minh và gia đình nói về ở, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหมิงกับครอบครัวคุยกันเรื่องอยู่ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaoming and the family talked about to live, and everyone said it was important."
越來越,yuè lái yuè,ngày càng,ยิ่ง...ขึ้นเรื่อย ๆ,more and more,城市裡的房租越來越貴，學生只好找比較遠的房子。,"Tiền thuê nhà trong thành phố ngày càng đắt, học sinh đành tìm nhà xa hơn.",ค่าเช่าในเมืองแพงขึ้นเรื่อย ๆ นักเรียนจึงต้องหาบ้านที่อยู่ไกลกว่า,"Rent in the city is getting more and more expensive, so students have to look for housing farther away."
離開,lí kāi,rời khỏi,ออกจาก,to leave,離開學校以後，小玲每天都上網找工作。,"Sau khi rời khỏi trường, Tiểu Linh mỗi ngày đều lên mạng tìm việc.",หลังออกจากโรงเรียน เสี่ยวหลิงใช้อินเทอร์เน็ตหางานทุกวัน,"After leaving school, Xiaoling went online every day to look for a job."
電腦,diàn nǎo,máy tính,คอมพิวเตอร์,computer,弟弟找不到自己的電腦，所以請姐姐幫忙一起找。,"Trước khi ra ngoài, em trai bỏ máy tính vào túi để tránh đến trường mới phát hiện mình quên mang.",ก่อนออกจากบ้าน น้องชายใส่คอมพิวเตอร์ลงในกระเป๋า เพื่อไม่ให้ถึงโรงเรียนแล้วเพิ่งพบว่าลืมเอาไป,"Before leaving, the younger brother put computer into the bag so they would not realize at school that they had forgotten it."
公司,gōng sī,công ty,บริษัท,company,週末下午，姐姐和朋友一起去公司，他們在那裡待到五點才回家。,"Chiều cuối tuần, chị gái cùng bạn đi đến công ty, họ ở đó đến năm giờ mới về nhà.",บ่ายวันหยุด พี่สาวกับเพื่อนไปบริษัทด้วยกัน พวกเขาอยู่ที่นั่นจนถึงห้าโมงจึงกลับบ้าน,"On a weekend afternoon, the older sister went to company with a friend and stayed there until five before going home."
遊戲,yóu xì,trò chơi,เกม,game,小孩玩一個小遊戲就可以很開心，但是大人常常覺得無聊。,"Trẻ con chơi một trò chơi nhỏ là có thể rất vui, nhưng người lớn thường thấy chán.",เด็กเล่นเกมเล็ก ๆ เกมหนึ่งก็มีความสุขได้ แต่ผู้ใหญ่มักรู้สึกน่าเบื่อ,"Children can be happy playing a small game, but adults often find it boring."
愉快,yú kuài,vui vẻ,ร่าเริง / มีความสุข,happy / pleasant,這個地方看起來很愉快，很多人都想來看看。,"Tiểu Mỹ cảm thấy hoạt động hôm nay rất vui vẻ, vì vậy muốn lần sau tham gia nữa.",เสี่ยวเหม่ยรู้สึกว่ากิจกรรมวันนี้ร่าเริงมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"Xiaomei felt today’s activity was very happy, so they wanted to join again next time."
大人,dà rén,người lớn,ผู้ใหญ่,adult,公園裡有很多大人，大家都在等表演開始。,"Sáng nay, các người lớn tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้ผู้ใหญ่รวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the adult gathered at the school gate and prepared to join the activity together."
認為,rèn wèi,cho rằng,คิดว่า,to think / believe,爸爸認為小孩玩遊戲也可以學到禮貌，所以不一定是壞事。,"Bố cho rằng trẻ con chơi trò chơi cũng có thể học được phép lịch sự, vì vậy không nhất định là chuyện xấu.",พ่อคิดว่าเด็กเล่นเกมก็สามารถเรียนรู้มารยาทได้ ดังนั้นไม่จำเป็นต้องเป็นเรื่องไม่ดี,"Dad believes children can learn manners by playing games, so it is not necessarily bad."
還有,hái yǒu,còn có / ngoài ra,ยังมี / อีกทั้ง,also / in addition,昨天看新聞的時候，姐姐注意到還有，於是上網查了更多資料。,"Trong bữa tối, chị gái và gia đình nói về còn có, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น พี่สาวกับครอบครัวคุยกันเรื่องยังมี ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the older sister and the family talked about also, and everyone said it was important."
總是,zǒng shì,luôn luôn,เสมอ / มักจะ,always,小明最近常常遇到和總是有關的問題，所以想請朋友幫忙。,"Trong bữa tối, Tiểu Minh và gia đình nói về luôn luôn, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหมิงกับครอบครัวคุยกันเรื่องเสมอ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaoming and the family talked about always, and everyone said it was important."
覺得,jué dé,cảm thấy / cho rằng,รู้สึก / คิดว่า,to feel / to think,小美覺得這條裙子太短，所以沒有買。,"Tiểu Mỹ cảm thấy chiếc váy này quá ngắn, vì vậy không mua.",เสี่ยวเหม่ยรู้สึกว่ากระโปรงตัวนี้สั้นเกินไป จึงไม่ได้ซื้อ,"Xiaomei felt that this skirt was too short, so she did not buy it."
真是,zhēn shì,thật là,จริง ๆ / ช่าง,really,和小孩一起玩遊戲要一直想新方法，真是不容易。,"Chơi trò chơi với trẻ con phải luôn nghĩ cách mới, thật không dễ chút nào.",การเล่นเกมกับเด็กต้องคิดวิธีใหม่ ๆ ตลอด จริง ๆ แล้วไม่ง่ายเลย,"Playing games with children requires always thinking of new ways, and it really is not easy."
重要,zhòng yào,quan trọng,สำคัญ,important,這件事情讓弟弟覺得很重要，他回家後還跟家人分享。,"em trai cảm thấy hoạt động hôm nay rất quan trọng, vì vậy muốn lần sau tham gia nữa.",น้องชายรู้สึกว่ากิจกรรมวันนี้สำคัญมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"the younger brother felt today’s activity was very important, so they wanted to join again next time."
認識,rèn shí,quen biết / nhận biết,รู้จัก,to know / recognize,姐姐最近常常遇到和認識有關的問題，所以想請朋友幫忙。,"Trong bữa tối, chị gái và gia đình nói về quen biết, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น พี่สาวกับครอบครัวคุยกันเรื่องรู้จัก ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the older sister and the family talked about to know, and everyone said it was important."
禮貌,lǐ mào,lễ phép / phép lịch sự,มารยาท,manners / politeness,朋友問起禮貌的時候，小明想了一下才回答。,"Trong bữa tối, Tiểu Minh và gia đình nói về lễ phép, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหมิงกับครอบครัวคุยกันเรื่องมารยาท ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaoming and the family talked about manners, and everyone said it was important."
開心,kāi xīn,vui vẻ,ดีใจ / มีความสุข,happy,小美覺得今天的活動很開心，所以想下次再參加。,"Tiểu Mỹ cảm thấy hoạt động hôm nay rất vui vẻ, vì vậy muốn lần sau tham gia nữa.",เสี่ยวเหม่ยรู้สึกว่ากิจกรรมวันนี้ดีใจมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"Xiaomei felt today’s activity was very happy, so they wanted to join again next time."
無聊,wú liáo,buồn chán,น่าเบื่อ,boring,這件事情讓小華覺得很無聊，他回家後還跟家人分享。,"Tiểu Hoa cảm thấy hoạt động hôm nay rất buồn chán, vì vậy muốn lần sau tham gia nữa.",เสี่ยวหัวรู้สึกว่ากิจกรรมวันนี้น่าเบื่อมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"Xiaohua felt today’s activity was very boring, so they wanted to join again next time."
麻煩,má fán,phiền phức,ยุ่งยาก / รบกวน,troublesome,這個地方看起來很麻煩，很多人都想來看看。,"em trai cảm thấy hoạt động hôm nay rất phiền phức, vì vậy muốn lần sau tham gia nữa.",น้องชายรู้สึกว่ากิจกรรมวันนี้ยุ่งยากมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"the younger brother felt today’s activity was very troublesome, so they wanted to join again next time."
有趣,yǒu qù,thú vị,น่าสนใจ / สนุก,interesting,媽媽說這個方法很有趣，可以幫大家省很多時間。,"chị gái cảm thấy hoạt động hôm nay rất thú vị, vì vậy muốn lần sau tham gia nữa.",พี่สาวรู้สึกว่ากิจกรรมวันนี้น่าสนใจมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"the older sister felt today’s activity was very interesting, so they wanted to join again next time."
不停地,bù tíng dì,không ngừng,ไม่หยุด,continuously,小孩不停地找新遊戲，大人陪到最後都覺得很累。,"Trẻ con không ngừng tìm trò chơi mới, người lớn chơi cùng đến cuối đều thấy rất mệt.",เด็กหากิจกรรมใหม่ไม่หยุด ผู้ใหญ่เล่นด้วยจนสุดท้ายก็รู้สึกเหนื่อยมาก,"The child kept looking for new games, and the adults felt very tired by the end."
新,xīn,mới,ใหม่,new,這件事情讓小美覺得很新，他回家後還跟家人分享。,"Tiểu Mỹ cảm thấy hoạt động hôm nay rất mới, vì vậy muốn lần sau tham gia nữa.",เสี่ยวเหม่ยรู้สึกว่ากิจกรรมวันนี้ใหม่มาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"Xiaomei felt today’s activity was very new, so they wanted to join again next time."
旁邊,páng biān,bên cạnh,ข้าง ๆ,beside / next to,小華最近常常遇到和旁邊有關的問題，所以想請朋友幫忙。,"Trong bữa tối, Tiểu Hoa và gia đình nói về bên cạnh, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหัวกับครอบครัวคุยกันเรื่องข้าง ๆ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaohua and the family talked about beside, and everyone said it was important."
