生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
錢包,qián bāo,ví tiền,กระเป๋าเงิน,wallet,小華回國以前，發現自己的錢包不見了，心裡非常著急。,"Trước khi Tiểu Hoa về nước, cô ấy phát hiện ví của mình biến mất nên rất lo lắng.",ก่อนเสี่ยวหัวกลับประเทศ เธอพบว่ากระเป๋าสตางค์ของตัวเองหายไป จึงร้อนใจมาก,"Before Xiaohua returned home, she discovered that her wallet was missing and felt very anxious."
掉,diào,rơi / đánh rơi,ตก / ทำตก,to drop / fall,小華回國的時候，把錢包掉在旅館房間裡，到了機場才發現。,"Khi Tiểu Hoa về nước, cô ấy làm rơi ví trong phòng khách sạn và đến sân bay mới phát hiện.",ตอนเสี่ยวหัวกลับประเทศ เธอทำกระเป๋าสตางค์หล่นไว้ในห้องโรงแรม และเพิ่งรู้ตอนถึงสนามบิน,"When Xiaohua was returning home, she dropped her wallet in the hotel room and only noticed at the airport."
旅館,lǚ guǎn,khách sạn / nhà nghỉ,โรงแรม / ที่พัก,hotel / inn,這家旅館離火車站很近，外國學生來旅行時常常住在這裡。,"Khách sạn này rất gần ga tàu; khi sinh viên nước ngoài đi du lịch, họ thường ở đây.",โรงแรมนี้อยู่ใกล้สถานีรถไฟมาก เมื่อนักเรียนต่างชาติมาเที่ยว พวกเขามักพักที่นี่,"This hotel is very close to the train station, and foreign students often stay here when they travel."
是對的,shì duì de,là đúng,ถูกต้อง,is correct,老師請學生看完短文以後，選出下面哪一個句子是對的。,Giáo viên yêu cầu học sinh sau khi đọc xong đoạn văn thì chọn câu nào dưới đây là đúng.,ครูให้นักเรียนอ่านบทความสั้นเสร็จแล้วเลือกว่าประโยคข้อใดข้างล่างถูกต้อง,"After the students read the short passage, the teacher asked them to choose which sentence below was correct."
麻煩,má fán,phiền phức / làm phiền,รบกวน / ยุ่งยาก,trouble / troublesome,如果你在旅行的時候遇到麻煩，可以打電話給飯店服務員。,"Nếu bạn gặp rắc rối khi đi du lịch, bạn có thể gọi điện cho nhân viên khách sạn.",ถ้าคุณเจอปัญหาระหว่างท่องเที่ยว สามารถโทรหาพนักงานโรงแรมได้,"If you run into trouble while traveling, you can call the hotel staff."
重要,zhòng yào,quan trọng,สำคัญ,important,出國旅行以前，帶好護照和錢包是很重要的事情。,"Trước khi đi du lịch nước ngoài, mang theo hộ chiếu và ví là việc rất quan trọng.",ก่อนเดินทางไปต่างประเทศ การพกพาสปอร์ตและกระเป๋าสตางค์ให้พร้อมเป็นเรื่องสำคัญมาก,"Before traveling abroad, bringing your passport and wallet is very important."
最重要,zuì zhòng yào,quan trọng nhất,สำคัญที่สุด,most important,這次旅行中，大家覺得安全比買東西更重要，安全是最重要的。,"Trong chuyến du lịch lần này, mọi người cho rằng an toàn quan trọng hơn mua sắm; an toàn là quan trọng nhất.",ในการเดินทางครั้งนี้ ทุกคนคิดว่าความปลอดภัยสำคัญกว่าการซื้อของ ความปลอดภัยสำคัญที่สุด,"During this trip, everyone felt that safety was more important than shopping; safety was the most important thing."
的樣子,de yàng zi,dáng vẻ / trông như,ท่าทาง / ดูเหมือน,appearance / looks like,小美今天上課時一直不說話，看起來不太開心的樣子。,"Hôm nay trong giờ học Tiểu Mỹ一直 không nói chuyện, trông có vẻ không vui lắm.",วันนี้ในชั้นเรียนเสี่ยวเหม่ยไม่ค่อยพูด ดูเหมือนไม่ค่อยมีความสุข,Xiaomei did not talk much in class today and looked unhappy.
沒事,méi shì,không sao,ไม่เป็นไร,nothing is wrong,同學問小美怎麼了，她笑著說自己沒事，只是有一點累。,"Bạn học hỏi Tiểu Mỹ có chuyện gì, cô ấy cười và nói mình không sao, chỉ hơi mệt.",เพื่อนร่วมชั้นถามเสี่ยวเหม่ยว่าเป็นอะไร เธอยิ้มแล้วบอกว่าตัวเองไม่เป็นไร แค่เหนื่อยนิดหน่อย,"A classmate asked Xiaomei what was wrong, and she smiled and said she was fine, just a little tired."
這樣,zhè yàng,như vậy,แบบนี้,like this,小王每次考試以前都會緊張到睡不著，他說自己常常這樣。,"Mỗi lần trước khi thi, Tiểu Vương đều căng thẳng đến mức không ngủ được; cậu ấy nói mình thường như vậy.",ทุกครั้งก่อนสอบ เสี่ยวหวังเครียดจนหลับไม่ลง เขาบอกว่าตัวเองมักเป็นแบบนี้,"Before every exam, Xiaowang gets so nervous that he cannot sleep; he says he is often like this."
擔心,dān xīn,lo lắng,กังวล,to worry,明天就要考試了，小王還有很多語法不了解，所以他很擔心。,"Ngày mai là thi rồi, Tiểu Vương vẫn còn nhiều ngữ pháp không hiểu nên cậu ấy rất lo lắng.",พรุ่งนี้ก็จะสอบแล้ว เสี่ยวหวังยังมีไวยากรณ์หลายเรื่องที่ไม่เข้าใจ เขาจึงกังวลมาก,"The exam is tomorrow, and Xiaowang still does not understand many grammar points, so he is worried."
沒考好,méi kǎo hǎo,thi không tốt,สอบได้ไม่ดี,did not do well on the exam,小美覺得昨天的考試很難，她很擔心自己沒考好。,"Tiểu Mỹ觉得 bài thi hôm qua rất khó, cô ấy rất lo mình làm bài không tốt.",เสี่ยวเหม่ยรู้สึกว่าการสอบเมื่อวานยากมาก เธอกังวลว่าตัวเองทำได้ไม่ดี,"Xiaomei thought yesterday’s exam was difficult, and she is worried that she did not do well."
成績不好,chéng jì bù hǎo,điểm không tốt,คะแนนไม่ดี,poor grades,如果這次考試成績不好，小王打算每天多讀一個小時中文。,"Nếu điểm thi lần này không tốt, Tiểu Vương dự định mỗi ngày học thêm một tiếng tiếng Trung.",ถ้าคะแนนสอบครั้งนี้ไม่ดี เสี่ยวหวังวางแผนจะอ่านภาษาจีนเพิ่มวันละหนึ่งชั่วโมง,"If his grades on this exam are not good, Xiaowang plans to study Chinese one extra hour every day."
參加,cān jiā,tham gia,เข้าร่วม,to participate,小春明天要參加中文考試，所以今天晚上他在家裡認真複習。,"Ngày mai Tiểu Xuân sẽ tham gia kỳ thi tiếng Trung, nên tối nay cậu ấy ôn tập chăm chỉ ở nhà.",พรุ่งนี้เสี่ยวชุนจะเข้าร่วมการสอบภาษาจีน ดังนั้นคืนนี้เขาทบทวนที่บ้านอย่างตั้งใจ,"Xiaochun will take a Chinese exam tomorrow, so he is reviewing carefully at home tonight."
沒參加,méi cān jiā,không tham gia,ไม่ได้เข้าร่วม,did not participate,小明昨天生病了，所以他沒參加學校的籃球比賽。,"Hôm qua Tiểu Minh bị bệnh, nên cậu ấy không tham gia trận bóng rổ của trường.",เมื่อวานเสี่ยวหมิงป่วย ดังนั้นเขาไม่ได้เข้าร่วมการแข่งขันบาสเกตบอลของโรงเรียน,"Xiaoming was sick yesterday, so he did not participate in the school basketball game."
考試,kǎo shì,thi / kỳ thi,สอบ / การสอบ,exam / test,下個星期有中文考試，老師請大家回家以後多練習聽力。,"Tuần sau có kỳ thi tiếng Trung, giáo viên yêu cầu mọi người sau khi về nhà luyện nghe nhiều hơn.",สัปดาห์หน้ามีสอบภาษาจีน ครูขอให้ทุกคนกลับบ้านแล้วฝึกฟังให้มากขึ้น,"There is a Chinese exam next week, and the teacher asked everyone to practice listening more after going home."
寫不完,xiě bù wán,viết không xong,เขียนไม่เสร็จ,cannot finish writing,這次考試的題目很多，小美擔心自己在時間內寫不完。,"Bài thi lần này có rất nhiều câu hỏi, Tiểu Mỹ lo rằng trong thời gian quy định mình viết không xong.",ข้อสอบครั้งนี้มีหลายข้อ เสี่ยวเหม่ยกังวลว่าตัวเองจะเขียนไม่เสร็จภายในเวลา,"There are many questions on this exam, and Xiaomei is worried she will not finish writing in time."
樓下,lóu xià,tầng dưới / dưới lầu,ชั้นล่าง,downstairs,陳太太住在王先生家樓下，所以常常聽到樓上的聲音。,"Bà Trần sống ở dưới lầu nhà ông Vương, nên thường nghe thấy tiếng động ở tầng trên.",คุณนายเฉินอยู่ชั้นล่างของบ้านคุณหวัง จึงมักได้ยินเสียงจากชั้นบน,"Mrs. Chen lives downstairs from Mr. Wang, so she often hears noise from upstairs."
有什麼事嗎,yǒu shén me shì ma,có chuyện gì không,มีอะไรหรือเปล่า,what is the matter,王先生看到陳太太站在門口，就問她：「請問有什麼事嗎？」,Ông Vương thấy bà Trần đứng ở cửa liền hỏi: “Xin hỏi có chuyện gì không?”,คุณหวังเห็นคุณนายเฉินยืนอยู่หน้าประตู จึงถามเธอว่า “มีอะไรหรือครับ”,"Mr. Wang saw Mrs. Chen standing at the door and asked, “Is there something I can help you with?”"
總是,zǒng shì,luôn luôn,มักจะ / เสมอ,always,樓上的小孩總是在晚上跑來跑去，讓樓下的鄰居很困擾。,"Đứa trẻ ở tầng trên luôn chạy qua chạy lại vào buổi tối, khiến hàng xóm tầng dưới rất phiền.",เด็กชั้นบนมักวิ่งไปวิ่งมาตอนกลางคืน ทำให้เพื่อนบ้านชั้นล่างลำบากใจมาก,"The child upstairs is always running around at night, which bothers the downstairs neighbor."
走路,zǒu lù,đi bộ,เดิน,to walk,王先生晚上走路的聲音很大，樓下的鄰居希望他小聲一點。,"Tiếng bước chân của ông Vương vào buổi tối rất lớn, hàng xóm tầng dưới hy vọng ông ấy nhẹ tiếng hơn.",เสียงเดินของคุณหวังตอนกลางคืนดังมาก เพื่อนบ้านชั้นล่างหวังว่าเขาจะเบาลงหน่อย,"Mr. Wang’s footsteps are loud at night, and the downstairs neighbor hopes he will be quieter."
聲音,shēng yīn,âm thanh / tiếng,เสียง,sound / voice,晚上十點以後，如果講話的聲音太大，可能會影響鄰居休息。,"Sau mười giờ tối, nếu tiếng nói chuyện quá lớn, có thể ảnh hưởng đến việc nghỉ ngơi của hàng xóm.",หลังสี่ทุ่ม ถ้าเสียงพูดคุยดังเกินไป อาจรบกวนการพักผ่อนของเพื่อนบ้าน,"After ten at night, if people speak too loudly, it may disturb the neighbors’ rest."
有時,yǒu shí,đôi khi,บางครั้ง,sometimes,王先生有時晚上很晚才回家，所以走路的聲音會吵到樓下的人。,"Ông Vương đôi khi về nhà rất muộn vào buổi tối, nên tiếng bước chân sẽ làm ồn người ở tầng dưới.",บางครั้งคุณหวังกลับบ้านดึกมากตอนกลางคืน ดังนั้นเสียงเดินจะรบกวนคนชั้นล่าง,"Mr. Wang sometimes comes home very late at night, so his footsteps disturb the people downstairs."
女朋友,nǚ péng yǒu,bạn gái,แฟนผู้หญิง,girlfriend,王先生有時和女朋友在客廳大聲聊天，樓下的陳太太都聽得到。,"Ông Vương đôi khi nói chuyện lớn tiếng với bạn gái trong phòng khách, bà Trần ở tầng dưới đều nghe thấy.",บางครั้งคุณหวังคุยเสียงดังกับแฟนสาวในห้องรับแขก คุณนายเฉินชั้นล่างได้ยินหมด,"Mr. Wang sometimes talks loudly with his girlfriend in the living room, and Mrs. Chen downstairs can hear it."
大聲,dà shēng,lớn tiếng,เสียงดัง,loudly,圖書館裡有很多學生在看書，所以大家不能大聲講話。,"Trong thư viện có nhiều học sinh đang đọc sách, nên mọi người không được nói chuyện lớn tiếng.",ในห้องสมุดมีนักเรียนหลายคนกำลังอ่านหนังสือ ดังนั้นทุกคนไม่ควรพูดเสียงดัง,"Many students are reading in the library, so people should not speak loudly."
小聲,xiǎo shēng,nhỏ tiếng,เสียงเบา,quietly / softly,妹妹已經睡著了，媽媽請我們在客廳小聲說話。,"Em gái đã ngủ rồi, mẹ bảo chúng tôi nói chuyện nhỏ tiếng trong phòng khách.",น้องสาวหลับแล้ว แม่ขอให้พวกเราพูดเบา ๆ ในห้องรับแขก,"My younger sister has already fallen asleep, so Mom asked us to speak quietly in the living room."
好幾次,hǎo jǐ cì,nhiều lần,หลายครั้ง,several times,陳太太找王先生好幾次，可是每一次他都不在家。,"Bà Trần đã tìm ông Vương mấy lần, nhưng lần nào ông ấy cũng không có nhà.",คุณนายเฉินไปหาคุณหวังหลายครั้ง แต่ทุกครั้งเขาก็ไม่อยู่บ้าน,"Mrs. Chen tried to find Mr. Wang several times, but he was not home each time."
不在家,bú zài jiā,không ở nhà,ไม่อยู่บ้าน,not at home,昨天晚上陳太太去找王先生，可是他的家人說他不在家。,"Tối qua bà Trần đi tìm ông Vương, nhưng người nhà ông ấy nói ông ấy không có nhà.",เมื่อคืนคุณนายเฉินไปหาคุณหวัง แต่ครอบครัวของเขาบอกว่าเขาไม่อยู่บ้าน,"Last night Mrs. Chen went to find Mr. Wang, but his family said he was not at home."
不好意思,bù hǎo yì si,xin lỗi / ngại quá,ขอโทษ / เกรงใจ,sorry / excuse me,王先生聽完陳太太的話以後，馬上說：「不好意思，我以後會注意。」,"Sau khi nghe bà Trần nói xong, ông Vương lập tức nói: “Xin lỗi, sau này tôi sẽ chú ý.”",หลังจากคุณหวังฟังคุณนายเฉินพูดจบ เขารีบพูดว่า “ขอโทษครับ ต่อไปผมจะระวัง”,"After hearing what Mrs. Chen said, Mr. Wang immediately said, “Sorry, I will pay attention in the future.”"
注意,zhù yì,chú ý,ระวัง / ใส่ใจ,to pay attention,因為樓下的鄰居常常聽到聲音，王先生決定以後走路時要注意。,"Vì hàng xóm tầng dưới thường nghe thấy tiếng động, ông Vương quyết định sau này khi đi lại sẽ chú ý hơn.",เพราะเพื่อนบ้านชั้นล่างมักได้ยินเสียง คุณหวังจึงตัดสินใจว่าต่อไปเวลาเดินจะระวังมากขึ้น,"Because the downstairs neighbor often hears noise, Mr. Wang decided to be more careful when walking in the future."
搬家,bān jiā,chuyển nhà,ย้ายบ้าน,to move house,如果樓上的聲音一直太大，陳太太可能會考慮搬家。,"Nếu tiếng động trên lầu cứ quá lớn, bà Trần có thể sẽ cân nhắc chuyển nhà.",ถ้าเสียงจากชั้นบนยังดังมากต่อไป คุณนายเฉินอาจพิจารณาย้ายบ้าน,"If the noise upstairs continues to be too loud, Mrs. Chen may consider moving."
大小,dà xiǎo,kích thước / lớn nhỏ,ขนาด / ใหญ่เล็ก,size,聲音的大小會影響別人休息，所以晚上講話要小聲一點。,"Độ lớn nhỏ của âm thanh sẽ ảnh hưởng đến việc nghỉ ngơi của người khác, nên buổi tối nói chuyện phải nhỏ tiếng hơn.",ความดังเบาของเสียงมีผลต่อการพักผ่อนของคนอื่น ดังนั้นตอนกลางคืนควรพูดเบาลงหน่อย,"The volume of sound can affect other people’s rest, so people should speak more quietly at night."
半夜,bàn yè,nửa đêm,กลางดึก,midnight,小美昨天半夜才睡覺，所以今天早上上課的時候一直想睡。,"Hôm qua Tiểu Mỹ đến nửa đêm mới ngủ, nên sáng nay trong giờ học cô ấy cứ buồn ngủ.",เมื่อวานเสี่ยวเหม่ยนอนตอนเที่ยงคืน ดังนั้นเช้านี้ตอนเรียนเธอง่วงตลอด,"Xiaomei did not go to sleep until midnight yesterday, so she kept feeling sleepy in class this morning."
身體,shēn tǐ,cơ thể / sức khỏe,ร่างกาย / สุขภาพ,body / health,爸爸常常提醒我，太晚睡覺對身體不好。,Bố thường nhắc tôi rằng ngủ quá muộn không tốt cho cơ thể.,พ่อมักเตือนฉันว่าเข้านอนดึกเกินไปไม่ดีต่อร่างกาย,Dad often reminds me that sleeping too late is bad for the body.
對身體不好,duì shēn tǐ bù hǎo,không tốt cho sức khỏe,ไม่ดีต่อร่างกาย,bad for the body,如果你每天都半夜才睡，老師說這樣對身體不好。,"Nếu mỗi ngày bạn đến nửa đêm mới ngủ, giáo viên nói như vậy không tốt cho cơ thể.",ถ้าคุณนอนตอนเที่ยงคืนทุกวัน ครูบอกว่าแบบนี้ไม่ดีต่อร่างกาย,"If you go to sleep at midnight every day, the teacher says it is bad for your body."
一直,yì zhí,luôn luôn / suốt,ตลอด / เสมอ,always / continuously,小美一直都是十二點多睡覺，所以她不覺得這個時間很晚。,"Tiểu Mỹ一直 ngủ sau mười hai giờ, nên cô ấy không thấy thời gian đó là muộn.",เสี่ยวเหม่ยนอนหลังเที่ยงคืนมาตลอด ดังนั้นเธอไม่รู้สึกว่าเวลานี้ดึก,"Xiaomei has always gone to sleep after twelve, so she does not think that time is late."
這個時間,zhè ge shí jiān,thời gian này,เวลานี้,this time,媽媽覺得十二點多已經很晚了，可是小美一直都是這個時間睡覺。,"Mẹ觉得 hơn mười hai giờ đã rất muộn, nhưng Tiểu Mỹ一直 ngủ vào thời gian này.",แม่รู้สึกว่าเลยเที่ยงคืนดึกมากแล้ว แต่เสี่ยวเหม่ยมักนอนเวลานี้มาตลอด,"Mom thinks after twelve is already very late, but Xiaomei has always slept at this time."
生病,shēng bìng,bị bệnh,ป่วย,to get sick,雖然小美常常很晚睡，但是她說自己很少生病。,"Mặc dù Tiểu Mỹ thường ngủ rất muộn, cô ấy nói mình rất ít khi bị bệnh.",แม้ว่าเสี่ยวเหม่ยมักนอนดึกมาก แต่เธอบอกว่าตัวเองไม่ค่อยป่วย,"Although Xiaomei often sleeps very late, she says she rarely gets sick."
小姐,xiǎo jiě,cô / cô gái,คุณผู้หญิง,miss / young lady,這位小姐不覺得自己睡得很晚，因為她每天都是十二點多睡。,"Cô gái này không cảm thấy mình ngủ muộn, vì mỗi ngày cô ấy đều ngủ sau mười hai giờ.",ผู้หญิงคนนี้ไม่รู้สึกว่าตัวเองนอนดึก เพราะเธอนอนหลังเที่ยงคืนทุกวัน,This young woman does not think she sleeps late because she goes to bed after twelve every day.
意思,yì si,ý nghĩa / ý,ความหมาย / หมายความว่า,meaning,老師問學生，這位小姐說「還好吧」的意思是什麼。,Giáo viên hỏi học sinh câu “cũng ổn mà” của cô gái này có nghĩa là gì.,ครูถามนักเรียนว่า ผู้หญิงคนนี้พูดว่า “ก็ยังโอเคนะ” หมายความว่าอะไร,"The teacher asked the students what the young woman meant when she said, “It’s fine.”"
習慣,xí guàn,thói quen / quen,นิสัย / เคยชิน,habit / to be used to,小美已經習慣每天半夜睡覺，所以她不覺得自己很晚才睡。,"Tiểu Mỹ đã quen ngủ vào nửa đêm mỗi ngày, nên cô ấy không thấy mình ngủ muộn.",เสี่ยวเหม่ยชินกับการนอนตอนเที่ยงคืนทุกวันแล้ว ดังนั้นเธอไม่รู้สึกว่าตัวเองนอนดึก,"Xiaomei is already used to sleeping at midnight every day, so she does not think she goes to bed late."
不同,bù tóng,khác nhau,แตกต่าง,different,每個人的生活習慣不同，有的人早睡，有的人很晚才睡。,"Thói quen sinh hoạt của mỗi người khác nhau; có người ngủ sớm, có người ngủ rất muộn.",นิสัยการใช้ชีวิตของแต่ละคนแตกต่างกัน บางคนเข้านอนเร็ว บางคนนอนดึกมาก,"Everyone’s living habits are different; some people sleep early, and some go to bed very late."
時間,shí jiān,thời gian,เวลา,time,小美每天睡覺的時間都差不多，通常是晚上十二點多。,"Thời gian ngủ của Tiểu Mỹ mỗi ngày đều gần như nhau, thường là hơn mười hai giờ đêm.",เวลานอนของเสี่ยวเหม่ยแต่ละวันใกล้เคียงกัน ปกติคือหลังเที่ยงคืน,"Xiaomei’s bedtime is about the same every day, usually after twelve at night."
睡覺,shuì jiào,ngủ,นอน,to sleep,弟弟明天要早起上學，所以媽媽叫他晚上十點以前睡覺。,"Em trai ngày mai phải dậy sớm đi học, nên mẹ bảo em ấy ngủ trước mười giờ tối.",พรุ่งนี้น้องชายต้องตื่นเช้าไปโรงเรียน แม่จึงบอกให้เขานอนก่อนสี่ทุ่ม,"My younger brother has to get up early for school tomorrow, so Mom told him to go to sleep before ten."
每天,měi tiān,mỗi ngày,ทุกวัน,every day,小美每天都十二點多才睡覺，可是她不覺得這樣很晚。,"Mỗi ngày Tiểu Mỹ đều hơn mười hai giờ mới ngủ, nhưng cô ấy không thấy như vậy là muộn.",เสี่ยวเหม่ยนอนหลังเที่ยงคืนทุกวัน แต่เธอไม่รู้สึกว่าแบบนี้ดึก,"Xiaomei goes to sleep after twelve every day, but she does not think that is late."
起床,qǐ chuáng,thức dậy / dậy khỏi giường,ตื่นนอน / ลุกจากเตียง,to get up,小明早上五點就起床了，所以到了下午已經很想睡覺。,"Tiểu Minh đã dậy từ năm giờ sáng, nên đến chiều cậu ấy đã rất buồn ngủ.",เสี่ยวหมิงตื่นตั้งแต่ตีห้า ดังนั้นพอถึงตอนบ่ายเขาก็ง่วงมากแล้ว,"Xiaoming got up at five in the morning, so by the afternoon he was already very sleepy."
認為,rèn wéi,cho rằng,คิดว่า,to think / believe,哥哥認為十二點多睡覺太晚了，對身體可能不好。,Anh trai cho rằng ngủ sau mười hai giờ là quá muộn và có thể không tốt cho cơ thể.,พี่ชายคิดว่าการนอนหลังเที่ยงคืนดึกเกินไป และอาจไม่ดีต่อร่างกาย,My older brother thinks that sleeping after twelve is too late and may be bad for the body.
以為,yǐ wéi,tưởng rằng,คิดว่า mistakenly,to think mistakenly,我以為小美已經睡覺了，沒想到她還在客廳看電視。,"Tôi tưởng Tiểu Mỹ đã ngủ rồi, không ngờ cô ấy vẫn đang xem TV trong phòng khách.",ฉันคิดว่าเสี่ยวเหม่ยนอนแล้ว ไม่คิดว่าเธอยังดูทีวีอยู่ในห้องรับแขก,"I thought Xiaomei had already gone to sleep, but unexpectedly she was still watching TV in the living room."
健康,jiàn kāng,sức khỏe / khỏe mạnh,สุขภาพ / แข็งแรง,health / healthy,醫生說，早睡早起對健康比較好。,Bác sĩ nói ngủ sớm dậy sớm tốt hơn cho sức khỏe.,หมอบอกว่าเข้านอนเร็วและตื่นเช้ามีผลดีต่อสุขภาพมากกว่า,The doctor said going to bed early and getting up early is better for health.
影響,yǐng xiǎng,ảnh hưởng,ส่งผลกระทบ,to affect / influence,如果你常常睡得太晚，可能會影響第二天上課的精神。,"Nếu bạn thường ngủ quá muộn, có thể ảnh hưởng đến tinh thần học bài ngày hôm sau.",ถ้าคุณนอนดึกบ่อย ๆ อาจส่งผลต่อความสดชื่นในการเรียนวันถัดไป,"If you often sleep too late, it may affect your energy in class the next day."
