生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
種,zhǒng,loại,ชนิด / ประเภท,kind / type,這裡有三種魚，每一種魚都有不同的名字。,"Ở đây có ba loại cá, mỗi loại cá đều có tên khác nhau.",ที่นี่มีปลาสามชนิด ปลาแต่ละชนิดมีชื่อแตกต่างกัน,"There are three kinds of fish here, and each kind has a different name."
春天,chūn tiān,mùa xuân,ฤดูใบไม้ผลิ,spring,春天到了，很多遊客會來海邊看魚和拍照。,"Mùa xuân đến rồi, nhiều du khách sẽ đến bờ biển xem cá và chụp ảnh.",ฤดูใบไม้ผลิมาถึงแล้ว นักท่องเที่ยวหลายคนจะมาที่ชายทะเลเพื่อดูปลาและถ่ายรูป,"Spring has arrived, and many tourists come to the seaside to watch fish and take photos."
最多,zuì duō,nhiều nhất,มากที่สุด,the most,朋友問起最多的時候，小華想了一下才回答。,"Trong bữa tối, Tiểu Hoa và gia đình nói về nhiều nhất, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหัวกับครอบครัวคุยกันเรื่องมากที่สุด ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaohua and the family talked about the most, and everyone said it was important."
一起,yì qǐ,cùng nhau,ด้วยกัน,together,晚飯以後，我們全家一起看電視，媽媽還準備了水果。,"Sau bữa tối, cả gia đình chúng tôi cùng nhau xem ti vi, mẹ còn chuẩn bị trái cây.",หลังอาหารเย็น ครอบครัวของเราดูทีวีด้วยกัน และแม่ยังเตรียมผลไม้ไว้ด้วย,"After dinner, our whole family watched TV together, and Mom also prepared fruit."
搭船,dā chuán,đi thuyền,นั่งเรือ,to take a boat,遊客要搭船到海上，才看得到這種特別的魚。,Du khách phải đi thuyền ra biển mới có thể thấy loài cá đặc biệt này.,นักท่องเที่ยวต้องนั่งเรือออกทะเล จึงจะเห็นปลาชนิดพิเศษนี้ได้,Tourists need to take a boat out to sea to see this special fish.
海上,hǎi shàng,trên biển,บนทะเล,at sea,天氣好的時候，海上有很多小船在找魚。,"Khi thời tiết đẹp, trên biển có nhiều thuyền nhỏ đang tìm cá.",เวลาอากาศดี บนทะเลมีเรือลำเล็กมากมายกำลังหาปลา,"When the weather is good, many small boats are on the sea looking for fish."
找,zhǎo,tìm,หา,to look for,小孩在海邊找漂亮的石頭，也找到了很多貝殼。,Bọn trẻ tìm đá đẹp bên bờ biển và cũng tìm thấy nhiều vỏ sò.,เด็ก ๆ หาหินสวย ๆ ริมทะเล และยังหาเปลือกหอยได้มากมาย,The children looked for pretty stones by the sea and found many shells too.
重要,zhòng yào,quan trọng,สำคัญ,important,小華覺得今天的活動很重要，所以想下次再參加。,"Tiểu Hoa cảm thấy hoạt động hôm nay rất quan trọng, vì vậy muốn lần sau tham gia nữa.",เสี่ยวหัวรู้สึกว่ากิจกรรมวันนี้สำคัญมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"Xiaohua felt today’s activity was very important, so they wanted to join again next time."
食物,shí wù,thức ăn,อาหาร,food,媽媽準備了食物給大家吃，弟弟吃得最開心。,"Vào bữa trưa, em trai gọi thức ăn, sau khi ăn xong cảm thấy rất no.",ตอนอาหารกลางวัน น้องชายสั่งอาหาร กินเสร็จแล้วรู้สึกอิ่มมาก,"At lunch, the younger brother ordered food and felt very full after eating."
大人,dà rén,người lớn,ผู้ใหญ่,adult,這些大人正在教室裡討論明天的活動。,"Sáng nay, các người lớn tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้ผู้ใหญ่รวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the adult gathered at the school gate and prepared to join the activity together."
小孩,xiǎo hái,trẻ con,เด็ก,child,公園裡有很多小孩，大家都在等表演開始。,"Sáng nay, các trẻ con tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้เด็กรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the child gathered at the school gate and prepared to join the activity together."
需要,xū yào,cần,ต้องการ / จำเป็นต้อง,to need,這裡的大人小孩都需要魚，因為魚是他們常吃的食物。,Người lớn và trẻ con ở đây đều cần cá vì cá là thức ăn họ thường ăn.,ผู้ใหญ่และเด็กที่นี่ต่างก็ต้องการปลา เพราะปลาเป็นอาหารที่พวกเขากินบ่อย,Adults and children here all need fish because fish is food they often eat.
本來,běn lái,vốn dĩ,เดิมที,originally,小明本來想去看電影，但是朋友請他一起去海邊。,"Tiểu Minh vốn muốn đi xem phim, nhưng bạn rủ cậu ấy cùng đi bờ biển.",เดิมทีเสี่ยวหมิงอยากไปดูหนัง แต่เพื่อนชวนเขาไปชายทะเลด้วยกัน,"Xiaoming originally wanted to watch a movie, but his friend invited him to the seaside."
別的,bié de,khác,อื่น ๆ,other,很多住在別的地方的人，春天放假時會來這裡旅遊。,Nhiều người sống ở nơi khác sẽ đến đây du lịch khi nghỉ vào mùa xuân.,คนจำนวนมากที่อยู่ที่อื่นจะมาเที่ยวที่นี่ตอนวันหยุดฤดูใบไม้ผลิ,Many people who live in other places come here to travel during spring vacation.
地方,dì fāng,nơi / địa điểm,ที่ / สถานที่,place,這個地方離學校不遠，學生走路十分鐘就到了。,"Chiều cuối tuần, chị gái cùng bạn đi đến nơi, họ ở đó đến năm giờ mới về nhà.",บ่ายวันหยุด พี่สาวกับเพื่อนไปที่ด้วยกัน พวกเขาอยู่ที่นั่นจนถึงห้าโมงจึงกลับบ้าน,"On a weekend afternoon, the older sister went to place with a friend and stayed there until five before going home."
放假,fàng jià,nghỉ lễ / nghỉ học,หยุด / ปิดเทอม,to have a holiday,春天放假的時候，小華想和家人一起去東部旅行。,"Khi nghỉ vào mùa xuân, Tiểu Hoa muốn đi du lịch miền đông cùng gia đình.",ตอนวันหยุดฤดูใบไม้ผลิ เสี่ยวหัวอยากไปเที่ยวภาคตะวันออกกับครอบครัว,"During spring vacation, Xiaohua wants to travel to the east with her family."
問題,wèn tí,vấn đề / câu hỏi,ปัญหา / คำถาม,problem / question,昨天看新聞的時候，小美注意到問題，於是上網查了更多資料。,"Trong bữa tối, Tiểu Mỹ và gia đình nói về vấn đề, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวเหม่ยกับครอบครัวคุยกันเรื่องปัญหา ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaomei and the family talked about problem, and everyone said it was important."
時候,shí hòu,lúc / khi,ตอนที่ / เมื่อ,when / time,暑假的時候，小美會去參觀朋友的學校。,"Vào kỳ nghỉ hè, Tiểu Mỹ sẽ đi tham quan trường của bạn.",ตอนปิดเทอมฤดูร้อน เสี่ยวเหม่ยจะไปเยี่ยมชมโรงเรียนของเพื่อน,"During summer vacation, Xiaomei will visit her friend’s school."
消息,xiāo xī,tin tức,ข่าว / ข้อความ,news / message,朋友問起消息的時候，弟弟想了一下才回答。,"Trong bữa tối, em trai và gia đình nói về tin tức, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น น้องชายกับครอบครัวคุยกันเรื่องข่าว ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the younger brother and the family talked about news, and everyone said it was important."
旅遊,lǚ yóu,du lịch,ท่องเที่ยว,to travel,暑假的時候，很多家庭會到臺灣東部旅遊。,"Vào kỳ nghỉ hè, nhiều gia đình sẽ đi du lịch miền đông Đài Loan.",ตอนปิดเทอมฤดูร้อน หลายครอบครัวจะไปเที่ยวภาคตะวันออกของไต้หวัน,"During summer vacation, many families travel to eastern Taiwan."
