生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
腳痛,jiǎo tòng,đau chân,เจ็บเท้า,foot pain,弟弟昨天踢足球的時候跌倒了，今天早上腳痛，所以沒有去上課。,"Hôm qua em trai bị ngã khi đá bóng, sáng nay đau chân nên không đi học.",เมื่อวานน้องชายล้มตอนเล่นฟุตบอล เช้าวันนี้ปวดเท้า จึงไม่ได้ไปเรียน,"My younger brother fell while playing soccer yesterday, and his foot hurt this morning, so he did not go to class."
頭痛,tóu tòng,đau đầu,ปวดหัว,headache,小美昨天晚上睡得太少，今天上課的時候一直頭痛。,"Tối qua Tiểu Mỹ ngủ quá ít, hôm nay trong giờ học cô ấy cứ bị đau đầu.",เมื่อคืนเสี่ยวเหม่ยนอนน้อยเกินไป วันนี้ตอนเรียนเธอปวดหัวตลอด,"Xiaomei slept too little last night, so she had a headache throughout class today."
肚子痛,dù zi tòng,đau bụng,ปวดท้อง,stomachache,小王吃了太多冰淇淋，半夜突然肚子痛，媽媽帶他去看醫生。,"Tiểu Vương ăn quá nhiều kem, nửa đêm đột nhiên đau bụng, mẹ đưa cậu ấy đi khám bác sĩ.",เสี่ยวหวังกินไอศกรีมมากเกินไป กลางดึกจู่ ๆ ก็ปวดท้อง แม่จึงพาเขาไปหาหมอ,"Xiaowang ate too much ice cream, suddenly had a stomachache at midnight, and his mother took him to see a doctor."
水果,shuǐ guǒ,trái cây,ผลไม้,fruit,老師說，多吃水果對身體好，所以我每天早餐後都吃一個蘋果。,"Giáo viên nói ăn nhiều trái cây tốt cho sức khỏe, nên mỗi ngày sau bữa sáng tôi đều ăn một quả táo.",ครูบอกว่ากินผลไม้มาก ๆ ดีต่อสุขภาพ ดังนั้นหลังอาหารเช้าทุกวันฉันจึงกินแอปเปิลหนึ่งลูก,"The teacher said eating more fruit is good for health, so I eat an apple after breakfast every day."
蛋糕,dàn gāo,bánh kem,เค้ก,cake,今天是妹妹的生日，爸爸下班後買了一個巧克力蛋糕回家。,"Hôm nay là sinh nhật em gái, sau khi tan làm bố mua một chiếc bánh kem sô-cô-la về nhà.",วันนี้เป็นวันเกิดของน้องสาว หลังเลิกงานพ่อซื้อเค้กช็อกโกแลตกลับบ้านหนึ่งก้อน,"Today is my younger sister’s birthday, so Dad bought a chocolate cake after work and brought it home."
餃子,jiǎo zi,sủi cảo,เกี๊ยว,dumplings,過年的時候，奶奶教我們包餃子，全家人一起吃得很開心。,"Vào dịp Tết, bà dạy chúng tôi gói sủi cảo, cả nhà ăn cùng nhau rất vui.",ตอนปีใหม่ คุณยายสอนพวกเราห่อเกี๊ยว ทุกคนในบ้านกินด้วยกันอย่างมีความสุข,"During the New Year, Grandma taught us to make dumplings, and the whole family enjoyed eating them together."
教室,jiào shì,phòng học,ห้องเรียน,classroom,上課以前，班長先到教室開燈，然後把門打開。,"Trước giờ học, lớp trưởng đến phòng học trước để bật đèn, rồi mở cửa.",ก่อนเริ่มเรียน หัวหน้าห้องไปถึงห้องเรียนก่อนเพื่อเปิดไฟ แล้วจึงเปิดประตู,"Before class, the class leader went to the classroom first to turn on the lights and open the door."
上網,shàng wǎng,lên mạng,ใช้อินเทอร์เน็ต,to go online,哥哥做完功課以後，會用電腦上網查明天要用的資料。,"Sau khi làm xong bài tập, anh trai dùng máy tính lên mạng tra tài liệu cần dùng cho ngày mai.",หลังจากพี่ชายทำการบ้านเสร็จ เขาจะใช่คอมพิวเตอร์เข้าอินเทอร์เน็ตค้นหาข้อมูลที่ต้องใช้พรุ่งนี้,"After finishing his homework, my older brother goes online on the computer to look up information he needs for tomorrow."
辦公室,bàn gōng shì,văn phòng,ออฟฟิศ / สำนักงาน,office,經理今天不在辦公室，如果你有問題，可以先留言給他。,"Hôm nay quản lý không có ở văn phòng, nếu bạn có vấn đề thì có thể để lại lời nhắn cho ông ấy trước.",วันนี้ผู้จัดการไม่อยู่ที่ออฟฟิศ ถ้าคุณมีคำถาม สามารถฝากข้อความไว้ให้เขาก่อนได้,"The manager is not in the office today, so if you have a question, you can leave him a message first."
工作,gōng zuò,làm việc / công việc,ทำงาน / งาน,to work / work,爸爸每天早上七點出門工作，晚上八點才回到家。,"Bố mỗi sáng bảy giờ ra ngoài làm việc, đến tám giờ tối mới về nhà.",พ่อออกไปทำงานตอนเจ็ดโมงเช้าทุกวัน และกลับถึงบ้านตอนสองทุ่ม,Dad leaves for work at seven every morning and does not get home until eight at night.
寄信,jì xìn,gửi thư,ส่งจดหมาย,to mail a letter,小女孩寫完卡片以後，跟媽媽一起去郵局寄信。,"Sau khi cô bé viết xong tấm thiệp, cô bé cùng mẹ đi bưu điện gửi thư.",หลังจากเด็กผู้หญิงเขียนการ์ดเสร็จ เธอกับแม่ไปไปรษณีย์เพื่อส่งจดหมาย,"After the little girl finished writing the card, she went to the post office with her mother to mail the letter."
寫信,xiě xìn,viết thư,เขียนจดหมาย,to write a letter,小華很想念在國外的朋友，所以晚上坐在書桌前寫信給他。,"Tiểu Hoa rất nhớ người bạn ở nước ngoài, nên buổi tối ngồi trước bàn học viết thư cho bạn ấy.",เสี่ยวหัวคิดถึงเพื่อนที่อยู่ต่างประเทศมาก ดังนั้นตอนกลางคืนจึงนั่งที่โต๊ะเขียนจดหมายถึงเขา,"Xiaohua missed her friend abroad, so she sat at her desk at night and wrote a letter to him."
鉛筆,qiān bǐ,bút chì,ดินสอ,pencil,考試的時候，老師請學生用鉛筆寫答案，不要用原子筆。,"Khi thi, giáo viên yêu cầu học sinh dùng bút chì viết đáp án, không dùng bút bi.",ตอนสอบ ครูให้นักเรียนใช้ดินสอเขียนคำตอบ ไม่要ใช้ปากกาลูกลื่น,"During the exam, the teacher asked the students to write their answers with a pencil, not a ballpoint pen."
字典,zì diǎn,từ điển,พจนานุกรม,dictionary,我讀中文課本的時候，常常用字典查不認識的生詞。,"Khi đọc sách giáo khoa tiếng Trung, tôi thường dùng từ điển tra những từ mới không biết.",ตอนที่ฉันอ่านหนังสือเรียนภาษาจีน ฉันมักใช้พจนานุกรมค้นหาคำศัพท์ใหม่ที่ไม่รู้จัก,"When I read my Chinese textbook, I often use a dictionary to look up unfamiliar vocabulary."
毛筆,máo bǐ,bút lông,พู่กันจีน,writing brush,書法課的時候，老師教我們用毛筆寫自己的名字。,"Trong giờ thư pháp, giáo viên dạy chúng tôi dùng bút lông viết tên của mình.",ในคาบคัดพู่กัน ครูสอนพวกเราใช้พู่กันเขียนชื่อตัวเอง,"In calligraphy class, the teacher taught us to write our names with a writing brush."
雜誌,zá zhì,tạp chí,นิตยสาร,magazine,媽媽在火車上看雜誌，弟弟在旁邊聽音樂。,"Mẹ đọc tạp chí trên tàu, còn em trai nghe nhạc bên cạnh.",แม่อ่านนิตยสารบนรถไฟ ส่วนน้องชายฟังเพลงอยู่ข้าง ๆ,Mom read a magazine on the train while my younger brother listened to music beside her.
課本,kè běn,sách giáo khoa,หนังสือเรียน,textbook,小明忘了帶中文課本，所以他上課時跟同學一起看。,"Tiểu Minh quên mang sách giáo khoa tiếng Trung, nên khi học cậu ấy xem chung với bạn học.",เสี่ยวหมิงลืมเอาหนังสือเรียนภาษาจีนมา ดังนั้นตอนเรียนเขาจึงดูร่วมกับเพื่อนร่วมชั้น,"Xiaoming forgot to bring his Chinese textbook, so he shared one with a classmate during class."
一邊...一邊,yì biān...yì biān,vừa... vừa...,ทั้ง...ไปด้วย ทั้ง...ไปด้วย,while doing...,週末晚上，我們一邊看電視，一邊吃媽媽做的點心。,"Tối cuối tuần, chúng tôi vừa xem tivi vừa ăn đồ ăn vặt mẹ làm.",คืนวันหยุดสุดสัปดาห์ พวกเราดูทีวีไปด้วย กินขนมที่แม่ทำไปด้วย,"On weekend nights, we watch TV while eating the snacks Mom made."
看電視,kàn diàn shì,xem ti vi,ดูโทรทัศน์,to watch TV,晚飯以後，爺爺坐在客廳看電視，奶奶在旁邊喝茶。,"Sau bữa tối, ông ngồi ở phòng khách xem tivi, bà uống trà bên cạnh.",หลังอาหารเย็น คุณปู่นั่งดูทีวีในห้องรับแขก ส่วนคุณย่าดื่มชาอยู่ข้าง ๆ,"After dinner, Grandpa sat in the living room watching TV while Grandma drank tea beside him."
和狗玩,hé gǒu wán,chơi với chó,เล่นกับสุนัข,to play with a dog,小女孩放學回家後，先做功課，然後在院子裡和狗玩。,"Sau khi cô bé tan học về nhà, cô ấy làm bài tập trước, rồi chơi với chó trong sân.",หลังเลิกเรียนกลับบ้าน เด็กผู้หญิงทำการบ้านก่อน แล้วจึงเล่นกับสุนัขในลานบ้าน,"After the little girl came home from school, she did her homework first and then played with the dog in the yard."
動物,dòng wù,động vật,สัตว์,animal,動物園裡有很多不同的動物，學生們最喜歡看馬和牛。,"Trong sở thú có nhiều loài động vật khác nhau, học sinh thích xem ngựa và bò nhất.",ในสวนสัตว์มีสัตว์หลายชนิด นักเรียนชอบดูม้าและวัวมากที่สุด,"There are many different animals in the zoo, and the students like seeing horses and cows the most."
植物,zhí wù,thực vật,พืช,plant,老師帶我們到公園認識植物，還請我們畫一棵大樹。,"Giáo viên dẫn chúng tôi đến công viên để tìm hiểu về thực vật, và còn yêu cầu chúng tôi vẽ một cái cây lớn.",ครูพาพวกเราไปที่สวนสาธารณะเพื่อรู้จักพืช และยังให้พวกเราวาดต้นไม้ใหญ่หนึ่งต้น,The teacher took us to the park to learn about plants and asked us to draw a big tree.
牛,niú,con bò,วัว,cow / ox,農場裡有三頭牛，牠們每天早上在草地上吃草。,"Trong nông trại có ba con bò, mỗi sáng chúng ăn cỏ trên bãi cỏ.",ในฟาร์มมีวัวสามตัว พวกมันกินหญ้าบนสนามหญ้าทุกเช้า,"There are three cows on the farm, and they eat grass on the grass every morning."
馬,mǎ,con ngựa,ม้า,horse,那匹馬跑得很快，小朋友看到以後都覺得很高興。,"Con ngựa đó chạy rất nhanh, sau khi các em nhỏ nhìn thấy đều cảm thấy rất vui.",ม้าตัวนั้นวิ่งเร็วมาก เด็ก ๆ เห็นแล้วต่างก็รู้สึกดีใจ,"That horse ran very fast, and the children were very happy when they saw it."
