生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
什麼地方,shén me dì fāng,nơi nào / chỗ nào,ที่ไหน / สถานที่อะไร,what place,小王迷路了，他想知道前面是什麼地方。,"Tiểu Vương bị lạc đường, cậu ấy muốn biết phía trước là nơi nào.",เสี่ยวหวังหลงทาง เขาอยากรู้ว่าข้างหน้าเป็นสถานที่อะไร,Xiaowang got lost and wanted to know what place was ahead.
工廠,gōng chǎng,nhà máy,โรงงาน,factory,週末，小美和朋友一起去工廠，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến nhà máy, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปโรงงานด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the factory and took many photos there."
公園,gōng yuán,công viên,สวนสาธารณะ,park,週末，小美和朋友一起去公園，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến công viên, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปสวนสาธารณะด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the park and took many photos there."
車站,chē zhàn,nhà ga / bến xe,สถานี,station,週末，小美和朋友一起去車站，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến nhà ga / bến xe, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปสถานีด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the station and took many photos there."
這個人,zhè gè rén,người này,คนคนนี้,this person,這個人看起來不舒服，所以朋友帶他去看醫生。,"Người này trông không khỏe, nên bạn của anh ấy đưa anh ấy đi khám bác sĩ.",คนคนนี้ดูไม่สบาย เพื่อนจึงพาเขาไปหาหมอ,"This person looks unwell, so his friend took him to see a doctor."
怎麼了,zěn me le,bị sao vậy,เป็นอะไรไป,what happened / what is wrong,小華一直咳嗽，媽媽問他怎麼了。,"Tiểu Hoa cứ ho mãi, mẹ hỏi cậu ấy bị sao vậy.",เสี่ยวหัวไอตลอด แม่ถามเขาว่าเป็นอะไรไป,"Xiaohua kept coughing, so his mother asked what was wrong."
耳朵,ěr duǒ,tai,หู,ear,小王的耳朵很痛，所以他今天去醫院看病。,"Tai của Tiểu Vương rất đau, nên hôm nay cậu ấy đi bệnh viện khám bệnh.",หูของเสี่ยวหวังเจ็บมาก ดังนั้นวันนี้เขาไปโรงพยาบาลเพื่อหาหมอ,"Xiaowang’s ear hurt, so he went to the hospital today."
痛,tòng,đau,เจ็บ / ปวด,hurt / painful,今天的情況很痛，所以大家都需要小心一點。,"Tình huống hôm nay rất đau, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้เจ็บ / ปวดมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very hurt / painful, so everyone needs to be a little careful."
肚子,dǔ zi,bụng,ท้อง,stomach / belly,小王的肚子很痛，所以他今天去醫院看病。,"Bụng của Tiểu Vương rất đau, nên hôm nay cậu ấy đi bệnh viện khám bệnh.",ท้องของเสี่ยวหวังเจ็บมาก ดังนั้นวันนี้เขาไปโรงพยาบาลเพื่อหาหมอ,"Xiaowang’s stomach / belly hurt, so he went to the hospital today."
不舒服,bù shū fú,không khỏe / không thoải mái,ไม่สบาย / ไม่สบายตัว,uncomfortable / not feeling well,今天的情況很不舒服，所以大家都需要小心一點。,"Tình huống hôm nay rất không khỏe / không thoải mái, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้ไม่สบาย / ไม่สบายตัวมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very uncomfortable / not feeling well, so everyone needs to be a little careful."
手指頭,shǒu zhǐ tóu,ngón tay,นิ้วมือ,finger,小王的手指頭很痛，所以他今天去醫院看病。,"Ngón tay của Tiểu Vương rất đau, nên hôm nay cậu ấy đi bệnh viện khám bệnh.",นิ้วมือของเสี่ยวหวังเจ็บมาก ดังนั้นวันนี้เขาไปโรงพยาบาลเพื่อหาหมอ,"Xiaowang’s finger hurt, so he went to the hospital today."
受傷,shòu shāng,bị thương,บาดเจ็บ,to be injured,今天的情況很受傷，所以大家都需要小心一點。,"Tình huống hôm nay rất bị thương, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้บาดเจ็บมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very to be injured, so everyone needs to be a little careful."
玩什麼,wán shén me,chơi gì,เล่นอะไร,play what,大家到了公園以後，先討論今天要玩什麼。,"Sau khi mọi người đến công viên, họ bàn trước hôm nay sẽ chơi gì.",หลังจากทุกคนถึงสวนสาธารณะแล้ว พวกเขาคุยกันก่อนว่าวันนี้จะเล่นอะไร,"After everyone arrived at the park, they first discussed what to play today."
足球,zú qiú,bóng đá,ฟุตบอล,soccer / football,放學以後，小王和朋友一起足球，他們玩得很開心。,"Sau giờ học, Tiểu Vương cùng bạn bè bóng đá, họ chơi rất vui.",หลังเลิกเรียน เสี่ยวหวังกับเพื่อนฟุตบอลด้วยกัน พวกเขาสนุกมาก,"After school, Xiaowang and his friends soccer / football, and they had a lot of fun."
棒球,bàng qiú,bóng chày,เบสบอล,baseball,放學以後，小王和朋友一起棒球，他們玩得很開心。,"Sau giờ học, Tiểu Vương cùng bạn bè bóng chày, họ chơi rất vui.",หลังเลิกเรียน เสี่ยวหวังกับเพื่อนเบสบอลด้วยกัน พวกเขาสนุกมาก,"After school, Xiaowang and his friends baseball, and they had a lot of fun."
網球,wǎng qiú,quần vợt,เทนนิส,tennis,放學以後，小王和朋友一起網球，他們玩得很開心。,"Sau giờ học, Tiểu Vương cùng bạn bè quần vợt, họ chơi rất vui.",หลังเลิกเรียน เสี่ยวหวังกับเพื่อนเทนนิสด้วยกัน พวกเขาสนุกมาก,"After school, Xiaowang and his friends tennis, and they had a lot of fun."
職業,zhí yè,nghề nghiệp,อาชีพ,occupation,小明想知道王先生的職業，所以問他在哪裡工作。,"Tiểu Minh muốn biết nghề nghiệp của anh Vương, nên hỏi anh ấy làm việc ở đâu.",เสี่ยวหมิงอยากรู้อาชีพของคุณหวัง จึงถามว่าเขาทำงานที่ไหน,"Xiaoming wanted to know Mr. Wang’s occupation, so he asked where he worked."
工作,gōng zuò,công việc / làm việc,งาน / ทำงาน,work / job,王先生的工作很忙，他每天都要和很多客人說話。,"Công việc của anh Vương rất bận, mỗi ngày anh ấy đều phải nói chuyện với nhiều khách.",งานของคุณหวังยุ่งมาก เขาต้องพูดคุยกับลูกค้าหลายคนทุกวัน,"Mr. Wang’s job is busy, and he has to talk with many customers every day."
教師,jiào shī,giáo viên,ครู,teacher,這位教師每天都要和很多人說話，工作非常忙。,"Người giáo viên này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",ครูคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This teacher has to talk with many people every day and is very busy at work.
經理,jīng lǐ,quản lý / giám đốc,ผู้จัดการ,manager,這位經理每天都要和很多人說話，工作非常忙。,"Người quản lý / giám đốc này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",ผู้จัดการคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This manager has to talk with many people every day and is very busy at work.
記者,jì zhě,phóng viên,นักข่าว,reporter,這位記者每天都要和很多人說話，工作非常忙。,"Người phóng viên này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",นักข่าวคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This reporter has to talk with many people every day and is very busy at work.
天氣,tiān qì,thời tiết,อากาศ,weather,今天的天氣很好，小美想去海邊散步。,"Thời tiết hôm nay rất đẹp, Tiểu Mỹ muốn đi dạo ở bờ biển.",วันนี้อากาศดีมาก เสี่ยวเหม่ยอยากไปเดินเล่นที่ชายทะเล,"The weather is nice today, so Xiaomei wants to walk by the seaside."
怎麼樣,zěn me yàng,như thế nào,เป็นอย่างไร,how / what is it like,小王想租房子，所以問朋友這個地方怎麼樣。,"Tiểu Vương muốn thuê nhà, nên hỏi bạn nơi này thế nào.",เสี่ยวหวังอยากเช่าบ้าน จึงถามเพื่อนว่าสถานที่นี้เป็นอย่างไร,"Xiaowang wanted to rent a house, so he asked his friend what the place was like."
太陽,tài yáng,mặt trời,ดวงอาทิตย์,sun,今天早上太陽很大，很多人都想去海邊玩。,"Sáng nay mặt trời rất lớn, nhiều người đều muốn đi chơi ở bờ biển.",เช้าวันนี้แดดแรงมาก หลายคนอยากไปเที่ยวชายทะเล,"The sun is strong this morning, and many people want to go to the seaside."
下雨,xià yǔ,mưa,ฝนตก,to rain,下午突然下雨，小美只好在家裡看書。,"Buổi chiều đột nhiên trời mưa, Tiểu Mỹ đành phải ở nhà đọc sách.",ตอนบ่ายฝนตกกะทันหัน เสี่ยวเหม่ยจึงต้องอยู่บ้านอ่านหนังสือ,"It suddenly rained in the afternoon, so Xiaomei had to read at home."
有一點,yǒu yī diǎn,hơi / một chút,นิดหน่อย,a little,今天天氣有一點熱，我們先買水再出門。,"Hôm nay thời tiết hơi nóng, chúng ta mua nước trước rồi hãy ra ngoài.",วันนี้อากาศร้อนนิดหน่อย เราซื้อน้ำก่อนแล้วค่อยออกจากบ้าน,"The weather is a little hot today, so let’s buy water before going out."
熱,rè,nóng,ร้อน,hot,今天的情況很熱，所以大家都需要小心一點。,"Tình huống hôm nay rất nóng, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้ร้อนมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very hot, so everyone needs to be a little careful."
海邊,hǎi biān,bờ biển,ชายทะเล,seaside,週末，小美和朋友一起去海邊，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến bờ biển, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปชายทะเลด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the seaside and took many photos there."
桌子,zhuō zi,cái bàn,โต๊ะ,table,小明把桌子放在桌上，準備等一下使用。,"Tiểu Minh đặt cái bàn lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางโต๊ะไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the table on the table and prepared to use it later.
只有,zhǐ yǒu,chỉ có,มีแค่,only have / only,今天晚上只有小明在辦公室，其他人都回家了。,"Tối nay chỉ có Tiểu Minh ở văn phòng, những người khác đều về nhà rồi.",คืนนี้มีแค่เสี่ยวหมิงอยู่ที่ออฟฟิศ คนอื่นกลับบ้านหมดแล้ว,Only Xiaoming is in the office tonight; everyone else has gone home.
信封,xìn fēng,phong bì,ซองจดหมาย,envelope,小明把信封放在桌上，準備等一下使用。,"Tiểu Minh đặt phong bì lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางซองจดหมายไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the envelope on the table and prepared to use it later.
燈,dēng,đèn,ไฟ / โคมไฟ,lamp / light,小明把燈放在桌上，準備等一下使用。,"Tiểu Minh đặt đèn lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางไฟ / โคมไฟไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the lamp / light on the table and prepared to use it later.
卡片,kǎ piàn,tấm thiệp,การ์ด,card,小明把卡片放在桌上，準備等一下使用。,"Tiểu Minh đặt tấm thiệp lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางการ์ดไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the card on the table and prepared to use it later.
圖片裡,tú piàn lǐ,trong hình,ในรูปภาพ,in the picture,圖片裡有兩個小孩，他們準備一起坐車去學校。,"Trong hình có hai đứa trẻ, chúng chuẩn bị cùng ngồi xe đến trường.",ในรูปภาพมีเด็กสองคน พวกเขาเตรียมนั่งรถไปโรงเรียนด้วยกัน,"There are two children in the picture, and they are preparing to take a car to school together."
準備,zhǔn bèi,chuẩn bị,เตรียม,to prepare,今天下午，小美要準備，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải chuẩn bị, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องเตรียม ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to prepare, so she arranged her time first."
坐車,zuò chē,đi xe,นั่งรถ,to take a vehicle,放學以後，小王和朋友一起坐車，他們玩得很開心。,"Sau giờ học, Tiểu Vương cùng bạn bè đi xe, họ chơi rất vui.",หลังเลิกเรียน เสี่ยวหวังกับเพื่อนนั่งรถด้วยกัน พวกเขาสนุกมาก,"After school, Xiaowang and his friends to take a vehicle, and they had a lot of fun."
騎車,qí chē,đi xe đạp / xe máy,ขี่รถ,to ride,放學以後，小王和朋友一起騎車，他們玩得很開心。,"Sau giờ học, Tiểu Vương cùng bạn bè đi xe đạp / xe máy, họ chơi rất vui.",หลังเลิกเรียน เสี่ยวหวังกับเพื่อนขี่รถด้วยกัน พวกเขาสนุกมาก,"After school, Xiaowang and his friends to ride, and they had a lot of fun."
買,mǎi,mua,ซื้อ,to buy,今天下午，小美要買，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải mua, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องซื้อ ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to buy, so she arranged her time first."
車票,chē piào,vé xe,ตั๋วรถ,ticket,小明把車票放在桌上，準備等一下使用。,"Tiểu Minh đặt vé xe lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางตั๋วรถไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the ticket on the table and prepared to use it later.
收傳真,shōu chuán zhēn,nhận fax,รับแฟกซ์,to receive a fax,王小姐正在辦公室收傳真，等一下要拿給經理看。,"Cô Vương đang nhận fax ở văn phòng, lát nữa sẽ đưa cho quản lý xem.",คุณหวังกำลังรับแฟกซ์ที่ออฟฟิศ เดี๋ยวจะเอาให้ผู้จัดการดู,Miss Wang is receiving a fax in the office and will show it to the manager later.
打電腦,dǎ diàn nǎo,dùng máy tính,ใช้คอมพิวเตอร์,to use a computer,弟弟正在房間裡打電腦，媽媽請他先寫作業。,"Em trai đang dùng máy tính trong phòng, mẹ bảo em ấy làm bài tập trước.",น้องชายกำลังใช้คอมพิวเตอร์ในห้อง แม่ขอให้เขาทำการบ้านก่อน,"My younger brother is using the computer in his room, and Mom asks him to do his homework first."
寫卡片,xiě kǎ piàn,viết thiệp,เขียนการ์ด,to write a card,小美想祝朋友生日快樂，所以正在寫卡片。,"Tiểu Mỹ muốn chúc mừng sinh nhật bạn, nên cô ấy đang viết thiệp.",เสี่ยวเหม่ยอยากอวยพรวันเกิดเพื่อน จึงกำลังเขียนการ์ด,"Xiaomei wants to wish her friend a happy birthday, so she is writing a card."
