生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
開學,kāi xué,khai giảng / bắt đầu đi học,เปิดเทอม / เปิดเรียน,school starts,九月開學以後，小朋友們每天都要早一點起床。,"Sau khi khai giảng vào tháng chín, các em nhỏ mỗi ngày đều phải dậy sớm hơn một chút.",หลังเปิดเทอมในเดือนกันยายน เด็ก ๆ ต้องตื่นเช้าขึ้นทุกวัน,"After school starts in September, the children have to get up a little earlier every day."
幾個人,jǐ gè rén,mấy người,กี่คน / หลายคน,a few people,朋友問起幾個人的時候，小明想了一下才回答。,"Trong bữa tối, Tiểu Minh và gia đình nói về mấy người, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหมิงกับครอบครัวคุยกันเรื่องกี่คน ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaoming and the family talked about a few people, and everyone said it was important."
就要,jiù yào,sắp sửa,กำลังจะ,about to,火車就要出發了，爸爸請大家快一點上車。,"Tàu sắp xuất phát rồi, bố bảo mọi người nhanh lên xe.",รถไฟกำลังจะออกแล้ว พ่อขอให้ทุกคนรีบขึ้นรถ,"The train is about to depart, so Dad asked everyone to get on quickly."
畢業,bì yè,tốt nghiệp,จบการศึกษา,to graduate,哥哥今年六月要畢業，家人都準備去學校參加典禮。,"Tháng sáu năm nay anh trai sẽ tốt nghiệp, cả gia đình đều chuẩn bị đến trường tham dự buổi lễ.",เดือนมิถุนายนปีนี้พี่ชายจะจบการศึกษา ครอบครัวทุกคนเตรียมไปโรงเรียนเพื่อเข้าร่วมพิธี,"The older brother will graduate this June, and the whole family is preparing to attend the ceremony at school."
中國,zhōng guó,Trung Quốc,ประเทศจีน,China,弟弟最近常常遇到和中國有關的問題，所以想請朋友幫忙。,"Trong bữa tối, em trai và gia đình nói về Trung Quốc, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น น้องชายกับครอบครัวคุยกันเรื่องประเทศจีน ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the younger brother and the family talked about China, and everyone said it was important."
新年,xīn nián,năm mới,ปีใหม่,New Year,朋友問起新年的時候，姐姐想了一下才回答。,"Trong bữa tối, chị gái và gia đình nói về năm mới, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น พี่สาวกับครอบครัวคุยกันเรื่องปีใหม่ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the older sister and the family talked about New Year, and everyone said it was important."
小朋友,xiǎo péng yǒu,trẻ em / các em nhỏ,เด็ก ๆ,children,今天早上，小朋友們在學校門口集合，準備一起去參加活動。,"Sáng nay, các trẻ em tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้เด็ก ๆรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the children gathered at the school gate and prepared to join the activity together."
手上,shǒu shàng,trên tay / trong tay,ในมือ,in one’s hand,昨天看新聞的時候，小美注意到手上，於是上網查了更多資料。,"Trong bữa tối, Tiểu Mỹ và gia đình nói về trên tay, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวเหม่ยกับครอบครัวคุยกันเรื่องในมือ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaomei and the family talked about in one’s hand, and everyone said it was important."
糖果,táng guǒ,kẹo,ลูกอม / ขนมหวาน,candy,媽媽買了一個新的糖果，準備送給正在上學的妹妹。,"Trước khi ra ngoài, Tiểu Hoa bỏ kẹo vào túi để tránh đến trường mới phát hiện mình quên mang.",ก่อนออกจากบ้าน เสี่ยวหัวใส่ลูกอมลงในกระเป๋า เพื่อไม่ให้ถึงโรงเรียนแล้วเพิ่งพบว่าลืมเอาไป,"Before leaving, Xiaohua put candy into the bag so they would not realize at school that they had forgotten it."
大人們,dà rén men,những người lớn,ผู้ใหญ่ทั้งหลาย,adults,公園裡有很多大人們，大家都在等表演開始。,"Sáng nay, các những người lớn tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้ผู้ใหญ่ทั้งหลายรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the adults gathered at the school gate and prepared to join the activity together."
請,qǐng,mời / xin,เชิญ / ขอ,to invite / please,王先生請客人坐下來喝茶，然後才開始談事情。,"Ông Vương mời khách ngồi xuống uống trà, sau đó mới bắt đầu bàn việc.",คุณหวังเชิญแขกให้นั่งดื่มชา แล้วจึงเริ่มคุยเรื่องงาน,Mr. Wang invited the guests to sit down for tea before they began discussing business.
客人,kè rén,khách,แขก / ลูกค้า,guest / customer,小明看到一位客人需要幫忙，就走過去問他怎麼了。,"Sáng nay, các khách tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้แขกรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the guest gathered at the school gate and prepared to join the activity together."
吃飯,chī fàn,ăn cơm,กินข้าว,to eat a meal,小美最近常常遇到和吃飯有關的問題，所以想請朋友幫忙。,"Trong bữa tối, Tiểu Mỹ và gia đình nói về ăn cơm, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวเหม่ยกับครอบครัวคุยกันเรื่องกินข้าว ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaomei and the family talked about to eat a meal, and everyone said it was important."
舞龍舞獅,wǔ lóng wǔ shī,múa rồng múa lân,เชิดมังกรเชิดสิงโต,dragon and lion dance,朋友問起舞龍舞獅的時候，小華想了一下才回答。,"Trong bữa tối, Tiểu Hoa và gia đình nói về múa rồng múa lân, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหัวกับครอบครัวคุยกันเรื่องเชิดมังกรเชิดสิงโต ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaohua and the family talked about dragon and lion dance, and everyone said it was important."
放鞭炮,fàng biān pào,đốt pháo,จุดประทัด,to set off firecrackers,過年的晚上，有些人會放鞭炮，但是小朋友要站遠一點。,"Vào đêm năm mới, có người sẽ đốt pháo, nhưng trẻ em phải đứng xa một chút.",คืนปีใหม่ บางคนจะจุดประทัด แต่เด็ก ๆ ต้องยืนให้ไกลหน่อย,"On New Year’s Eve, some people set off firecrackers, but children should stand farther away."
雪,xuě,tuyết,หิมะ,snow,昨天看新聞的時候，姐姐注意到雪，於是上網查了更多資料。,"Trong bữa tối, chị gái và gia đình nói về tuyết, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น พี่สาวกับครอบครัวคุยกันเรื่องหิมะ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the older sister and the family talked about snow, and everyone said it was important."
已經,yǐ jīng,đã,แล้ว,already,愛美已經寫完作業，所以她可以跟爸爸一起去公園。,"Ái Mỹ đã làm xong bài tập, vì vậy cô ấy có thể đi công viên với bố.",อ้ายเหม่ยทำการบ้านเสร็จแล้ว ดังนั้นเธอจึงไปสวนสาธารณะกับพ่อได้,"Aimei has already finished her homework, so she can go to the park with her father."
停了,tíng le,đã ngừng,หยุดแล้ว,has stopped,雨停了以後，小美才拿著雨傘走出教室。,"Sau khi mưa ngừng, Tiểu Mỹ mới cầm ô đi ra khỏi lớp học.",หลังจากฝนหยุดแล้ว เสี่ยวเหม่ยจึงถือร่มเดินออกจากห้องเรียน,"After the rain stopped, Xiaomei took her umbrella and walked out of the classroom."
小女孩,xiǎo nǚ hái,bé gái,เด็กผู้หญิง,little girl,晚上吃飯時，小華和家人談到小女孩，大家都說這件事很重要。,"Trong bữa tối, Tiểu Hoa và gia đình nói về bé gái, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหัวกับครอบครัวคุยกันเรื่องเด็กผู้หญิง ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaohua and the family talked about little girl, and everyone said it was important."
戴,dài,đội / đeo,สวม / ใส่,to wear,放學以後，弟弟戴帽子，然後才回家寫功課。,"Sau giờ học, em trai đội mũ, rồi mới về nhà làm bài tập.",หลังเลิกเรียน น้องชายสวมหมวก แล้วค่อยกลับบ้านไปทำการบ้าน,"After school, the younger brother to wear a hat and then went home to do homework."
帽子,mào zi,mũ,หมวก,hat,媽媽買了一個新的帽子，準備送給正在上學的妹妹。,"Trước khi ra ngoài, chị gái bỏ mũ vào túi để tránh đến trường mới phát hiện mình quên mang.",ก่อนออกจากบ้าน พี่สาวใส่หมวกลงในกระเป๋า เพื่อไม่ให้ถึงโรงเรียนแล้วเพิ่งพบว่าลืมเอาไป,"Before leaving, the older sister put hat into the bag so they would not realize at school that they had forgotten it."
正在,zhèng zài,đang,กำลัง,be doing,小朋友們正在院子裡玩雪，爸爸在旁邊幫他們照相。,"Các em nhỏ đang chơi tuyết trong sân, bố đứng bên cạnh chụp ảnh cho các em.",เด็ก ๆ กำลังเล่นหิมะในลานบ้าน พ่อยืนถ่ายรูปให้พวกเขาอยู่ข้าง ๆ,"The children are playing in the snow in the yard, and Dad is taking photos beside them."
玩,wán,chơi,เล่น / เที่ยว,to play,星期六下午，小美和朋友一起玩，結束後大家都很累。,"Chiều thứ bảy, Tiểu Mỹ cùng bạn chơi, sau khi kết thúc mọi người đều rất mệt.",บ่ายวันเสาร์ เสี่ยวเหม่ยกับเพื่อนเล่นด้วยกัน หลังจบแล้วทุกคนเหนื่อยมาก,"On Saturday afternoon, Xiaomei to play with a friend, and everyone was tired afterward."
雪人,xuě rén,người tuyết,ตุ๊กตาหิมะ,snowman,小華在桌上看到雪人，就把它拿去還給同學。,"Trước khi ra ngoài, Tiểu Hoa bỏ người tuyết vào túi để tránh đến trường mới phát hiện mình quên mang.",ก่อนออกจากบ้าน เสี่ยวหัวใส่ตุ๊กตาหิมะลงในกระเป๋า เพื่อไม่ให้ถึงโรงเรียนแล้วเพิ่งพบว่าลืมเอาไป,"Before leaving, Xiaohua put snowman into the bag so they would not realize at school that they had forgotten it."
山,shān,núi,ภูเขา,mountain,弟弟最近常常遇到和山有關的問題，所以想請朋友幫忙。,"Trong bữa tối, em trai và gia đình nói về núi, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น น้องชายกับครอบครัวคุยกันเรื่องภูเขา ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the younger brother and the family talked about mountain, and everyone said it was important."
樹,shù,cây,ต้นไม้,tree,朋友問起樹的時候，姐姐想了一下才回答。,"Trong bữa tối, chị gái và gia đình nói về cây, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น พี่สาวกับครอบครัวคุยกันเรื่องต้นไม้ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the older sister and the family talked about tree, and everyone said it was important."
湖,hú,hồ,ทะเลสาบ,lake,週末下午，小明和朋友一起去湖，他們在那裡待到五點才回家。,"Chiều cuối tuần, Tiểu Minh cùng bạn đi đến hồ, họ ở đó đến năm giờ mới về nhà.",บ่ายวันหยุด เสี่ยวหมิงกับเพื่อนไปทะเลสาบด้วยกัน พวกเขาอยู่ที่นั่นจนถึงห้าโมงจึงกลับบ้าน,"On a weekend afternoon, Xiaoming went to lake with a friend and stayed there until five before going home."
髒,zāng,bẩn,สกปรก,dirty,這件事情讓小美覺得很髒，他回家後還跟家人分享。,"Tiểu Mỹ cảm thấy hoạt động hôm nay rất bẩn, vì vậy muốn lần sau tham gia nữa.",เสี่ยวเหม่ยรู้สึกว่ากิจกรรมวันนี้สกปรกมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"Xiaomei felt today’s activity was very dirty, so they wanted to join again next time."
旁邊,páng biān,bên cạnh,ข้าง ๆ,beside / next to,小華最近常常遇到和旁邊有關的問題，所以想請朋友幫忙。,"Trong bữa tối, Tiểu Hoa và gia đình nói về bên cạnh, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น เสี่ยวหัวกับครอบครัวคุยกันเรื่องข้าง ๆ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, Xiaohua and the family talked about beside, and everyone said it was important."
好幾間,hǎo jǐ jiān,mấy căn / vài căn,หลายหลัง / หลายห้อง,several,朋友問起好幾間的時候，弟弟想了一下才回答。,"Trong bữa tối, em trai và gia đình nói về mấy căn, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น น้องชายกับครอบครัวคุยกันเรื่องหลายหลัง ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the younger brother and the family talked about several, and everyone said it was important."
先生,xiān shēng,ông / anh / ngài,คุณผู้ชาย / นาย,Mr. / gentleman,今天早上，先生們在學校門口集合，準備一起去參加活動。,"Sáng nay, các ông tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้คุณผู้ชายรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the Mr. gathered at the school gate and prepared to join the activity together."
照相,zhào xiàng,chụp ảnh,ถ่ายรูป,to take a photo,小明每個星期都會照相，所以身體比以前好多了。,"Chiều thứ bảy, Tiểu Minh cùng bạn chụp ảnh, sau khi kết thúc mọi người đều rất mệt.",บ่ายวันเสาร์ เสี่ยวหมิงกับเพื่อนถ่ายรูปด้วยกัน หลังจบแล้วทุกคนเหนื่อยมาก,"On Saturday afternoon, Xiaoming to take a photo with a friend, and everyone was tired afterward."
熱鬧,rè nào,náo nhiệt,คึกคัก,lively,這個地方看起來很熱鬧，很多人都想來看看。,"Tiểu Mỹ cảm thấy hoạt động hôm nay rất náo nhiệt, vì vậy muốn lần sau tham gia nữa.",เสี่ยวเหม่ยรู้สึกว่ากิจกรรมวันนี้คึกคักมาก ดังนั้นครั้งหน้าอยากเข้าร่วมอีก,"Xiaomei felt today’s activity was very lively, so they wanted to join again next time."
小姐,xiǎo jiě,cô / chị,คุณผู้หญิง / คุณ小姐,Miss / young lady,公園裡有很多小姐，大家都在等表演開始。,"Sáng nay, các cô tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้คุณผู้หญิงรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the Miss gathered at the school gate and prepared to join the activity together."
警察,jǐng chá,cảnh sát,ตำรวจ,police officer,晚上吃飯時，弟弟和家人談到警察，大家都說這件事很重要。,"Trong bữa tối, em trai và gia đình nói về cảnh sát, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น น้องชายกับครอบครัวคุยกันเรื่องตำรวจ ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the younger brother and the family talked about police officer, and everyone said it was important."
說話,shuō huà,nói chuyện,พูดคุย,to speak / talk,上課的時候，學生不能一直說話，才聽得到老師的問題。,"Trong giờ học, học sinh không thể nói chuyện liên tục thì mới nghe được câu hỏi của giáo viên.",เวลาเรียน นักเรียนไม่ควรพูดคุยตลอดเวลา จึงจะได้ยินคำถามของครู,"During class, students should not keep talking so they can hear the teacher’s questions."
都在,dōu zài,đều đang,ล้วนกำลัง,all are doing,早上八點，學生們都在教室裡上課，走廊上很安靜。,"Lúc tám giờ sáng, học sinh đều đang học trong lớp, hành lang rất yên tĩnh.",ตอนแปดโมงเช้า นักเรียนทุกคนกำลังเรียนอยู่ในห้องเรียน ทางเดินเงียบมาก,"At eight in the morning, all the students were in class, and the hallway was quiet."
上課,shàng kè,học / lên lớp,เข้าเรียน / เรียน,to attend class,小明今天早上沒有上課，因為他要去醫院看病。,Sáng nay Tiểu Minh không đi học vì cậu ấy phải đến bệnh viện khám bệnh.,เช้านี้เสี่ยวหมิงไม่ได้เข้าเรียน เพราะเขาต้องไปโรงพยาบาลหาหมอ,Xiaoming did not attend class this morning because he had to go to the hospital to see a doctor.
女學生,nǚ xué shēng,nữ sinh,นักเรียนหญิง,female student,今天早上，女學生們在學校門口集合，準備一起去參加活動。,"Sáng nay, các nữ sinh tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้นักเรียนหญิงรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the female student gathered at the school gate and prepared to join the activity together."
男學生,nán xué shēng,nam sinh,นักเรียนชาย,male student,弟弟看到一位男學生需要幫忙，就走過去問他怎麼了。,"Sáng nay, các nam sinh tập trung ở cổng trường, chuẩn bị cùng nhau tham gia hoạt động.",เช้านี้นักเรียนชายรวมตัวกันที่หน้าประตูโรงเรียน เตรียมเข้าร่วมกิจกรรมด้วยกัน,"This morning, the male student gathered at the school gate and prepared to join the activity together."
黑板,hēi bǎn,bảng đen,กระดานดำ,blackboard,媽媽買了一個新的黑板，準備送給正在上學的妹妹。,"Trước khi ra ngoài, chị gái bỏ bảng đen vào túi để tránh đến trường mới phát hiện mình quên mang.",ก่อนออกจากบ้าน พี่สาวใส่กระดานดำลงในกระเป๋า เพื่อไม่ให้ถึงโรงเรียนแล้วเพิ่งพบว่าลืมเอาไป,"Before leaving, the older sister put blackboard into the bag so they would not realize at school that they had forgotten it."
畫畫,huà huà,vẽ tranh,วาดรูป,to draw,放學以後，小明畫畫一張圖，然後才回家寫功課。,"Sau giờ học, Tiểu Minh vẽ tranh một bức tranh, rồi mới về nhà làm bài tập.",หลังเลิกเรียน เสี่ยวหมิงวาดรูปรูปหนึ่งรูป แล้วค่อยกลับบ้านไปทำการบ้าน,"After school, Xiaoming to draw a picture and then went home to do homework."
手裡,shǒu lǐ,trong tay,ในมือ,in one’s hand,小華手裡拿著電腦，準備去教室做報告。,"Tiểu Hoa cầm máy tính trong tay, chuẩn bị đến phòng học làm báo cáo.",เสี่ยวหัวถือคอมพิวเตอร์ไว้ในมือ เตรียมไปห้องเรียนเพื่อรายงาน,Xiaohua held a computer in her hand and was going to the classroom to give a report.
拿,ná,cầm / lấy,ถือ / เอา,to hold / take,服務員拿了一盤水餃到桌上，客人看了很開心。,"Nhân viên phục vụ mang một đĩa sủi cảo lên bàn, khách nhìn thấy rất vui.",พนักงานบริการถือเกี๊ยวหนึ่งจานมาที่โต๊ะ ลูกค้าเห็นแล้วดีใจมาก,"The waiter brought a plate of dumplings to the table, and the customer was happy to see it."
籃球,lán qiú,bóng rổ,บาสเกตบอล,basketball,弟弟最近常常遇到和籃球有關的問題，所以想請朋友幫忙。,"Trong bữa tối, em trai và gia đình nói về bóng rổ, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น น้องชายกับครอบครัวคุยกันเรื่องบาสเกตบอล ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the younger brother and the family talked about basketball, and everyone said it was important."
杯,bēi,cốc / ly; lượng từ,แก้ว / ลักษณนามแก้ว,cup / measure word for cups,朋友問起杯的時候，姐姐想了一下才回答。,"Trong bữa tối, chị gái và gia đình nói về cốc, mọi người đều nói việc này rất quan trọng.",ระหว่างกินข้าวเย็น พี่สาวกับครอบครัวคุยกันเรื่องแก้ว ทุกคนบอกว่าเรื่องนี้สำคัญมาก,"At dinner, the older sister and the family talked about cup, and everyone said it was important."
飲料,yǐn liào,đồ uống,เครื่องดื่ม,drink / beverage,午餐的時候，小明點了飲料，吃完以後覺得很飽。,"Vào bữa trưa, Tiểu Minh gọi đồ uống, sau khi ăn xong cảm thấy rất no.",ตอนอาหารกลางวัน เสี่ยวหมิงสั่งเครื่องดื่ม กินเสร็จแล้วรู้สึกอิ่มมาก,"At lunch, Xiaoming ordered drink and felt very full after eating."
