生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
帽子,mào zi,mũ,หมวก,hat,天氣太熱了，媽媽叫弟弟出門以前先戴一頂帽子。,"Trời nóng quá, mẹ bảo em trai đội mũ trước khi ra ngoài.",อากาศร้อนมาก แม่บอกให้น้องชายสวมหมวกก่อนออกจากบ้าน,"The weather was too hot, so Mom told my younger brother to wear a hat before going out."
爺爺,yé ye,ông nội,คุณปู่,grandfather,我的爺爺很喜歡看照片，因為照片可以讓他想起以前的旅行。,Ông nội tôi rất thích xem ảnh vì ảnh có thể làm ông nhớ lại những chuyến du lịch trước đây.,คุณปู่ของฉันชอบดูรูปมาก เพราะรูปทำให้ท่านนึกถึงการเดินทางในอดีต,My grandfather likes looking at photos because they remind him of past trips.
奶奶,nǎi nai,bà nội,คุณย่า,grandmother,奶奶不喜歡拍照，但是她看到全家人在一起時還是笑了。,"Bà nội không thích chụp ảnh, nhưng khi thấy cả nhà ở cùng nhau, bà vẫn cười.",คุณย่าไม่ชอบถ่ายรูป แต่เมื่อเห็นทั้งครอบครัวอยู่ด้วยกัน ท่านก็ยังยิ้ม,"Grandma does not like taking photos, but she still smiled when she saw the whole family together."
歲,suì,tuổi,อายุ...ปี,years old,這位戴帽子的爺爺已經七十歲了，可是身體還很好。,"Ông cụ đội mũ này đã bảy mươi tuổi rồi, nhưng sức khỏe vẫn rất tốt.",คุณปู่ที่สวมหมวกท่านนี้อายุเจ็ดสิบปีแล้ว แต่สุขภาพยังดีมาก,"The grandfather wearing a hat is already seventy years old, but he is still very healthy."
啤酒,pí jiǔ,bia,เบียร์,beer,爸爸晚上要開車，所以朋友請他喝啤酒時，他馬上說不行。,"Tối nay bố phải lái xe, nên khi bạn mời bố uống bia, bố lập tức nói không được.",คืนนี้พ่อต้องขับรถ ดังนั้นเมื่อเพื่อนชวนดื่มเบียร์ พ่อก็บอกทันทีว่าไม่ได้,"Dad had to drive that night, so when his friend offered him beer, he immediately said no."
開車,kāi chē,lái xe,ขับรถ,to drive,因為小美等一下要開車回家，所以她決定不喝啤酒。,"Vì lát nữa Tiểu Mỹ phải lái xe về nhà, nên cô ấy quyết định không uống bia.",เพราะเดี๋ยวเสี่ยวเหม่ยต้องขับรถกลับบ้าน เธอจึงตัดสินใจไม่ดื่มเบียร์,"Because Xiaomei had to drive home later, she decided not to drink beer."
汽水,qì shuǐ,nước ngọt có ga,น้ำอัดลม,soda,如果你不想喝啤酒，可以喝一杯汽水或熱茶。,"Nếu bạn không muốn uống bia, bạn có thể uống một ly nước ngọt hoặc trà nóng.",ถ้าคุณไม่อยากดื่มเบียร์ สามารถดื่มน้ำอัดลมหรือชาร้อนหนึ่งแก้วได้,"If you do not want to drink beer, you can have a soda or hot tea."
茶,chá,trà,ชา,tea,這位小姐最後沒有喝啤酒，也沒有喝汽水，而是點了一杯茶。,"Cuối cùng cô gái này không uống bia cũng không uống nước ngọt, mà gọi một ly trà.",สุดท้ายผู้หญิงคนนี้ไม่ได้ดื่มเบียร์และไม่ได้ดื่มน้ำอัดลม แต่สั่งชาหนึ่งแก้ว,"In the end, the woman did not drink beer or soda; she ordered a cup of tea."
決定,jué dìng,quyết định,ตัดสินใจ,to decide,她想了一下，最後決定喝茶，因為等一下還要開車。,"Cô ấy suy nghĩ một chút, cuối cùng quyết định uống trà vì lát nữa còn phải lái xe.",เธอคิดสักพัก สุดท้ายตัดสินใจดื่มชา เพราะเดี๋ยวยังต้องขับรถ,She thought for a moment and finally decided to drink tea because she still had to drive later.
房間,fáng jiān,phòng,ห้อง,room,她的房間很亂，書和衣服都放在地上。,"Phòng của cô ấy rất bừa bộn, sách và quần áo đều để trên sàn.",ห้องของเธอรกมาก หนังสือและเสื้อผ้าวางอยู่บนพื้นทั้งหมด,"Her room is very messy, with books and clothes all over the floor."
亂,luàn,bừa bộn / lộn xộn,รก / ยุ่งเหยิง,messy,哥哥的房間太亂了，所以媽媽叫他明天一定要整理。,"Phòng của anh trai quá bừa bộn, nên mẹ bảo anh ấy ngày mai nhất định phải dọn dẹp.",ห้องของพี่ชายรกเกินไป ดังนั้นแม่บอกว่าเขาพรุ่งนี้ต้องจัดห้องให้เรียบร้อย,"My older brother’s room was too messy, so Mom told him he must clean it tomorrow."
整齊,zhěng qí,gọn gàng,เรียบร้อย,tidy / neat,小美整理房間以後，桌子和床都變得很整齊。,"Sau khi Tiểu Mỹ dọn phòng, bàn và giường đều trở nên rất gọn gàng.",หลังจากเสี่ยวเหม่ยจัดห้องแล้ว โต๊ะและเตียงก็เป็นระเบียบมาก,"After Xiaomei cleaned her room, the desk and bed became very tidy."
整理,zhěng lǐ,dọn dẹp / sắp xếp,จัด / จัดเก็บ,to tidy up,她本來想上星期日整理房間，但是經理臨時要她去公司。,"Ban đầu cô ấy muốn dọn phòng vào Chủ nhật tuần trước, nhưng quản lý đột nhiên bảo cô ấy đến công ty.",เดิมทีเธออยากจัดห้องเมื่อวันอาทิตย์ที่แล้ว แต่ผู้จัดการให้เธอไปบริษัทกะทันหัน,"She originally wanted to clean her room last Sunday, but her manager suddenly asked her to go to the office."
打掃,dǎ sǎo,quét dọn / dọn dẹp,ทำความสะอาด,to clean,小華看了一個下午的書，所以還沒有時間打掃房間。,"Tiểu Hoa đọc sách cả buổi chiều, nên vẫn chưa có thời gian quét dọn phòng.",เสี่ยวหัวอ่านหนังสือตลอดบ่าย ดังนั้นยังไม่มีเวลาทำความสะอาดห้อง,"Xiaohua read books all afternoon, so she still did not have time to clean her room."
打算,dǎ suàn,dự định,วางแผน / ตั้งใจ,to plan,她今天太累了，所以打算明天早上再整理房間。,"Hôm nay cô ấy quá mệt, nên dự định sáng mai mới dọn phòng.",วันนี้เธอเหนื่อยมาก ดังนั้นตั้งใจว่าพรุ่งนี้เช้าค่อยจัดห้อง,"She was too tired today, so she planned to clean her room tomorrow morning."
天氣,tiān qì,thời tiết,อากาศ,weather,這裡的天氣變化很大，冬天很冷，夏天又很熱。,"Thời tiết ở đây thay đổi rất nhiều, mùa đông rất lạnh, còn mùa hè lại rất nóng.",อากาศที่นี่เปลี่ยนแปลงมาก ฤดูหนาวหนาวมาก ส่วนฤดูร้อนก็ร้อนมาก,The weather here changes a lot; winter is cold and summer is hot.
冷,lěng,lạnh,หนาว,cold,冬天的時候山上很冷，去旅行的人要多穿一點衣服。,"Vào mùa đông trên núi rất lạnh, người đi du lịch nên mặc nhiều quần áo hơn.",ตอนฤดูหนาวบนภูเขาหนาวมาก คนที่ไปเที่ยวควรใส่เสื้อผ้าให้มากขึ้น,"In winter, it is very cold in the mountains, so travelers should wear more clothes."
熱,rè,nóng,ร้อน,hot,夏天的中午很熱，很多學生下課後都想買冰淇淋。,"Buổi trưa mùa hè rất nóng, nhiều học sinh sau giờ học đều muốn mua kem.",ตอนเที่ยงในฤดูร้อนร้อนมาก นักเรียนหลายคนหลังเลิกเรียนอยากซื้อไอศกรีม,"Summer afternoons are very hot, so many students want to buy ice cream after class."
春天,chūn tiān,mùa xuân,ฤดูใบไม้ผลิ,spring,這個城市的春天常常下雨，所以出門最好帶雨傘。,"Mùa xuân ở thành phố này thường mưa, nên tốt nhất khi ra ngoài hãy mang ô.",ฤดูใบไม้ผลิของเมืองนี้ฝนตกบ่อย ดังนั้นเวลาออกจากบ้านควรพกร่ม,"Spring in this city is often rainy, so it is best to bring an umbrella when going out."
夏天,xià tiān,mùa hè,ฤดูร้อน,summer,夏天到了以後，海邊常常有很多人去玩水。,"Sau khi mùa hè đến, bãi biển thường có nhiều người đi chơi nước.",หลังจากฤดูร้อนมาถึง ชายทะเลมักมีคนจำนวนมากไปเล่นน้ำ,"After summer arrives, many people often go to the beach to play in the water."
秋天,qiū tiān,mùa thu,ฤดูใบไม้ร่วง,autumn,秋天的天氣比較舒服，老師常常帶學生去公園走走。,"Thời tiết mùa thu dễ chịu hơn, giáo viên thường dẫn học sinh đi dạo công viên.",อากาศฤดูใบไม้ร่วงสบายกว่า ครูมักพานักเรียนไปเดินเล่นที่สวนสาธารณะ,"The weather in autumn is more comfortable, so teachers often take students for walks in the park."
冬天,dōng tiān,mùa đông,ฤดูหนาว,winter,冬天太冷的時候，爺爺喜歡在家喝熱茶。,"Khi mùa đông quá lạnh, ông nội thích ở nhà uống trà nóng.",เมื่อฤดูหนาวหนาวเกินไป คุณปู่ชอบอยู่บ้านดื่มชาร้อน,"When winter is too cold, Grandpa likes to stay home and drink hot tea."
常常,cháng cháng,thường thường,บ่อย ๆ,often,春天的時候這裡常常下雨，路上也常常很濕。,"Vào mùa xuân nơi này thường mưa, đường cũng thường rất ướt.",ตอนฤดูใบไม้ผลิที่นี่ฝนตกบ่อย ถนนก็มักเปียกมาก,"In spring, it often rains here, and the roads are often wet."
下雪,xià xuě,tuyết rơi,หิมะตก,to snow,北部冬天有時候會下雪，所以很多人想上山看雪。,"Mùa đông ở miền Bắc đôi khi có tuyết rơi, nên nhiều người muốn lên núi ngắm tuyết.",ฤดูหนาวทางภาคเหนือบางครั้งหิมะตก ดังนั้นหลายคนอยากขึ้นเขาไปดูหิมะ,"It sometimes snows in the north during winter, so many people want to go up the mountains to see snow."
出太陽,chū tài yáng,có nắng / mặt trời ló ra,แดดออก,sunny / the sun comes out,今天早上終於出太陽了，媽媽把衣服拿到外面曬。,"Sáng nay cuối cùng cũng có nắng, mẹ mang quần áo ra ngoài phơi.",เช้าวันนี้ในที่สุดแดดก็ออก แม่จึงเอาเสื้อผ้าไปตากข้างนอก,"The sun finally came out this morning, so Mom took the clothes outside to dry."
下雨,xià yǔ,mưa,ฝนตก,to rain,如果下午下雨，我們就不要去草坪上拍照片了。,"Nếu chiều nay mưa, chúng ta đừng ra bãi cỏ chụp ảnh nữa.",ถ้าตอนบ่ายฝนตก พวกเราอย่าไปถ่ายรูปบนสนามหญ้าเลย,"If it rains this afternoon, let’s not go to the grass to take photos."
約好,yuē hǎo,hẹn xong / đã hẹn,นัดไว้แล้ว,to make an appointment,我已經和王先生約好了，下午三點要去辦公室找他。,"Tôi đã hẹn với ông Vương rồi, ba giờ chiều sẽ đến văn phòng tìm ông ấy.",ฉันนัดกับคุณหวังเรียบร้อยแล้ว ตอนบ่ายสามโมงจะไปหาท่านที่สำนักงาน,I have already made an appointment with Mr. Wang and will go to his office at three this afternoon.
留電話,liú diàn huà,để lại số điện thoại,ทิ้งเบอร์โทรไว้,to leave a phone number,王先生現在不在辦公室，請你先留電話給服務員。,"Ông Vương hiện không có ở văn phòng, xin bạn để lại số điện thoại cho nhân viên trước.",ตอนนี้คุณหวังไม่อยู่ที่สำนักงาน กรุณาฝากเบอร์โทรศัพท์ไว้กับพนักงานก่อน,"Mr. Wang is not in the office now, so please leave your phone number with the staff first."
打電話,dǎ diàn huà,gọi điện thoại,โทรศัพท์,to call,小姐說王先生回來以後，會馬上打電話給這位先生。,"Cô nhân viên nói sau khi ông Vương quay lại, ông ấy sẽ lập tức gọi điện cho vị khách này.",ผู้หญิงบอกว่าเมื่อคุณหวังกลับมาแล้ว จะโทรศัพท์หาผู้ชายคนนี้ทันที,"The woman said that when Mr. Wang comes back, he will call this man right away."
留言,liú yán,để lại lời nhắn,ฝากข้อความ,to leave a message,如果你找不到老師，可以在辦公室留言，請老師回電。,"Nếu bạn không tìm được giáo viên, bạn có thể để lại lời nhắn ở văn phòng và nhờ giáo viên gọi lại.",ถ้าคุณหาอาจารย์ไม่เจอ สามารถฝากข้อความไว้ที่สำนักงานและขอให้อาจารย์โทรกลับ,"If you cannot find the teacher, you can leave a message at the office and ask the teacher to call back."
生日,shēng rì,sinh nhật,วันเกิด,birthday,小春的生日快到了，大家想一起送他一份特別的禮物。,"Sinh nhật của Tiểu Xuân sắp đến, mọi người muốn cùng tặng cậu ấy một món quà đặc biệt.",วันเกิดของเสี่ยวชุนใกล้จะถึงแล้ว ทุกคนอยากร่วมกันให้ของขวัญพิเศษแก่เขา,"Xiaochun’s birthday is coming soon, and everyone wants to give him a special gift together."
送禮物,sòng lǐ wù,tặng quà,ให้ของขวัญ,to give a gift,因為小春喜歡畫畫，朋友們決定送禮物給他。,"Vì Tiểu Xuân thích vẽ tranh, bạn bè quyết định tặng quà cho cậu ấy.",เพราะเสี่ยวชุนชอบวาดรูป เพื่อน ๆ จึงตัดสินใจให้ของขวัญแก่เขา,"Because Xiaochun likes drawing, his friends decided to give him a gift."
畫畫,huà huà,vẽ tranh,วาดรูป,to draw / paint,小春放學以後常常畫畫，所以同學想買畫畫用的筆給他。,"Sau giờ học Tiểu Xuân thường vẽ tranh, nên bạn học muốn mua bút vẽ cho cậu ấy.",หลังเลิกเรียนเสี่ยวชุนมักวาดรูป ดังนั้นเพื่อนร่วมชั้นอยากซื้อปากกาสำหรับวาดรูปให้เขา,"Xiaochun often draws after school, so his classmates want to buy drawing pens for him."
畫畫用的筆,huà huà yòng de bǐ,bút dùng để vẽ,ปากกาหรือดินสอที่ใช้วาดรูป,drawing pens,他們覺得畫畫用的筆很實用，所以決定把它當成生日禮物。,"Họ thấy bút dùng để vẽ rất hữu dụng, nên quyết định xem nó là quà sinh nhật.",พวกเขาคิดว่าปากกาสำหรับวาดรูปใช้ประโยชน์ได้มาก จึงตัดสินใจให้เป็นของขวัญวันเกิด,"They thought drawing pens were useful, so they decided to give them as a birthday gift."
袋子,dài zi,túi,ถุง / กระเป๋า,bag,小春的筆太多了，所以他需要一個袋子把筆放在一起。,"Bút của Tiểu Xuân nhiều quá, nên cậu ấy cần một cái túi để để bút chung với nhau.",ปากกาของเสี่ยวชุนเยอะเกินไป ดังนั้นเขาต้องการถุงใบหนึ่งเพื่อเก็บปากกาไว้ด้วยกัน,"Xiaochun has too many pens, so he needs a bag to keep them together."
放筆的袋子,fàng bǐ de dài zi,túi đựng bút,ถุงใส่ปากกา,bag for pens,除了畫畫用的筆以外，他們還想送小春一個放筆的袋子。,"Ngoài bút vẽ ra, họ còn muốn tặng Tiểu Xuân một cái túi đựng bút.",นอกจากปากกาสำหรับวาดรูปแล้ว พวกเขายังอยากให้กระเป๋าใส่ปากกาแก่เสี่ยวชุน,"Besides drawing pens, they also want to give Xiaochun a bag for holding pens."
禮物,lǐ wù,quà,ของขวัญ,gift,他們下課以後要一起去買禮物，準備送給小春。,Sau giờ học họ sẽ cùng đi mua quà để chuẩn bị tặng Tiểu Xuân.,หลังเลิกเรียนพวกเขาจะไปซื้อของขวัญด้วยกัน เพื่อเตรียมให้เสี่ยวชุน,"After class, they will go buy a gift together for Xiaochun."
顏料,yán liào,màu vẽ,สีวาดรูป,paint / pigment,如果小春想畫彩色的畫，顏料會是很好的生日禮物。,"Nếu Tiểu Xuân muốn vẽ tranh màu, màu vẽ sẽ là món quà sinh nhật rất tốt.",ถ้าเสี่ยวชุนอยากวาดรูปสี สีวาดภาพจะเป็นของขวัญวันเกิดที่ดีมาก,"If Xiaochun wants to paint colorful pictures, paint would be a good birthday gift."
畫筆,huà bǐ,cọ vẽ,พู่กันวาดรูป,paintbrush,美術課以前，老師請學生準備畫筆和彩色紙。,"Trước giờ mỹ thuật, giáo viên yêu cầu học sinh chuẩn bị cọ vẽ và giấy màu.",ก่อนคาบศิลปะ ครูให้นักเรียนเตรียมพู่กันวาดรูปและกระดาษสี,"Before art class, the teacher asked students to prepare paintbrushes and colored paper."
彩色筆,cǎi sè bǐ,bút màu,ปากกาสี,colored pen,妹妹用彩色筆寫生日卡片，想送給她最好的朋友。,"Em gái dùng bút màu viết thiệp sinh nhật, muốn tặng cho người bạn thân nhất của mình.",น้องสาวใช้ปากกาสีเขียนการ์ดวันเกิด อยากให้เพื่อนที่ดีที่สุดของเธอ,My younger sister used colored pens to write a birthday card for her best friend.
