生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
打球,dǎ qiú,chơi bóng,เล่นบอล,to play ball sports,放學以後，小王和朋友一起打球，他們玩得很開心。,"Sau giờ học, Tiểu Vương cùng bạn bè chơi bóng, họ chơi rất vui.",หลังเลิกเรียน เสี่ยวหวังกับเพื่อนเล่นบอลด้วยกัน พวกเขาสนุกมาก,"After school, Xiaowang and his friends to play ball sports, and they had a lot of fun."
怎麼,zěn me,thế nào / sao,อย่างไร / ทำไม,how / why,小美不知道怎麼去動物園，所以她問路人。,"Tiểu Mỹ không biết đi đến sở thú như thế nào, nên cô ấy hỏi người đi đường.",เสี่ยวเหม่ยไม่รู้ว่าจะไปสวนสัตว์อย่างไร จึงถามคนเดินผ่าน,"Xiaomei did not know how to get to the zoo, so she asked a passerby."
爸爸,bà bà,bố,พ่อ,father,這位爸爸每天都要和很多人說話，工作非常忙。,"Người bố này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",พ่อคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This father has to talk with many people every day and is very busy at work.
送,sòng,tặng / đưa,ให้ / ส่ง,to give / to send,今天下午，小美要送，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải tặng / đưa, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องให้ / ส่ง ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to give / to send, so she arranged her time first."
買,mǎi,mua,ซื้อ,to buy,今天下午，小美要買，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải mua, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องซื้อ ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to buy, so she arranged her time first."
媽媽,mā mā,mẹ,แม่,mother,這位媽媽每天都要和很多人說話，工作非常忙。,"Người mẹ này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",แม่คนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This mother has to talk with many people every day and is very busy at work.
老師,lǎo shī,giáo viên / thầy cô,ครู,teacher,這位老師每天都要和很多人說話，工作非常忙。,"Người giáo viên / thầy cô này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",ครูคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This teacher has to talk with many people every day and is very busy at work.
換,huàn,đổi,เปลี่ยน,to change / exchange,今天下午，小美要換，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải đổi, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องเปลี่ยน ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to change / exchange, so she arranged her time first."
不同的,bù tóng de,khác nhau,ที่แตกต่างกัน,different,麗美想換不同的顏色，因為這件衣服太暗了。,Lệ Mỹ muốn đổi sang màu khác vì chiếc áo này quá tối.,ลี่เหม่ยอยากเปลี่ยนเป็นสีอื่น เพราะเสื้อตัวนี้สีเข้มเกินไป,Limei wanted to change to a different color because this piece of clothing was too dark.
顏色,yán sè,màu sắc,สี,color,麗美覺得這件衣服的顏色太深，所以想換一件。,"Lệ Mỹ thấy màu của chiếc áo này quá đậm, nên muốn đổi một chiếc khác.",ลี่เหม่ยคิดว่าสีของเสื้อตัวนี้เข้มเกินไป จึงอยากเปลี่ยนอีกตัว,"Limei thinks the color of this piece of clothing is too dark, so she wants to exchange it."
茶,chá,trà,ชา,tea,晚餐的時候，小美點了茶，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi trà và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งชา และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered tea and chatted with her friends."
咖啡,kā fēi,cà phê,กาแฟ,coffee,晚餐的時候，小美點了咖啡，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi cà phê và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งกาแฟ และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered coffee and chatted with her friends."
啤酒,pí jiǔ,bia,เบียร์,beer,晚餐的時候，小美點了啤酒，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi bia và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งเบียร์ และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered beer and chatted with her friends."
動物園,dòng wù yuán,sở thú,สวนสัตว์,zoo,週末，小美和朋友一起去動物園，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến sở thú, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปสวนสัตว์ด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the zoo and took many photos there."
往前走,wǎng qián zǒu,đi thẳng về phía trước,เดินตรงไปข้างหน้า,walk forward,你往前走到第二個路口，再左轉就會看到動物園。,"Bạn đi thẳng đến ngã tư thứ hai, rồi rẽ trái là sẽ thấy sở thú.",คุณเดินตรงไปถึงแยกที่สอง แล้วเลี้ยวซ้ายก็จะเห็นสวนสัตว์,"Walk forward to the second intersection, then turn left and you will see the zoo."
第二,dì èr,thứ hai,ที่สอง,second,小美第二會去公園散步，這已經成為她的習慣。,"Tiểu Mỹ thứ hai sẽ đi dạo ở công viên, điều này đã trở thành thói quen của cô ấy.",เสี่ยวเหม่ยที่สองจะไปเดินเล่นที่สวนสาธารณะ สิ่งนี้กลายเป็นนิสัยของเธอแล้ว,"Xiaomei second goes for a walk in the park, and it has become her habit."
路口,lù kǒu,ngã tư / giao lộ,สี่แยก / ทางแยก,intersection,週末，小美和朋友一起去路口，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến ngã tư / giao lộ, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปสี่แยก / ทางแยกด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the intersection and took many photos there."
左轉,zuǒ zhuǎn,rẽ trái,เลี้ยวซ้าย,turn left,今天下午，小美要左轉，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải rẽ trái, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องเลี้ยวซ้าย ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to turn left, so she arranged her time first."
右轉,yòu zhuǎn,rẽ phải,เลี้ยวขวา,turn right,今天下午，小美要右轉，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải rẽ phải, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องเลี้ยวขวา ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to turn right, so she arranged her time first."
記得,jì dé,nhớ,จำได้ / จำไว้,to remember,今天下午，小美要記得，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải nhớ, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องจำได้ / จำไว้ ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to remember, so she arranged her time first."
最後一次,zuì hòu yī cì,lần cuối cùng,ครั้งสุดท้าย,the last time,小美記得最後一次看到錢包是在商店裡。,Tiểu Mỹ nhớ lần cuối cùng nhìn thấy ví là ở trong cửa hàng.,เสี่ยวเหม่ยจำได้ว่าครั้งสุดท้ายที่เห็นกระเป๋าสตางค์คือในร้านค้า,Xiaomei remembers that the last time she saw her wallet was in the store.
在哪裡,zài nǎ lǐ,ở đâu,อยู่ที่ไหน,where,警察問小美最後一次在哪裡看見錢包。,Cảnh sát hỏi Tiểu Mỹ lần cuối cô ấy nhìn thấy ví ở đâu.,ตำรวจถามเสี่ยวเหม่ยว่าครั้งสุดท้ายเธอเห็นกระเป๋าสตางค์ที่ไหน,The police asked Xiaomei where she last saw her wallet.
錢包,qián bāo,ví tiền,กระเป๋าสตางค์,wallet,小明把錢包放在桌上，準備等一下使用。,"Tiểu Minh đặt ví tiền lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางกระเป๋าสตางค์ไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the wallet on the table and prepared to use it later.
警察先生,jǐng chá xiān shēng,ông cảnh sát,คุณตำรวจ,Mr. police officer,這位警察先生每天都要和很多人說話，工作非常忙。,"Người ông cảnh sát này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",คุณตำรวจคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This Mr. police officer has to talk with many people every day and is very busy at work.
應該,yīng gāi,nên / chắc là,ควร / น่าจะ,should / probably,小明明天要考試，今天晚上應該早一點睡覺。,"Ngày mai Tiểu Minh có thi, tối nay cậu ấy nên đi ngủ sớm hơn.",พรุ่งนี้เสี่ยวหมิงมีสอบ คืนนี้เขาควรนอนเร็วขึ้น,"Xiaoming has an exam tomorrow, so he should go to bed earlier tonight."
買東西,mǎi dōng xī,mua đồ,ซื้อของ,to buy things,今天下午，小美要買東西，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải mua đồ, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องซื้อของ ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to buy things, so she arranged her time first."
結帳,jié zhàng,tính tiền,จ่ายเงิน / เช็กบิล,to pay the bill,今天下午，小美要結帳，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải tính tiền, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องจ่ายเงิน / เช็กบิล ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to pay the bill, so she arranged her time first."
付錢,fù qián,trả tiền,จ่ายเงิน,to pay,今天下午，小美要付錢，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải trả tiền, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องจ่ายเงิน ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to pay, so she arranged her time first."
醫生,yī shēng,bác sĩ,หมอ,doctor,這位醫生每天都要和很多人說話，工作非常忙。,"Người bác sĩ này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",หมอคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This doctor has to talk with many people every day and is very busy at work.
森林,sēn lín,rừng,ป่า,forest,週末，小美和朋友一起去森林，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến rừng, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปป่าด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the forest and took many photos there."
要注意,yào zhù yì,cần chú ý,ต้องระวัง,need to pay attention,醫生說去森林以前，要注意喝水和帶藥。,Bác sĩ nói trước khi đi rừng cần chú ý uống nước và mang thuốc.,หมอบอกว่าก่อนเข้าป่าต้องระวังเรื่องการดื่มน้ำและการพกยา,"The doctor said that before going to the forest, one should pay attention to drinking water and bringing medicine."
藥,yào,thuốc,ยา,medicine,晚餐的時候，小美點了藥，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi thuốc và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งยา และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered medicine and chatted with her friends."
一定,yí dìng,nhất định / chắc chắn,แน่นอน / ต้อง,certainly / must,去森林以前，你一定要帶藥，也要記得喝開水。,"Trước khi đi rừng, bạn nhất định phải mang thuốc và nhớ uống nước đun sôi.",ก่อนเข้าป่า คุณต้องพกยาและจำไว้ว่าต้องดื่มน้ำต้มสุก,"Before going into the forest, you must bring medicine and remember to drink boiled water."
開水,kāi shuǐ,nước đun sôi,น้ำต้มสุก,boiled water,晚餐的時候，小美點了開水，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi nước đun sôi và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งน้ำต้มสุก และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered boiled water and chatted with her friends."
生水,shēng shuǐ,nước chưa đun,น้ำดิบ,unboiled water,晚餐的時候，小美點了生水，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi nước chưa đun và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งน้ำดิบ และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered unboiled water and chatted with her friends."
汽水,qì shuǐ,nước ngọt có ga,น้ำอัดลม,soda,晚餐的時候，小美點了汽水，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi nước ngọt có ga và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งน้ำอัดลม และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered soda and chatted with her friends."
可樂,kě lè,coca / cola,โคล่า,cola,晚餐的時候，小美點了可樂，也和朋友一起聊天。,"Vào bữa tối, Tiểu Mỹ gọi coca / cola và cũng trò chuyện cùng bạn bè.",ตอนอาหารเย็น เสี่ยวเหม่ยสั่งโคล่า และคุยกับเพื่อนด้วย,"At dinner, Xiaomei ordered cola and chatted with her friends."
字典,zì diǎn,từ điển,พจนานุกรม,dictionary,小明把字典放在桌上，準備等一下使用。,"Tiểu Minh đặt từ điển lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางพจนานุกรมไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the dictionary on the table and prepared to use it later.
臥室,wò shì,phòng ngủ,ห้องนอน,bedroom,週末，小美和朋友一起去臥室，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến phòng ngủ, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปห้องนอนด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the bedroom and took many photos there."
客廳,kè tīng,phòng khách,ห้องรับแขก,living room,週末，小美和朋友一起去客廳，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến phòng khách, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปห้องรับแขกด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the living room and took many photos there."
浴室,yù shì,phòng tắm,ห้องน้ำ,bathroom,週末，小美和朋友一起去浴室，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến phòng tắm, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปห้องน้ำด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the bathroom and took many photos there."
廚房,chú fáng,nhà bếp,ห้องครัว,kitchen,週末，小美和朋友一起去廚房，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến nhà bếp, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปห้องครัวด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the kitchen and took many photos there."
煮飯,zhǔ fàn,nấu cơm / nấu ăn,หุงข้าว / ทำอาหาร,to cook,今天下午，小美要煮飯，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải nấu cơm / nấu ăn, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องหุงข้าว / ทำอาหาร ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to cook, so she arranged her time first."
掃地,sǎo dì,quét nhà,กวาดพื้น,to sweep the floor,今天下午，小美要掃地，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải quét nhà, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องกวาดพื้น ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to sweep the floor, so she arranged her time first."
不需要,bù xū yào,không cần,ไม่ต้องการ / ไม่จำเป็น,do not need,房東說他不需要工人，只需要有人付房租。,"Chủ nhà nói ông ấy không cần người làm, chỉ cần có người trả tiền thuê nhà.",เจ้าของบ้านบอกว่าเขาไม่ต้องการคนงาน แค่ต้องการคนที่จ่ายค่าเช่า,The landlord said he did not need a worker; he only needed someone to pay rent.
工人,gōng rén,công nhân / người làm,คนงาน,worker,這位工人每天都要和很多人說話，工作非常忙。,"Người công nhân / người làm này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",คนงานคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This worker has to talk with many people every day and is very busy at work.
住,zhù,ở / sống,อยู่ / อาศัย,to live,今天下午，小美要住，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải ở / sống, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องอยู่ / อาศัย ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to live, so she arranged her time first."
付房租,fù fáng zū,trả tiền thuê nhà,จ่ายค่าเช่า,to pay rent,今天下午，小美要付房租，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải trả tiền thuê nhà, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องจ่ายค่าเช่า ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to pay rent, so she arranged her time first."
打電話,dǎ diàn huà,gọi điện thoại,โทรศัพท์,to call,今天下午，小美要打電話，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải gọi điện thoại, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องโทรศัพท์ ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to call, so she arranged her time first."
沒接,méi jiē,không nghe máy,ไม่ได้รับสาย,did not answer,昨天晚上小美打電話給我，可是我沒接電話。,"Tối qua Tiểu Mỹ gọi điện cho tôi, nhưng tôi không nghe máy.",เมื่อคืนเสี่ยวเหม่ยโทรหาฉัน แต่ฉันไม่ได้รับสาย,"Xiaomei called me last night, but I did not answer the phone."
電話,diàn huà,điện thoại,โทรศัพท์,telephone / phone,小明把電話放在桌上，準備等一下使用。,"Tiểu Minh đặt điện thoại lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางโทรศัพท์ไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the telephone / phone on the table and prepared to use it later.
手機,shǒu jī,điện thoại di động,โทรศัพท์มือถือ,mobile phone,小明把手機放在桌上，準備等一下使用。,"Tiểu Minh đặt điện thoại di động lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางโทรศัพท์มือถือไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the mobile phone on the table and prepared to use it later.
了解,liǎo jiě,hiểu,เข้าใจ,to understand,今天下午，小美要了解，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải hiểu, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องเข้าใจ ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to understand, so she arranged her time first."
要,yào,muốn / phải,ต้องการ / ต้อง,to want / need to,小華明天要去動物園，所以他今天先查好路線。,"Ngày mai Tiểu Hoa muốn đi sở thú, nên hôm nay cậu ấy tra đường trước.",พรุ่งนี้เสี่ยวหัวจะไปสวนสัตว์ วันนี้เขาจึงเช็กเส้นทางก่อน,"Xiaohua is going to the zoo tomorrow, so he checked the route today."
做什麼事情,zuò shén me shì qíng,làm việc gì,ทำเรื่องอะไร,to do what thing,老師問學生了解今天要做什麼事情了嗎。,Giáo viên hỏi học sinh đã hiểu hôm nay phải làm việc gì chưa.,ครูถามนักเรียนว่าเข้าใจหรือยังว่าวันนี้ต้องทำอะไร,The teacher asked the students whether they understood what they had to do today.
還是,hái shì,vẫn / hay là,ยังคง / หรือว่า,still / or,小王聽了兩次，可是他還是不懂老師的意思。,"Tiểu Vương nghe hai lần, nhưng vẫn không hiểu ý của giáo viên.",เสี่ยวหวังฟังสองครั้งแล้ว แต่เขายังไม่เข้าใจความหมายของครู,"Xiaowang listened twice, but he still did not understand the teacher’s meaning."
不懂,bù dǒng,không hiểu,ไม่เข้าใจ,do not understand,老師說明以後，小王還是不懂這個問題。,"Sau khi giáo viên giải thích, Tiểu Vương vẫn không hiểu vấn đề này.",หลังจากครูอธิบายแล้ว เสี่ยวหวังยังไม่เข้าใจปัญหานี้,"After the teacher explained it, Xiaowang still did not understand the problem."
排隊,pái duì,xếp hàng,เข้าแถว,to line up,今天下午，小美要排隊，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải xếp hàng, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องเข้าแถว ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to line up, so she arranged her time first."
衣服,yī fú,quần áo,เสื้อผ้า,clothes,小明把衣服放在桌上，準備等一下使用。,"Tiểu Minh đặt quần áo lên bàn, chuẩn bị lát nữa sử dụng.",เสี่ยวหมิงวางเสื้อผ้าไว้บนโต๊ะ เตรียมจะใช้ในอีกสักครู่,Xiaoming put the clothes on the table and prepared to use it later.
便宜,pián yi,rẻ,ถูก,cheap,今天的情況很便宜，所以大家都需要小心一點。,"Tình huống hôm nay rất rẻ, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้ถูกมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very cheap, so everyone needs to be a little careful."
