生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
雖然,suī rán,mặc dù / tuy rằng,แม้ว่า,although / though,雖然小王一回到學校就努力讀書，但是他還是有一些句子讀不懂。,"Mặc dù Tiểu Vương vừa trở lại trường là cố gắng học bài, nhưng cậu ấy vẫn không hiểu một số câu.",แม้ว่าเสี่ยวหวังกลับมาโรงเรียนแล้วจะพยายามอ่านหนังสือทันที แต่เขายังอ่านบางประโยคไม่เข้าใจ,"Although Xiaowang studied hard as soon as he returned to school, he still could not understand some sentences."
一……就……,yì……jiù……,vừa… thì… / hễ… là…,พอ…ก็…ทันที,as soon as...,小王病一好就馬上回學校上課，因為他不想錯過考試。,"Tiểu Vương vừa khỏi bệnh là lập tức trở lại trường học, vì cậu ấy không muốn bỏ lỡ kỳ thi.",เสี่ยวหวังพอหายป่วยก็กลับไปเรียนที่โรงเรียนทันที เพราะเขาไม่อยากพลาดการสอบ,"As soon as Xiaowang recovered, he returned to school because he did not want to miss the exam."
讀不懂,dú bù dǒng,đọc không hiểu,อ่านไม่เข้าใจ,cannot understand what one reads,小王讀不懂課本裡的長句子，所以他下課後去問老師。,"Tiểu Vương đọc không hiểu những câu dài trong sách giáo khoa, nên sau giờ học cậu ấy đi hỏi giáo viên.",เสี่ยวหวังอ่านประโยคยาว ๆ ในหนังสือเรียนไม่เข้าใจ ดังนั้นหลังเลิกเรียนเขาจึงไปถามครู,"Xiaowang could not understand the long sentences in the textbook, so he asked the teacher after class."
課本,kè běn,sách giáo khoa,หนังสือเรียน,textbook,這本中文課本的句子比較長，很多學生需要老師慢慢解釋。,"Những câu trong sách giáo khoa tiếng Trung này khá dài, nhiều học sinh cần giáo viên giải thích từ từ.",ประโยคในหนังสือเรียนภาษาจีนเล่มนี้ค่อนข้างยาว นักเรียนหลายคนต้องให้ครูอธิบายช้า ๆ,"The sentences in this Chinese textbook are rather long, so many students need the teacher to explain them slowly."
句子,jù zi,câu,ประโยค,sentence,老師把課本裡的句子寫在黑板上，讓學生一起練習翻譯。,Giáo viên viết các câu trong sách giáo khoa lên bảng để học sinh cùng luyện dịch.,ครูเขียนประโยคในหนังสือเรียนบนกระดาน ให้นักเรียนฝึกแปลด้วยกัน,The teacher wrote the sentences from the textbook on the board so the students could practice translating them together.
而且,ér qiě,hơn nữa / và còn,อีกทั้ง / และยัง,moreover / and also,小王讀書很認真，而且每天都會把不懂的語法寫下來。,"Tiểu Vương học rất chăm chỉ, hơn nữa mỗi ngày đều ghi lại những điểm ngữ pháp không hiểu.",เสี่ยวหวังอ่านหนังสืออย่างตั้งใจ อีกทั้งทุกวันจะจดไวยากรณ์ที่ไม่เข้าใจไว้,"Xiaowang studies very seriously, and he also writes down the grammar points he does not understand every day."
語法,yǔ fǎ,ngữ pháp,ไวยากรณ์,grammar,老師今天教的語法不太容易，所以小王回家以後又看了一次課本。,"Ngữ pháp giáo viên dạy hôm nay không dễ lắm, nên sau khi về nhà Tiểu Vương đã xem lại sách giáo khoa một lần nữa.",ไวยากรณ์ที่ครูสอนวันนี้ไม่ค่อยง่าย ดังนั้นหลังกลับบ้านเสี่ยวหวังจึงอ่านหนังสือเรียนอีกครั้ง,"The grammar the teacher taught today was not very easy, so Xiaowang read the textbook again after he got home."
不了解,bù liǎo jiě,không hiểu / không rõ,ไม่เข้าใจ,do not understand,如果學生不了解這個語法，可以先看例句，再自己造句。,"Nếu học sinh không hiểu ngữ pháp này, có thể xem ví dụ trước, rồi tự đặt câu.",ถ้านักเรียนไม่เข้าใจไวยากรณ์นี้ สามารถดูประโยคตัวอย่างก่อน แล้วค่อยแต่งประโยคเอง,"If students do not understand this grammar point, they can look at the example first and then make their own sentences."
考試,kǎo shì,thi / kỳ thi,สอบ / การสอบ,exam / test,明天早上有中文考試，小王今天晚上打算在家複習課本。,"Sáng mai có bài thi tiếng Trung, tối nay Tiểu Vương dự định ở nhà ôn lại sách giáo khoa.",พรุ่งนี้เช้ามีสอบภาษาจีน คืนนี้เสี่ยวหวังตั้งใจจะทบทวนหนังสือเรียนที่บ้าน,"There is a Chinese exam tomorrow morning, so Xiaowang plans to review the textbook at home tonight."
擔心,dān xīn,lo lắng,กังวล,to worry / worried,因為還有很多句子讀不懂，小王非常擔心明天的中文考試。,"Vì vẫn còn nhiều câu đọc không hiểu, Tiểu Vương rất lo lắng cho bài thi tiếng Trung ngày mai.",เพราะยังมีหลายประโยคที่อ่านไม่เข้าใจ เสี่ยวหวังจึงกังวลมากเกี่ยวกับการสอบภาษาจีนพรุ่งนี้,"Because there are still many sentences he cannot understand, Xiaowang is very worried about tomorrow’s Chinese exam."
希望,xī wàng,hy vọng,หวังว่า,to hope / hope,小王準備得不夠好，所以他希望明天的考試不會太難。,"Tiểu Vương chuẩn bị chưa đủ tốt, nên cậu ấy hy vọng bài thi ngày mai sẽ không quá khó.",เสี่ยวหวังเตรียมตัวได้ไม่ดีพอ ดังนั้นเขาหวังว่าข้อสอบพรุ่งนี้จะไม่ยากเกินไป,"Xiaowang has not prepared well enough, so he hopes tomorrow’s exam will not be too difficult."
不會太難,bú huì tài nán,sẽ không quá khó,จะไม่ยากเกินไป,will not be too difficult,老師說如果大家認真複習，明天的考試應該不會太難。,"Giáo viên nói nếu mọi người ôn tập chăm chỉ, bài thi ngày mai có lẽ sẽ không quá khó.",ครูบอกว่าถ้าทุกคนทบทวนอย่างตั้งใจ ข้อสอบพรุ่งนี้น่าจะไม่ยากเกินไป,"The teacher said that if everyone reviews carefully, tomorrow’s exam probably will not be too difficult."
成績,chéng jì,thành tích / điểm số,คะแนน / ผลการเรียน,grades / academic performance,小王以前的成績不錯，所以老師相信他這次也可以考好。,"Thành tích trước đây của Tiểu Vương không tệ, nên giáo viên tin rằng lần này cậu ấy cũng có thể thi tốt.",ผลการเรียนของเสี่ยวหวังเมื่อก่อนไม่เลว ดังนั้นครูเชื่อว่าครั้งนี้เขาก็สอบได้ดี,"Xiaowang’s grades were good before, so the teacher believes he can do well this time too."
身體,shēn tǐ,cơ thể / sức khỏe,ร่างกาย / สุขภาพ,body / health,小王的身體剛恢復，媽媽希望他不要讀書讀到太晚。,"Sức khỏe của Tiểu Vương vừa mới hồi phục, mẹ cậu ấy hy vọng cậu ấy đừng học quá khuya.",ร่างกายของเสี่ยวหวังเพิ่งฟื้นตัว แม่หวังว่าเขาจะไม่อ่านหนังสือจนดึกเกินไป,"Xiaowang’s health has just recovered, so his mother hopes he will not study too late."
恢復,huī fù,hồi phục / khôi phục,ฟื้นตัว / หายดี,to recover,小王生病以後休息了幾天，身體才慢慢恢復。,"Sau khi bị bệnh, Tiểu Vương nghỉ ngơi vài ngày thì sức khỏe mới dần hồi phục.",หลังจากเสี่ยวหวังป่วย เขาพักผ่อนหลายวัน ร่างกายจึงค่อย ๆ ฟื้นตัว,"After Xiaowang got sick, he rested for a few days before his body slowly recovered."
準備,zhǔn bèi,chuẩn bị,เตรียมตัว,to prepare,小王今天晚上要準備中文考試，所以不能和朋友出去吃飯。,"Tối nay Tiểu Vương phải chuẩn bị cho bài thi tiếng Trung, nên không thể ra ngoài ăn cơm với bạn.",คืนนี้เสี่ยวหวังต้องเตรียมสอบภาษาจีน จึงออกไปกินข้าวกับเพื่อนไม่ได้,"Xiaowang has to prepare for the Chinese exam tonight, so he cannot go out to eat with his friends."
不夠好,bú gòu hǎo,không đủ tốt,ไม่ดีพอ,not good enough,小王覺得自己準備得不夠好，所以他想再多做幾題練習。,"Tiểu Vương cảm thấy mình chuẩn bị chưa đủ tốt, nên cậu ấy muốn làm thêm vài bài luyện tập nữa.",เสี่ยวหวังรู้สึกว่าตัวเองเตรียมตัวได้ไม่ดีพอ ดังนั้นเขาอยากทำแบบฝึกหัดเพิ่มอีกหลายข้อ,"Xiaowang feels that he has not prepared well enough, so he wants to do a few more practice questions."
聽說,tīng shuō,nghe nói,ได้ยินว่า / ได้ยินมาว่า,to hear that / it is said that,小王聽說這次考試會考很多語法，所以他特別擔心。,"Tiểu Vương nghe nói kỳ thi lần này sẽ kiểm tra rất nhiều ngữ pháp, nên cậu ấy đặc biệt lo lắng.",เสี่ยวหวังได้ยินว่าการสอบครั้งนี้จะออกไวยากรณ์เยอะมาก ดังนั้นเขากังวลเป็นพิเศษ,"Xiaowang heard that this exam would include many grammar questions, so he is especially worried."
非常,fēi cháng,rất / vô cùng,มาก / อย่างมาก,very / extremely,小王非常認真，但是因為請假太久，他還是覺得準備得不夠好。,"Tiểu Vương rất chăm chỉ, nhưng vì nghỉ học quá lâu nên cậu ấy vẫn cảm thấy chuẩn bị chưa đủ tốt.",เสี่ยวหวังตั้งใจมาก แต่เพราะลาหยุดนานเกินไป เขายังรู้สึกว่าเตรียมตัวได้ไม่ดีพอ,"Xiaowang is very hardworking, but because he was absent for too long, he still feels that he has not prepared well enough."
明信片,míng xìn piàn,bưu thiếp,โปสต์การ์ด,postcard,小華收到小美從日本寄來的明信片，裡面寫了很多學校生活的事情。,"Tiểu Hoa nhận được bưu thiếp Tiểu Mỹ gửi từ Nhật Bản, bên trong viết rất nhiều chuyện về cuộc sống học đường.",เสี่ยวหัวได้รับโปสต์การ์ดที่เสี่ยวเหม่ยส่งมาจากญี่ปุ่น ข้างในเขียนเรื่องชีวิตในโรงเรียนไว้มากมาย,"Xiaohua received a postcard from Xiaomei in Japan, and it described many things about school life."
介紹,jiè shào,giới thiệu,แนะนำ,to introduce,小美在明信片裡介紹日本的食物和天氣，讓小華很想去看看。,"Tiểu Mỹ giới thiệu thức ăn và thời tiết của Nhật Bản trong bưu thiếp, khiến Tiểu Hoa rất muốn đi xem.",เสี่ยวเหม่ยแนะนำอาหารและอากาศของญี่ปุ่นในโปสต์การ์ด ทำให้เสี่ยวหัวอยากไปดูมาก,"Xiaomei introduced Japanese food and weather in the postcard, which made Xiaohua really want to visit."
食物,shí wù,thức ăn / thực phẩm,อาหาร,food,小華覺得日本的食物看起來很好吃，所以她暑假想去日本旅行。,"Tiểu Hoa thấy thức ăn Nhật Bản trông rất ngon, nên cô ấy muốn đi du lịch Nhật Bản vào kỳ nghỉ hè.",เสี่ยวหัวคิดว่าอาหารญี่ปุ่นดูน่ากินมาก ดังนั้นเธออยากไปเที่ยวญี่ปุ่นตอนปิดเทอมฤดูร้อน,"Xiaohua thinks Japanese food looks delicious, so she wants to travel to Japan during summer vacation."
飲料,yǐn liào,đồ uống / thức uống,เครื่องดื่ม,drink / beverage,小華打算到日本的時候，買一些好吃的點心和飲料送給小美。,Tiểu Hoa dự định khi đến Nhật Bản sẽ mua một ít đồ ăn vặt ngon và đồ uống tặng Tiểu Mỹ.,เสี่ยวหัวตั้งใจว่าเมื่อไปถึงญี่ปุ่น จะซื้อขนมอร่อย ๆ และเครื่องดื่มไปให้เสี่ยวเหม่ย,"When Xiaohua goes to Japan, she plans to buy some delicious snacks and drinks for Xiaomei."
天氣,tiān qì,thời tiết,อากาศ,weather,小美告訴小華，日本三月的天氣有一點冷，要記得帶外套。,"Tiểu Mỹ nói với Tiểu Hoa rằng thời tiết Nhật Bản vào tháng ba hơi lạnh, nhớ mang áo khoác.",เสี่ยวเหม่ยบอกเสี่ยวหัวว่าอากาศญี่ปุ่นเดือนมีนาคมค่อนข้างหนาว ต้องจำไว้ว่านำเสื้อคลุมไปด้วย,"Xiaomei told Xiaohua that the weather in Japan in March is a little cold, so she should remember to bring a jacket."
生活,shēng huó,cuộc sống,ชีวิต,life,小美在日本的學校生活很有趣，她常常寫信告訴小華。,"Cuộc sống học đường của Tiểu Mỹ ở Nhật Bản rất thú vị, cô ấy thường viết thư kể cho Tiểu Hoa.",ชีวิตในโรงเรียนของเสี่ยวเหม่ยที่ญี่ปุ่นน่าสนใจมาก เธอมักเขียนจดหมายบอกเสี่ยวหัว,"Xiaomei’s school life in Japan is very interesting, and she often writes to tell Xiaohua about it."
邀請,yāo qǐng,mời,เชิญ / ชวน,to invite,小美邀請小華暑假到日本玩，還想帶她參觀自己的學校。,"Tiểu Mỹ mời Tiểu Hoa đến Nhật Bản chơi vào kỳ nghỉ hè, và còn muốn dẫn cô ấy tham quan trường của mình.",เสี่ยวเหม่ยชวนเสี่ยวหัวไปเที่ยวญี่ปุ่นตอนปิดเทอมฤดูร้อน และยังอยากพาเธอเยี่ยมชมโรงเรียนของตัวเอง,Xiaomei invited Xiaohua to visit Japan during summer vacation and wanted to show her around her school.
玩,wán,chơi,เล่น / เที่ยว,to play / to visit for fun,小華很想去小美家玩，但是三月臺灣的學校已經開學了。,"Tiểu Hoa rất muốn đến nhà Tiểu Mỹ chơi, nhưng tháng ba trường học ở Đài Loan đã khai giảng rồi.",เสี่ยวหัวอยากไปเที่ยวบ้านเสี่ยวเหม่ยมาก แต่เดือนมีนาคมโรงเรียนที่ไต้หวันเปิดเรียนแล้ว,"Xiaohua really wants to visit Xiaomei’s home, but school in Taiwan has already started in March."
認識,rèn shi,quen biết / làm quen,รู้จัก,to know / to meet,小美希望小華來日本的時候，可以認識她的新朋友。,"Tiểu Mỹ hy vọng khi Tiểu Hoa đến Nhật Bản, cô ấy có thể làm quen với những người bạn mới của mình.",เสี่ยวเหม่ยหวังว่าเมื่อเสี่ยวหัวมาญี่ปุ่น จะได้รู้จักเพื่อนใหม่ของเธอ,Xiaomei hopes Xiaohua can meet her new friends when she comes to Japan.
想了想,xiǎng le xiǎng,nghĩ một chút / nghĩ đi nghĩ lại,คิดดูแล้ว / คิดสักพัก,thought about it,小華想了想，覺得三月不能去日本，但是暑假的時候可以去。,"Tiểu Hoa nghĩ một chút và thấy rằng tháng ba không thể đi Nhật Bản, nhưng kỳ nghỉ hè thì có thể đi.",เสี่ยวหัวคิดดูแล้ว รู้สึกว่าเดือนมีนาคมไปญี่ปุ่นไม่ได้ แต่ตอนปิดเทอมฤดูร้อนสามารถไปได้,"Xiaohua thought about it and decided that she could not go to Japan in March, but she could go during summer vacation."
雖然……但是……,suī rán……dàn shì……,mặc dù……nhưng……,แม้ว่า……แต่……,although... but...,雖然小華很想去日本，但是三月臺灣的學校已經開學了。,"Mặc dù Tiểu Hoa rất muốn đi Nhật Bản, nhưng tháng ba trường học ở Đài Loan đã khai giảng rồi.",แม้ว่าเสี่ยวหัวอยากไปญี่ปุ่นมาก แต่เดือนมีนาคมโรงเรียนที่ไต้หวันเปิดเรียนแล้ว,"Although Xiaohua really wants to go to Japan, school in Taiwan has already started in March."
開學,kāi xué,khai giảng / bắt đầu đi học,เปิดเทอม / เปิดเรียน,school starts / to start school,臺灣的學校三月已經開學了，所以小華那個時間不能去日本。,"Trường học ở Đài Loan đã khai giảng vào tháng ba, nên Tiểu Hoa không thể đi Nhật Bản vào thời gian đó.",โรงเรียนที่ไต้หวันเปิดเรียนแล้วในเดือนมีนาคม ดังนั้นเสี่ยวหัวจึงไปญี่ปุ่นช่วงเวลานั้นไม่ได้,"Schools in Taiwan have already started in March, so Xiaohua cannot go to Japan at that time."
於是,yú shì,vì vậy / thế là,ดังนั้น / จึง,therefore / so,小華三月不能去日本，於是她寫明信片告訴小美暑假再去。,"Tiểu Hoa không thể đi Nhật Bản vào tháng ba, vì vậy cô ấy viết bưu thiếp nói với Tiểu Mỹ rằng kỳ nghỉ hè sẽ đi.",เสี่ยวหัวไปญี่ปุ่นเดือนมีนาคมไม่ได้ ดังนั้นเธอจึงเขียนโปสต์การ์ดบอกเสี่ยวเหม่ยว่าจะไปตอนปิดเทอมฤดูร้อน,"Xiaohua cannot go to Japan in March, so she wrote a postcard telling Xiaomei that she would go during summer vacation."
告訴,gào sù,nói với / kể cho biết,บอก,to tell,小華寫了明信片給小美，告訴她自己暑假的時候可以去日本。,"Tiểu Hoa viết bưu thiếp cho Tiểu Mỹ, nói với cô ấy rằng kỳ nghỉ hè cô ấy có thể đi Nhật Bản.",เสี่ยวหัวเขียนโปสต์การ์ดให้เสี่ยวเหม่ย บอกเธอว่าตอนปิดเทอมฤดูร้อนเธอสามารถไปญี่ปุ่นได้,Xiaohua wrote a postcard to Xiaomei and told her that she could go to Japan during summer vacation.
不能去,bù néng qù,không thể đi,ไปไม่ได้,cannot go,因為學校已經開學了，小華三月不能去日本找小美。,"Vì trường học đã khai giảng rồi, Tiểu Hoa tháng ba không thể đi Nhật Bản tìm Tiểu Mỹ.",เพราะโรงเรียนเปิดเรียนแล้ว เสี่ยวหัวจึงไปญี่ปุ่นหาเสี่ยวเหม่ยในเดือนมีนาคมไม่ได้,"Because school has already started, Xiaohua cannot go to Japan to visit Xiaomei in March."
暑假,shǔ jià,kỳ nghỉ hè,ปิดเทอมฤดูร้อน,summer vacation,小華打算暑假的時候去日本，參觀小美的學校。,Tiểu Hoa dự định vào kỳ nghỉ hè đi Nhật Bản tham quan trường của Tiểu Mỹ.,เสี่ยวหัวตั้งใจจะไปญี่ปุ่นตอนปิดเทอมฤดูร้อน เพื่อเยี่ยมชมโรงเรียนของเสี่ยวเหม่ย,Xiaohua plans to go to Japan during summer vacation to visit Xiaomei’s school.
寒假,hán jià,kỳ nghỉ đông,ปิดเทอมฤดูหนาว,winter vacation,如果暑假沒有時間，小華可能寒假的時候再去日本找小美。,"Nếu kỳ nghỉ hè không có thời gian, Tiểu Hoa có thể kỳ nghỉ đông mới đi Nhật Bản tìm Tiểu Mỹ.",ถ้าตอนปิดเทอมฤดูร้อนไม่มีเวลา เสี่ยวหัวอาจค่อยไปญี่ปุ่นหาเสี่ยวเหม่ยตอนปิดเทอมฤดูหนาว,"If Xiaohua does not have time during summer vacation, she may go to Japan to visit Xiaomei during winter vacation."
的時候,de shí hòu,lúc / khi,ตอนที่ / เมื่อ,when / during,暑假的時候，小華可以去日本參觀小美的學校。,"Vào kỳ nghỉ hè, Tiểu Hoa có thể đi Nhật Bản tham quan trường của Tiểu Mỹ.",ตอนปิดเทอมฤดูร้อน เสี่ยวหัวสามารถไปญี่ปุ่นเยี่ยมชมโรงเรียนของเสี่ยวเหม่ยได้,"During summer vacation, Xiaohua can go to Japan to visit Xiaomei’s school."
參觀,cān guān,tham quan,เยี่ยมชม / เข้าชม,to visit / to tour,小美想帶小華參觀她的學校，還想介紹日本朋友給她認識。,"Tiểu Mỹ muốn dẫn Tiểu Hoa tham quan trường của cô ấy, còn muốn giới thiệu bạn bè Nhật Bản cho cô ấy quen.",เสี่ยวเหม่ยอยากพาเสี่ยวหัวเยี่ยมชมโรงเรียนของเธอ และยังอยากแนะนำเพื่อนญี่ปุ่นให้เธอรู้จัก,Xiaomei wants to show Xiaohua around her school and introduce her Japanese friends to her.
到時候,dào shí hòu,đến lúc đó / khi đó,ถึงตอนนั้น,when the time comes / at that time,小華說暑假會去日本，到時候她會買好吃的點心過去。,"Tiểu Hoa nói kỳ nghỉ hè sẽ đi Nhật Bản, đến lúc đó cô ấy sẽ mua đồ ăn vặt ngon mang qua.",เสี่ยวหัวบอกว่าตอนปิดเทอมฤดูร้อนจะไปญี่ปุ่น ถึงตอนนั้นเธอจะซื้อขนมอร่อย ๆ ไป,"Xiaohua said she would go to Japan during summer vacation, and when the time comes, she will buy some delicious snacks and bring them over."
再,zài,rồi mới / sau đó,ค่อย / แล้วค่อย,then / after that,小華現在不能去日本，她想暑假的時候再去找小美。,"Bây giờ Tiểu Hoa không thể đi Nhật Bản, cô ấy muốn kỳ nghỉ hè rồi mới đi tìm Tiểu Mỹ.",ตอนนี้เสี่ยวหัวไปญี่ปุ่นไม่ได้ เธออยากค่อยไปหาเสี่ยวเหม่ยตอนปิดเทอมฤดูร้อน,Xiaohua cannot go to Japan now; she wants to go visit Xiaomei during summer vacation instead.
好吃,hǎo chī,ngon,อร่อย,delicious,小華想買一些好吃的點心帶去日本，送給小美和她的朋友。,Tiểu Hoa muốn mua một ít đồ ăn vặt ngon mang đến Nhật Bản để tặng Tiểu Mỹ và bạn của cô ấy.,เสี่ยวหัวอยากซื้อขนมอร่อย ๆ ไปญี่ปุ่น เพื่อให้เสี่ยวเหม่ยและเพื่อนของเธอ,Xiaohua wants to buy some delicious snacks and bring them to Japan for Xiaomei and her friends.
點心,diǎn xīn,điểm tâm / đồ ăn vặt / bánh ngọt,ขนม / ของว่าง,snack / dessert,小華覺得臺灣的點心很好吃，所以她想帶一些去日本。,"Tiểu Hoa thấy đồ ăn vặt của Đài Loan rất ngon, nên cô ấy muốn mang một ít đến Nhật Bản.",เสี่ยวหัวคิดว่าขนมของไต้หวันอร่อยมาก ดังนั้นเธออยากเอาไปญี่ปุ่นบ้าง,"Xiaohua thinks Taiwanese snacks are delicious, so she wants to bring some to Japan."
過去,guò qù,đi qua / mang qua,ไป / เอาไป,to go over / to bring over,小華暑假去日本的時候，會買點心過去給小美。,"Khi Tiểu Hoa đi Nhật Bản vào kỳ nghỉ hè, cô ấy sẽ mua đồ ăn vặt mang qua cho Tiểu Mỹ.",ตอนเสี่ยวหัวไปญี่ปุ่นช่วงปิดเทอมฤดูร้อน เธอจะซื้อขนมเอาไปให้เสี่ยวเหม่ย,"When Xiaohua goes to Japan during summer vacation, she will bring snacks over for Xiaomei."
