生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
不論……還是……,bú lùn...hái shì...,dù là... hay...,ไม่ว่าจะ...หรือ...,whether... or...,不論是吃的還是穿的，現在都可以上網買得到。,"Dù là đồ ăn hay quần áo, bây giờ đều có thể mua được trên mạng.",ไม่ว่าจะเป็นของกินหรือเสื้อผ้า ตอนนี้ก็ซื้อได้ทางออนไลน์,"Whether it is food or clothing, you can buy it online now."
只要……就……,zhǐ yào...jiù...,chỉ cần... thì...,ขอแค่...ก็...,as long as... then...,只要輕鬆點幾下滑鼠，就可以買到很多東西。,Chỉ cần bấm chuột vài cái nhẹ nhàng là có thể mua được nhiều thứ.,ขอแค่คลิกเมาส์ไม่กี่ครั้งอย่างง่าย ๆ ก็ซื้อของได้มากมาย,"As long as you click the mouse a few times, you can buy many things."
輕鬆,qīng sōng,dễ dàng / thoải mái,ง่าย ๆ / สบาย,easy / relaxed,上網買東西很輕鬆，可是也容易買太多。,"Mua đồ trên mạng rất dễ dàng, nhưng cũng dễ mua quá nhiều.",การซื้อของออนไลน์ง่ายมาก แต่ก็ซื้อเยอะเกินไปได้ง่าย,"Shopping online is easy, but it is also easy to buy too much."
滑鼠,huá shǔ,chuột máy tính,เมาส์,computer mouse,他用滑鼠點了幾下，就買了一件外套。,Anh ấy bấm chuột vài cái là mua một chiếc áo khoác.,เขาคลิกเมาส์ไม่กี่ครั้ง ก็ซื้อเสื้อโค้ทหนึ่งตัว,He clicked the mouse a few times and bought a coat.
買得到,mǎi de dào,mua được,ซื้อได้,can buy / be available,這家網路商店什麼都有，很多東西都買得到。,"Cửa hàng online này cái gì cũng có, nhiều thứ đều mua được.",ร้านค้าออนไลน์นี้มีทุกอย่าง ของหลายอย่างซื้อได้หมด,"This online store has everything, and many things are available to buy."
買不到,mǎi bú dào,không mua được,ซื้อไม่ได้ / หาซื้อไม่ได้,cannot buy / unavailable,這雙鞋太流行了，很多店都買不到。,"Đôi giày này quá thịnh hành, nhiều cửa hàng đều không mua được.",รองเท้าคู่นี้เป็นที่นิยมมาก ร้านค้าหลายร้านหาซื้อไม่ได้,"These shoes are too popular, and many stores do not have them."
到處,dào chù,khắp nơi,ทุกที่ / ไปทั่ว,everywhere,媽媽到處比較價錢以後，才決定在哪裡買電腦。,Mẹ so sánh giá khắp nơi rồi mới quyết định mua máy tính ở đâu.,แม่เปรียบเทียบราคาทุกที่แล้วจึงตัดสินใจว่าจะซื้อคอมพิวเตอร์ที่ไหน,Mom compared prices everywhere before deciding where to buy the computer.
比較,bǐ jiào,so sánh / hơn,เปรียบเทียบ / ค่อนข้าง,compare / relatively,買東西以前，我會先比較不同商店的價錢。,"Trước khi mua đồ, tôi sẽ so sánh giá của các cửa hàng khác nhau trước.",ก่อนซื้อของ ฉันจะเปรียบเทียบราคาของร้านต่าง ๆ ก่อน,"Before buying something, I first compare prices at different stores."
價錢,jià qián,giá tiền,ราคา,price,如果價錢太高，小王就不會馬上買。,"Nếu giá quá cao, Tiểu Vương sẽ không mua ngay.",ถ้าราคาสูงเกินไป เสี่ยวหวังจะไม่ซื้อทันที,"If the price is too high, Xiaowang will not buy it right away."
不過,bú guò,tuy nhiên / nhưng,แต่ว่า / อย่างไรก็ตาม,however / but,上網買東西很方便，不過也有一些問題。,"Mua đồ trên mạng rất tiện, tuy nhiên cũng có một số vấn đề.",การซื้อของออนไลน์สะดวกมาก แต่ว่าก็มีปัญหาบางอย่าง,"Shopping online is convenient, but it also has some problems."
問題,wèn tí,vấn đề / câu hỏi,ปัญหา / คำถาม,problem / question,衣服不能先試穿，這是上網買衣服的一個問題。,"Quần áo không thể thử trước, đây là một vấn đề khi mua quần áo trên mạng.",เสื้อผ้าลองก่อนไม่ได้ นี่เป็นปัญหาอย่างหนึ่งของการซื้อเสื้อผ้าออนไลน์,Not being able to try on clothes first is a problem with buying clothes online.
像是,xiàng shì,ví dụ như / giống như,เช่น / อย่างเช่น,such as / like,上網買東西有一些問題，像是衣服不能先試穿。,"Mua đồ trên mạng có một số vấn đề, ví dụ như quần áo không thể thử trước.",การซื้อของออนไลน์มีปัญหาบางอย่าง เช่น เสื้อผ้าลองก่อนไม่ได้,"Online shopping has some problems, such as not being able to try on clothes first."
試穿,shì chuān,thử mặc,ลองใส่,try on,小美買裙子以前，想先試穿看看大小合不合。,"Trước khi mua váy, Tiểu Mỹ muốn thử mặc xem kích cỡ có vừa không.",ก่อนซื้อกระโปรง เสี่ยวเหม่ยอยากลองใส่ดูก่อนว่าขนาดพอดีไหม,"Before buying the skirt, Xiaomei wanted to try it on to see if it fit."
或是,huò shì,hoặc là,หรือว่า,or,你可以在商店買衣服，或是上網買。,Bạn có thể mua quần áo ở cửa hàng hoặc mua trên mạng.,คุณสามารถซื้อเสื้อผ้าที่ร้าน หรือซื้อทางออนไลน์ก็ได้,You can buy clothes in a store or online.
買一送一,mǎi yī sòng yī,mua một tặng một,ซื้อหนึ่งแถมหนึ่ง,"buy one, get one free",看到買一送一的廣告，小王不小心買了很多飲料。,"Thấy quảng cáo mua một tặng một, Tiểu Vương lỡ mua rất nhiều đồ uống.",เมื่อเห็นโฆษณาซื้อหนึ่งแถมหนึ่ง เสี่ยวหวังเผลอซื้อเครื่องดื่มเยอะมาก,"After seeing a buy-one-get-one-free ad, Xiaowang accidentally bought many drinks."
滿兩千送一百,mǎn liǎng qiān sòng yì bǎi,mua đủ 2000 tặng 100,ครบสองพันแถมหนึ่งร้อย,"spend 2000, get 100 back",商店說滿兩千送一百，所以媽媽又多買了一件外套。,"Cửa hàng nói mua đủ 2.000 tặng 100, nên mẹ mua thêm một chiếc áo khoác.",ร้านค้าบอกว่าซื้อครบสองพันแถมหนึ่งร้อย แม่จึงซื้อเสื้อโค้ทเพิ่มอีกตัว,"The store said “spend 2,000 and get 100,” so Mom bought one more coat."
廣告,guǎng gào,quảng cáo,โฆษณา,advertisement,這個廣告很吸引人，很多人看了以後都想買。,"Quảng cáo này rất thu hút, nhiều người xem xong đều muốn mua.",โฆษณานี้ดึงดูดคนมาก หลายคนดูแล้วอยากซื้อ,"This advertisement is very attractive, and many people want to buy after seeing it."
吸引,xī yǐn,thu hút,ดึงดูด,attract,便宜的價格常常吸引學生上網買東西。,Giá rẻ thường thu hút học sinh mua đồ trên mạng.,ราคาถูกมักดึงดูดนักเรียนให้ซื้อของออนไลน์,Cheap prices often attract students to shop online.
一堆,yì duī,một đống / rất nhiều,เยอะแยะ / กองหนึ่ง,a pile / a lot,他被廣告吸引，買了一堆本來不需要的東西。,"Anh ấy bị quảng cáo thu hút, mua một đống đồ vốn không cần.",เขาถูกโฆษณาดึงดูด จึงซื้อของเยอะแยะที่เดิมทีไม่จำเป็นต้องซื้อ,He was attracted by the ad and bought a lot of things he did not originally need.
本來,běn lái,vốn dĩ / ban đầu,เดิมที,originally,小美本來只想買一本書，最後卻買了三本。,"Tiểu Mỹ vốn chỉ muốn mua một quyển sách, cuối cùng lại mua ba quyển.",เดิมทีเสี่ยวเหม่ยอยากซื้อหนังสือเพียงเล่มเดียว แต่สุดท้ายกลับซื้อสามเล่ม,"Xiaomei originally wanted to buy only one book, but she ended up buying three."
不必買,bú bì mǎi,không cần mua,ไม่จำเป็นต้องซื้อ,do not need to buy,這些東西家裡還有很多，所以你不必買。,"Những thứ này ở nhà vẫn còn nhiều, nên bạn không cần mua.",ของเหล่านี้ที่บ้านยังมีอยู่มาก ดังนั้นคุณไม่จำเป็นต้องซื้อ,"We still have many of these things at home, so you do not need to buy them."
這樣看來,zhè yàng kàn lái,nhìn như vậy thì,ดูอย่างนี้แล้ว,looking at it this way,這樣看來，上網買東西不一定比較省錢。,Nhìn như vậy thì mua đồ trên mạng không nhất định tiết kiệm hơn.,ดูอย่างนี้แล้ว การซื้อของออนไลน์ไม่จำเป็นว่าจะประหยัดเงินกว่าเสมอไป,"Looking at it this way, shopping online does not necessarily save money."
雖然……卻……,suī rán...què...,mặc dù... nhưng lại...,แม้ว่า...แต่กลับ...,although... yet...,上網買東西雖然方便，卻容易讓人買太多。,"Mua đồ trên mạng mặc dù tiện, nhưng lại dễ khiến người ta mua quá nhiều.",การซื้อของออนไลน์แม้จะสะดวก แต่กลับทำให้คนซื้อเยอะเกินไปได้ง่าย,"Although shopping online is convenient, it can easily make people buy too much."
不一定,bù yí dìng,không nhất định,ไม่แน่เสมอไป,not necessarily,便宜的東西不一定好用，所以買以前要想一想。,"Đồ rẻ không nhất định dùng tốt, nên trước khi mua phải nghĩ một chút.",ของราคาถูกไม่จำเป็นว่าจะใช้ดีเสมอไป ดังนั้นก่อนซื้อควรคิดสักหน่อย,"Cheap things are not necessarily useful, so think before buying."
省錢,shěng qián,tiết kiệm tiền,ประหยัดเงิน,save money,如果你只買需要的東西，就比較能省錢。,"Nếu bạn chỉ mua những thứ cần thiết, thì sẽ dễ tiết kiệm tiền hơn.",ถ้าคุณซื้อเฉพาะของที่จำเป็น ก็จะประหยัดเงินได้มากกว่า,"If you buy only what you need, you can save money more easily."
段,duàn,đoạn,ย่อหน้า / ตอน,paragraph / section,這一段短文在說上網買東西的好處和問題。,Đoạn văn ngắn này nói về lợi ích và vấn đề của việc mua đồ trên mạng.,ย่อหน้าสั้น ๆ นี้พูดถึงข้อดีและปัญหาของการซื้อของออนไลน์,This short paragraph talks about the advantages and problems of online shopping.
短文,duǎn wén,đoạn văn ngắn,บทความสั้น,short passage,這段短文說明上網買東西雖然方便，卻不一定省錢。,Đoạn văn ngắn này giải thích rằng mua đồ trên mạng tuy tiện nhưng không nhất định tiết kiệm tiền.,บทความสั้นนี้อธิบายว่าการซื้อของออนไลน์แม้สะดวก แต่ไม่จำเป็นว่าจะประหยัดเงินเสมอไป,This short passage explains that online shopping is convenient but does not necessarily save money.
不像,bú xiàng,không giống,ไม่เหมือน,not like / unlike,上網買東西不像在商店買衣服，不能先試穿。,"Mua đồ trên mạng không giống mua quần áo ở cửa hàng, không thể thử trước.",การซื้อของออนไลน์ไม่เหมือนการซื้อเสื้อผ้าที่ร้าน เพราะลองใส่ก่อนไม่ได้,Buying things online is not like buying clothes in a store; you cannot try them on first.
學會,xué huì,học được / biết làm,เรียนรู้จนทำได้,learn to / master,我最近學會一道臺灣菜，想做給朋友吃。,"Gần đây tôi học được một món Đài Loan, muốn nấu cho bạn ăn.",ช่วงนี้ฉันเรียนรู้จนทำอาหารไต้หวันได้หนึ่งอย่าง และอยากทำให้เพื่อนกิน,I recently learned to make a Taiwanese dish and want to cook it for my friend.
鹹蛋苦瓜,xián dàn kǔ guā,khổ qua trứng muối,มะระผัดไข่เค็ม,salted egg bitter melon,房東陳媽媽教我做鹹蛋苦瓜，味道又香又甜。,"Bà Trần chủ nhà dạy tôi làm khổ qua trứng muối, mùi vị vừa thơm vừa ngọt.",คุณแม่เฉินเจ้าของบ้านสอนฉันทำมะระผัดไข่เค็ม รสชาติทั้งหอมทั้งหวาน,"Landlady Chen taught me to make salted egg bitter melon, and it tasted fragrant and sweet."
房東,fáng dōng,chủ nhà,เจ้าของบ้าน / ผู้ให้เช่า,landlord / landlady,我的房東很會做菜，常常教我做臺灣菜。,"Chủ nhà của tôi nấu ăn rất giỏi, thường dạy tôi nấu món Đài Loan.",เจ้าของบ้านของฉันทำอาหารเก่งมาก มักสอนฉันทำอาหารไต้หวัน,My landlady is good at cooking and often teaches me to make Taiwanese dishes.
A教B做something,A jiāo B zuò something,A dạy B làm việc gì đó,A สอน B ทำบางอย่าง,A teaches B to do something,陳媽媽教我做苦瓜，讓我發現苦瓜也可以很好吃。,"Bà Trần dạy tôi làm khổ qua, khiến tôi phát hiện khổ qua cũng có thể rất ngon.",คุณแม่เฉินสอนฉันทำมะระ ทำให้ฉันค้นพบว่ามะระก็อร่อยได้,Chen’s mother taught me to cook bitter melon and helped me discover that it can be delicious.
苦瓜,kǔ guā,khổ qua / mướp đắng,มะระ,bitter melon,以前我不喜歡苦瓜，因為我覺得它很苦。,Trước đây tôi không thích khổ qua vì tôi thấy nó rất đắng.,เมื่อก่อนฉันไม่ชอบมะระ เพราะฉันคิดว่ามันขมมาก,I used to dislike bitter melon because I thought it was very bitter.
和something一樣,hé something yí yàng,giống như cái gì đó,เหมือนกับบางอย่าง,the same as something,以前我覺得苦瓜和藥一樣苦。,Trước đây tôi thấy khổ qua đắng giống như thuốc.,เมื่อก่อนฉันคิดว่ามะระขมเหมือนยา,I used to think bitter melon was as bitter as medicine.
苦,kǔ,đắng / khổ,ขม / ลำบาก,bitter / hard,這杯茶太苦了，小美想加一點糖。,"Ly trà này quá đắng, Tiểu Mỹ muốn thêm một chút đường.",ชาถ้วยนี้ขมเกินไป เสี่ยวเหม่ยอยากเติมน้ำตาลเล็กน้อย,"This tea is too bitter, so Xiaomei wants to add a little sugar."
一直,yì zhí,luôn luôn / mãi,ตลอด / เรื่อยมา,always / continuously,我以前一直不喜歡吃苦瓜，直到陳媽媽教我做菜。,Trước đây tôi luôn không thích ăn khổ qua cho đến khi bà Trần dạy tôi nấu.,เมื่อก่อนฉันไม่ชอบกินมะระมาโดยตลอด จนกระทั่งคุณแม่เฉินสอนฉันทำอาหาร,I always disliked eating bitter melon until Chen’s mother taught me how to cook it.
可是,kě shì,nhưng,แต่ว่า,but,苦瓜以前讓我覺得很苦，可是現在我覺得很好吃。,"Trước đây khổ qua khiến tôi thấy rất đắng, nhưng bây giờ tôi thấy rất ngon.",เมื่อก่อนมะระทำให้ฉันรู้สึกว่าขมมาก แต่ตอนนี้ฉันคิดว่าอร่อยมาก,"Bitter melon used to taste very bitter to me, but now I think it is delicious."
香,xiāng,thơm,หอม,fragrant,陳媽媽做的苦瓜很香，大家一聞到就想吃。,"Khổ qua bà Trần nấu rất thơm, mọi người vừa ngửi thấy là muốn ăn.",มะระที่คุณแม่เฉินทำหอมมาก ทุกคนได้กลิ่นก็อยากกิน,"The bitter melon Chen’s mother cooked was fragrant, and everyone wanted to eat it as soon as they smelled it."
甜,tián,ngọt,หวาน,sweet,陳媽媽做的苦瓜一點都不苦，吃起來有一點甜。,"Khổ qua bà Trần nấu không đắng chút nào, ăn vào hơi ngọt.",มะระที่คุณแม่เฉินทำไม่ขมเลย กินแล้วหวานนิดหน่อย,The bitter melon Chen’s mother cooked was not bitter at all and tasted a little sweet.
又A又B,yòu A yòu B,vừa A vừa B,ทั้ง A ทั้ง B,both A and B,這道臺灣菜又香又甜，我吃了以後就喜歡上了。,"Món Đài Loan này vừa thơm vừa ngọt, sau khi ăn tôi liền thích nó.",อาหารไต้หวันจานนี้ทั้งหอมทั้งหวาน หลังจากกินแล้วฉันก็ชอบมัน,"This Taiwanese dish is both fragrant and sweet, and I liked it after eating it."
沒煮過,méi zhǔ guò,chưa nấu qua,ยังไม่ได้ปรุง,uncooked / not cooked before,陳媽媽說沒煮過的苦瓜對身體更好。,Bà Trần nói khổ qua chưa nấu qua tốt hơn cho cơ thể.,คุณแม่เฉินบอกว่ามะระที่ยังไม่ได้ปรุงดีต่อร่างกายมากกว่า,Chen’s mother said uncooked bitter melon is better for the body.
對something好,duì something hǎo,tốt cho cái gì đó,ดีต่อบางอย่าง,be good for something,多吃青菜對身體好，所以媽媽每天都做菜。,"Ăn nhiều rau tốt cho sức khỏe, nên mẹ ngày nào cũng nấu rau.",กินผักมากดีต่อร่างกาย ดังนั้นแม่ทำผักทุกวัน,"Eating more vegetables is good for the body, so Mom cooks vegetables every day."
身體,shēn tǐ,cơ thể / sức khỏe,ร่างกาย / สุขภาพ,body / health,醫生說運動和吃青菜都對身體很好。,Bác sĩ nói vận động và ăn rau đều rất tốt cho cơ thể.,หมอบอกว่าการออกกำลังกายและการกินผักดีต่อร่างกายมาก,The doctor said exercise and eating vegetables are good for the body.
果汁,guǒ zhī,nước trái cây,น้ำผลไม้,juice,下次陳媽媽要教我用苦瓜做好喝的果汁。,Lần sau bà Trần sẽ dạy tôi dùng khổ qua làm nước trái cây ngon.,ครั้งหน้าคุณแม่เฉินจะสอนฉันใช้มะระทำน้ำผลไม้อร่อย ๆ,"Next time, Chen’s mother will teach me to use bitter melon to make tasty juice."
希望,xī wàng,hy vọng,หวังว่า,hope,我希望玉芳喝了苦瓜果汁以後，也會喜歡苦瓜。,"Tôi hy vọng sau khi Ngọc Phương uống nước khổ qua, cô ấy cũng sẽ thích khổ qua.",ฉันหวังว่าหลังจากอวี้ฟางดื่มน้ำมะระแล้ว เธอก็จะชอบมะระด้วย,I hope Yufang will also like bitter melon after drinking the bitter melon juice.
一樣,yí yàng,giống nhau / cũng như,เหมือนกัน,same / alike,我希望她和我一樣，慢慢愛上苦瓜。,"Tôi hy vọng cô ấy giống tôi, dần dần yêu thích khổ qua.",ฉันหวังว่าเธอจะเหมือนฉัน และค่อย ๆ รักมะระ,I hope she will be like me and slowly come to love bitter melon.
發現,fā xiàn,phát hiện,พบ / ค้นพบ,discover,學會做這道菜以後，我發現苦瓜一點都不難吃。,"Sau khi học làm món này, tôi phát hiện khổ qua không hề khó ăn.",หลังจากเรียนทำอาหารจานนี้ ฉันพบว่ามะระไม่ได้กินยากเลย,"After learning to cook this dish, I discovered that bitter melon is not hard to eat at all."
藥,yào,thuốc,ยา,medicine,小時候我覺得苦瓜和藥一樣苦，所以不想吃。,"Khi còn nhỏ tôi thấy khổ qua đắng giống thuốc, nên không muốn ăn.",ตอนเด็กฉันคิดว่ามะระขมเหมือนยา จึงไม่อยากกิน,"When I was young, I thought bitter melon was as bitter as medicine, so I did not want to eat it."
有一天,yǒu yì tiān,một ngày nọ,วันหนึ่ง,one day,有一天，李先生和陳先生一起聊天，談到工作的時間。,"Một ngày nọ, ông Lý và ông Trần cùng trò chuyện, nói về thời gian làm việc.",วันหนึ่ง คุณหลี่กับคุณเฉินคุยกัน และพูดถึงเวลาทำงาน,"One day, Mr. Li and Mr. Chen were chatting and talked about working hours."
聊天,liáo tiān,trò chuyện,คุยเล่น,chat,陳先生很忙，可是他還是和朋友聊天了一會兒。,"Ông Trần rất bận, nhưng ông ấy vẫn trò chuyện với bạn một lúc.",คุณเฉินยุ่งมาก แต่เขายังคุยเล่นกับเพื่อนสักพัก,"Mr. Chen was very busy, but he still chatted with his friend for a while."
早一個小時,zǎo yí ge xiǎo shí,sớm hơn một tiếng,เร็วขึ้นหนึ่งชั่วโมง,one hour earlier,陳先生說他可以早一個小時起床，這樣一天就像多了一點時間。,"Ông Trần nói ông ấy có thể dậy sớm hơn một tiếng, như vậy một ngày giống như có thêm chút thời gian.",คุณเฉินบอกว่าเขาสามารถตื่นเร็วขึ้นหนึ่งชั่วโมง แบบนี้หนึ่งวันก็เหมือนมีเวลาเพิ่มขึ้นนิดหน่อย,"Mr. Chen said he could get up one hour earlier, making the day seem a little longer."
起床,qǐ chuáng,thức dậy,ตื่นนอน,get up,陳先生每天工作很忙，所以他想早一個小時起床。,"Ông Trần mỗi ngày làm việc rất bận, nên ông ấy muốn dậy sớm hơn một tiếng.",คุณเฉินทำงานยุ่งมากทุกวัน ดังนั้นเขาอยากตื่นเร็วขึ้นหนึ่งชั่วโมง,"Mr. Chen is very busy every day, so he wants to get up one hour earlier."
餐廳,cān tīng,nhà hàng / căng tin,ร้านอาหาร,restaurant,三個學生不喜歡每天去餐廳吃飯，所以開始學做菜。,"Ba học sinh không thích ngày nào cũng đến nhà hàng ăn cơm, nên bắt đầu học nấu ăn.",นักเรียนสามคนไม่ชอบไปร้านอาหารกินข้าวทุกวัน จึงเริ่มเรียนทำอาหาร,"The three students did not like eating at restaurants every day, so they started learning to cook."
學習,xué xí,học tập,เรียนรู้,study / learn,他們開始學習做菜，希望以後可以自己準備晚餐。,"Họ bắt đầu học nấu ăn, hy vọng sau này có thể tự chuẩn bị bữa tối.",พวกเขาเริ่มเรียนรู้การทำอาหาร หวังว่าในอนาคตจะเตรียมอาหารเย็นเองได้,"They began learning to cook, hoping they could prepare dinner by themselves later."
做菜,zuò cài,nấu ăn / làm món ăn,ทำอาหาร,cook / prepare dishes,小美每天晚上跟媽媽學做菜，現在已經會煮湯了。,"Tối nào Tiểu Mỹ cũng học nấu ăn với mẹ, bây giờ đã biết nấu canh rồi.",เสี่ยวเหม่ยเรียนทำอาหารกับแม่ทุกคืน ตอนนี้ทำซุปเป็นแล้ว,"Xiaomei learns to cook with her mother every night, and now she can make soup."
聞,wén,ngửi,ดม / ได้กลิ่น,smell,學生們每次做菜的時候，都聞到鄰居家的香味。,"Mỗi lần học sinh nấu ăn, họ đều ngửi thấy mùi thơm từ nhà hàng xóm.",ทุกครั้งที่นักเรียนทำอาหาร พวกเขาได้กลิ่นหอมจากบ้านเพื่อนบ้าน,"Every time the students cooked, they smelled the delicious scent from the neighbor’s home."
鄰居,lín jū,hàng xóm,เพื่อนบ้าน,neighbor,鄰居家的媽媽很會做菜，常常煮很多美食。,"Người mẹ nhà hàng xóm nấu ăn rất giỏi, thường nấu nhiều món ngon.",แม่ของบ้านเพื่อนบ้านทำอาหารเก่งมาก มักทำอาหารอร่อยมากมาย,The neighbor’s mother is good at cooking and often makes many delicious dishes.
香味,xiāng wèi,mùi thơm,กลิ่นหอม,fragrance / aroma,廚房裡有飯菜的香味，大家都覺得很餓。,"Trong bếp có mùi thơm của cơm và thức ăn, mọi người đều thấy rất đói.",ในครัวมีกลิ่นหอมของอาหาร ทุกคนรู้สึกหิวมาก,"The kitchen had the aroma of food, and everyone felt hungry."
