生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
機場,jī chǎng,sân bay,สนามบิน,airport,小王明天要去機場，坐飛機去日本。,Ngày mai Tiểu Vương phải đến sân bay để đi máy bay sang Nhật.,พรุ่งนี้เสี่ยวหวังต้องไปสนามบินเพื่อนั่งเครื่องบินไปญี่ปุ่น,Xiaowang will go to the airport tomorrow to fly to Japan.
打球,dǎ qiú,chơi bóng,เล่นบอล,play ball,放學以後，男生們在操場上打球。,"Sau giờ học, các nam sinh chơi bóng ở sân trường.",หลังเลิกเรียน เด็กผู้ชายเล่นบอลที่สนามโรงเรียน,"After school, the boys played ball on the school field."
騎,qí,cưỡi / đi xe,ขี่,ride,小男孩正在公園裡騎腳踏車。,Cậu bé đang đi xe đạp trong công viên.,เด็กชายกำลังขี่จักรยานอยู่ในสวนสาธารณะ,The boy is riding a bicycle in the park.
腳踏車,jiǎo tà chē,xe đạp,จักรยาน,bicycle,週末的時候，爸爸帶孩子去河邊騎腳踏車。,"Cuối tuần, bố đưa con ra bờ sông đi xe đạp.",วันหยุดสุดสัปดาห์ พ่อพาลูกไปขี่จักรยานริมแม่น้ำ,"On the weekend, Dad took the child to ride a bicycle by the river."
功課表,gōng kè biǎo,thời khóa biểu,ตารางเรียน,class schedule,小華看了功課表，才知道星期二下午有語法課。,Tiểu Hoa xem thời khóa biểu rồi mới biết chiều thứ Ba có lớp ngữ pháp.,เสี่ยวหัวดูตารางเรียนแล้วจึงรู้ว่าบ่ายวันอังคารมีวิชาไวยากรณ์,Xiaohua checked the class schedule and then knew she had grammar class on Tuesday afternoon.
音樂課,yīn yuè kè,lớp âm nhạc,วิชาดนตรี,music class,小華星期一上午有音樂課，所以她帶了樂器去學校。,"Sáng thứ Hai Tiểu Hoa có lớp âm nhạc, nên cô ấy mang nhạc cụ đến trường.",เช้าวันจันทร์เสี่ยวหัวมีวิชาดนตรี ดังนั้นเธอจึงเอาเครื่องดนตรีไปโรงเรียน,"Xiaohua has music class on Monday morning, so she brought an instrument to school."
科學課,kē xué kè,lớp khoa học,วิชาวิทยาศาสตร์,science class,星期二上午的科學課很有趣，學生們都很喜歡。,"Lớp khoa học sáng thứ Ba rất thú vị, học sinh đều rất thích.",วิชาวิทยาศาสตร์เช้าวันอังคารน่าสนใจมาก นักเรียนทุกคนชอบ,"Tuesday morning’s science class was interesting, and the students all liked it."
語法課,yǔ fǎ kè,lớp ngữ pháp,วิชาไวยากรณ์,grammar class,老師在語法課上教學生怎麼用「先……再……」。,Giáo viên dạy học sinh cách dùng “trước... rồi...” trong lớp ngữ pháp.,ครูสอนนักเรียนวิธีใช้ “ก่อน...แล้วค่อย...” ในวิชาไวยากรณ์,"In grammar class, the teacher taught students how to use “first... then...”."
電腦課,diàn nǎo kè,lớp tin học / máy tính,วิชาคอมพิวเตอร์,computer class,星期三上午，小華要去電腦課學打字。,"Sáng thứ Tư, Tiểu Hoa phải đi lớp máy tính để học đánh chữ.",เช้าวันพุธ เสี่ยวหัวต้องไปเรียนวิชาคอมพิวเตอร์เพื่อฝึกพิมพ์,"On Wednesday morning, Xiaohua has computer class to learn typing."
收件人,shōu jiàn rén,người nhận,ผู้รับ,recipient,寄電子郵件以前，請先看清楚收件人的地址。,"Trước khi gửi email, hãy xem rõ địa chỉ của người nhận trước.",ก่อนส่งอีเมล กรุณาดูที่อยู่ของผู้รับให้ชัดเจนก่อน,"Before sending an email, please check the recipient’s address carefully."
生日,shēng rì,sinh nhật,วันเกิด,birthday,八月三十日是美美的生日，小芳想幫她過生日。,"Ngày 30 tháng 8 là sinh nhật của Mỹ Mỹ, Tiểu Phương muốn tổ chức sinh nhật cho cô ấy.",วันที่ 30 สิงหาคมเป็นวันเกิดของเหมยเหมย เสี่ยวฟางอยากช่วยจัดงานวันเกิดให้เธอ,"August 30 is Meimei’s birthday, and Xiaofang wants to celebrate it for her."
禮物,lǐ wù,quà tặng,ของขวัญ,gift,如果你去參加生日會，請帶一個禮物給美美。,"Nếu bạn đi dự tiệc sinh nhật, xin hãy mang một món quà cho Mỹ Mỹ.",ถ้าคุณไปงานวันเกิด กรุณานำของขวัญหนึ่งชิ้นให้เหมยเหมย,"If you go to the birthday party, please bring a gift for Meimei."
餐廳,cān tīng,nhà hàng / căng tin,ร้านอาหาร,restaurant,小芳沒有請大華去餐廳吃飯，她請他去美美家。,"Tiểu Phương không mời Đại Hoa đi nhà hàng ăn cơm, cô ấy mời cậu ấy đến nhà Mỹ Mỹ.",เสี่ยวฟางไม่ได้ชวนต้าหัวไปร้านอาหาร เธอชวนเขาไปบ้านเหมยเหมย,Xiaofang did not invite Dahua to eat at a restaurant; she invited him to Meimei’s home.
全票,quán piào,vé người lớn / vé nguyên giá,ตั๋วเต็มราคา,full-price ticket,這家電影院的全票四百元，學生票比較便宜。,"Vé nguyên giá của rạp phim này là 400 đồng, vé học sinh rẻ hơn.",ตั๋วเต็มราคาของโรงหนังนี้สี่ร้อยหยวน ตั๋วนักเรียนถูกกว่า,"The full-price ticket at this movie theater is 400 dollars, and student tickets are cheaper."
半票,bàn piào,vé nửa giá,ตั๋วครึ่งราคา,half-price ticket,小朋友可以買半票，所以看電影只要兩百元。,"Trẻ em có thể mua vé nửa giá, nên xem phim chỉ cần 200 đồng.",เด็ก ๆ สามารถซื้อตั๋วครึ่งราคา ดังนั้นดูหนังใช้เงินเพียงสองร้อยหยวน,"Children can buy half-price tickets, so watching the movie costs only 200 dollars."
A比B貴,A bǐ B guì,A đắt hơn B,A แพงกว่า B,A is more expensive than B,全票比半票貴兩百元，所以爸爸買票以前看了很久。,"Vé nguyên giá đắt hơn vé nửa giá 200 đồng, nên bố đã xem rất lâu trước khi mua vé.",ตั๋วเต็มราคาแพงกว่าตั๋วครึ่งราคาสองร้อยหยวน ดังนั้นพ่อดูก่อนซื้อตั๋วนานมาก,"A full-price ticket is 200 dollars more expensive than a half-price ticket, so Dad checked for a long time before buying tickets."
看電影,kàn diàn yǐng,xem phim,ดูหนัง,watch a movie,晚上九點還有一場電影，小明想下課以後去看電影。,"Chín giờ tối vẫn còn một suất phim, Tiểu Minh muốn đi xem phim sau giờ học.",ตอนสามทุ่มยังมีหนังหนึ่งรอบ เสี่ยวหมิงอยากไปดูหนังหลังเลิกเรียน,"There is still a movie at 9 p.m., and Xiaoming wants to watch it after class."
兩場,liǎng chǎng,hai suất / hai trận,สองรอบ / สองงาน,two showings / two events,中午以前只有一場電影，下午才有兩場。,"Trước buổi trưa chỉ có một suất phim, buổi chiều mới có hai suất.",ก่อนเที่ยงมีหนังเพียงหนึ่งรอบ ตอนบ่ายจึงมีสองรอบ,Before noon there is only one movie showing; in the afternoon there are two.
雨傘,yǔ sǎn,ô / dù,ร่ม,umbrella,星期一可能會下雨，小美出門以前帶了雨傘。,"Thứ Hai có thể mưa, Tiểu Mỹ mang ô trước khi ra ngoài.",วันจันทร์อาจฝนตก เสี่ยวเหม่ยจึงเอาร่มไปก่อนออกจากบ้าน,"It might rain on Monday, so Xiaomei brought an umbrella before going out."
天氣,tiān qì,thời tiết,อากาศ,weather,星期二天氣很熱，大家都想喝冰飲料。,"Thứ Ba thời tiết rất nóng, mọi người đều muốn uống đồ uống lạnh.",วันอังคารอากาศร้อนมาก ทุกคนอยากดื่มเครื่องดื่มเย็น,"The weather on Tuesday was very hot, and everyone wanted a cold drink."
涼快,liáng kuai,mát mẻ,เย็นสบาย,cool and comfortable,下過雨以後，晚上的天氣很涼快。,"Sau khi mưa, thời tiết buổi tối rất mát mẻ.",หลังฝนตก อากาศตอนกลางคืนเย็นสบายมาก,"After it rained, the weather at night was cool and comfortable."
A比B涼快,A bǐ B liáng kuai,A mát hơn B,A เย็นสบายกว่า B,A is cooler than B,山上比城市涼快，所以很多人夏天去那裡玩。,"Trên núi mát hơn thành phố, nên nhiều người mùa hè đến đó chơi.",บนภูเขาเย็นสบายกว่าในเมือง ดังนั้นฤดูร้อนมีคนไปเที่ยวที่นั่นมาก,"The mountains are cooler than the city, so many people go there in summer."
全部,quán bù,toàn bộ / tất cả,ทั้งหมด,all / entire,全部的人都拿著杯子，準備一起喝飲料。,"Tất cả mọi người đều cầm ly, chuẩn bị cùng uống nước.",ทุกคนถือแก้ว เตรียมดื่มเครื่องดื่มด้วยกัน,All of the people are holding cups and preparing to drink together.
杯子,bēi zi,cái ly / cốc,แก้ว,cup,桌上有五個杯子，請你幫客人倒茶。,"Trên bàn có năm cái ly, xin bạn giúp rót trà cho khách.",บนโต๊ะมีแก้วห้าใบ กรุณาช่วยรินชาให้แขก,There are five cups on the table; please help pour tea for the guests.
圓桌,yuán zhuō,bàn tròn,โต๊ะกลม,round table,四個人坐在圓桌前面，一邊吃飯一邊聊天。,"Bốn người ngồi trước bàn tròn, vừa ăn vừa trò chuyện.",คนสี่คนนั่งหน้าโต๊ะกลม กินข้าวไปด้วยคุยไปด้วย,"Four people sat at the round table, eating and chatting."
前面,qián miàn,phía trước,ข้างหน้า,front / in front of,學校前面有一家飲料店，學生下課後常去買茶。,"Phía trước trường có một tiệm đồ uống, học sinh thường đến mua trà sau giờ học.",หน้าโรงเรียนมีร้านเครื่องดื่มหนึ่งร้าน นักเรียนมักไปซื้อชาหลังเลิกเรียน,"There is a drink shop in front of the school, and students often buy tea there after class."
後面,hòu miàn,phía sau,ข้างหลัง,behind / back,車站後面有一個小公園，很多老人早上去運動。,"Phía sau trạm xe có một công viên nhỏ, nhiều người già buổi sáng đến tập thể dục.",หลังสถานีมีสวนสาธารณะเล็ก ๆ ผู้สูงอายุหลายคนไปออกกำลังกายตอนเช้า,Behind the station there is a small park where many elderly people exercise in the morning.
叉子,chā zi,nĩa,ส้อม,fork,吃蛋糕的時候，小朋友不用筷子，用叉子。,"Khi ăn bánh, trẻ em không dùng đũa mà dùng nĩa.",เวลากินเค้ก เด็ก ๆ ไม่ใช้ตะเกียบ แต่ใช้ส้อม,"When eating cake, the children do not use chopsticks; they use forks."
帽子,mào zi,mũ,หมวก,hat,天氣很冷，小男孩戴著帽子在外面玩。,"Trời rất lạnh, cậu bé đội mũ chơi ở bên ngoài.",อากาศหนาวมาก เด็กชายใส่หมวกเล่นอยู่ข้างนอก,"The weather is very cold, and the boy is wearing a hat while playing outside."
唱歌,chàng gē,hát,ร้องเพลง,sing,生日會上，大家一起唱歌祝美美生日快樂。,"Trong tiệc sinh nhật, mọi người cùng hát chúc Mỹ Mỹ sinh nhật vui vẻ.",ในงานวันเกิด ทุกคนร้องเพลงอวยพรให้เหมยเหมยสุขสันต์วันเกิดด้วยกัน,"At the birthday party, everyone sang to wish Meimei a happy birthday."
跳舞,tiào wǔ,nhảy múa,เต้นรำ,dance,音樂開始以後，孩子們在客廳裡跳舞。,"Sau khi nhạc bắt đầu, bọn trẻ nhảy múa trong phòng khách.",หลังเพลงเริ่ม เด็ก ๆ เต้นรำในห้องนั่งเล่น,"After the music started, the children danced in the living room."
蛋糕,dàn gāo,bánh kem,เค้ก,cake,蛋糕旁邊有一些禮物，都是朋友送給小美的。,"Bên cạnh bánh kem có vài món quà, đều là bạn bè tặng Tiểu Mỹ.",ข้างเค้กมีของขวัญอยู่บ้าง ทั้งหมดเป็นของที่เพื่อนให้เสี่ยวเหม่ย,"There are some gifts beside the cake, all from Xiaomei’s friends."
只,zhǐ,chỉ,แค่ / เพียง,only,小女孩只用一條腿站著，正在練習跳舞。,Cô bé chỉ đứng bằng một chân và đang luyện múa.,เด็กผู้หญิงยืนด้วยขาข้างเดียวเท่านั้น กำลังฝึกเต้นรำ,The girl is standing on only one leg and practicing dance.
一條腿,yì tiáo tuǐ,một chân,ขาข้างหนึ่ง,one leg,他受傷以後，只能用一條腿慢慢走路。,"Sau khi bị thương, anh ấy chỉ có thể dùng một chân đi chậm.",หลังจากเขาบาดเจ็บ เขาสามารถใช้ขาข้างเดียวเดินช้า ๆ เท่านั้น,"After getting hurt, he could only walk slowly using one leg."
站,zhàn,đứng,ยืน,stand,老師站在黑板前面，請學生看這個句子。,Giáo viên đứng trước bảng và yêu cầu học sinh nhìn câu này.,ครูยืนอยู่หน้ากระดาน และขอให้นักเรียนดูประโยคนี้,The teacher stood in front of the board and asked the students to look at this sentence.
手,shǒu,tay,มือ,hand,她的手放在身體前面，看起來很緊張。,"Tay của cô ấy đặt trước cơ thể, trông có vẻ rất căng thẳng.",มือของเธอวางอยู่หน้าลำตัว ดูเหมือนตื่นเต้นมาก,"Her hands were in front of her body, and she looked nervous."
放,fàng,đặt / để,วาง / ใส่,put / place,請把杯子放在桌子上，不要放在地上。,"Xin hãy đặt cái ly lên bàn, đừng đặt dưới đất.",กรุณาวางแก้วไว้บนโต๊ะ อย่าวางบนพื้น,"Please put the cup on the table, not on the ground."
身體,shēn tǐ,cơ thể / sức khỏe,ร่างกาย / สุขภาพ,body / health,運動對身體很好，所以爸爸每天早上跑步。,"Vận động rất tốt cho cơ thể, nên bố chạy bộ mỗi sáng.",การออกกำลังกายดีต่อร่างกายมาก ดังนั้นพ่อวิ่งทุกเช้า,"Exercise is good for the body, so Dad runs every morning."
一頂,yì dǐng,một chiếc / một cái mũ,หมวกหนึ่งใบ,one hat,妹妹戴著一頂漂亮的帽子去參加舞會。,Em gái đội một chiếc mũ đẹp đi tham gia buổi khiêu vũ.,น้องสาวสวมหมวกสวยหนึ่งใบไปเข้าร่วมงานเต้นรำ,My younger sister wore a pretty hat to the dance party.
阿里山,Ā lǐ shān,A Lý Sơn,อาลีซาน,Alishan,阿里山有漂亮的風景，很多人坐火車去旅遊。,"A Lý Sơn có phong cảnh đẹp, nhiều người đi tàu hỏa đến du lịch.",อาลีซานมีทิวทัศน์สวยงาม หลายคนนั่งรถไฟไปเที่ยว,"Alishan has beautiful scenery, and many people travel there by train."
租車,zū chē,thuê xe,เช่ารถ,rent a car,如果想租車，請先打電話給租車公司。,"Nếu muốn thuê xe, xin hãy gọi điện cho công ty thuê xe trước.",ถ้าอยากเช่ารถ กรุณาโทรศัพท์หาบริษัทเช่ารถก่อน,"If you want to rent a car, please call the car rental company first."
公司,gōng sī,công ty,บริษัท,company,這家公司服務時間很長，晚上十點以前都可以打電話。,"Công ty này có thời gian phục vụ rất dài, trước mười giờ tối đều có thể gọi điện.",บริษัทนี้มีเวลาให้บริการนานมาก ก่อนสี่ทุ่มยังสามารถโทรศัพท์ได้,"This company has long service hours, and you can call before 10 p.m."
地址,dì zhǐ,địa chỉ,ที่อยู่,address,請把公司的地址寫在紙上，客人才找得到。,Xin hãy viết địa chỉ công ty lên giấy để khách mới tìm được.,กรุณาเขียนที่อยู่ของบริษัทบนกระดาษ ลูกค้าจึงจะหาเจอ,Please write the company’s address on paper so customers can find it.
路,lù,đường,ถนน,road / street,這家店在文化路一百二十三號，離車站不遠。,"Tiệm này ở số 123 đường Văn Hóa, cách nhà ga không xa.",ร้านนี้อยู่เลขที่ 123 ถนนวัฒนธรรม ไม่ไกลจากสถานี,"This shop is at No. 123 Wenhua Road, not far from the station."
號,hào,số,เลขที่ / หมายเลข,number / No.,請你看清楚門牌號，不要走錯地方。,"Xin bạn nhìn rõ số nhà, đừng đi nhầm chỗ.",กรุณาดูเลขที่บ้านให้ชัด อย่าไปผิดที่,Please check the address number carefully and do not go to the wrong place.
服務時間,fú wù shí jiān,thời gian phục vụ,เวลาให้บริการ,service hours,租車公司的服務時間是上午十點到晚上十點。,Thời gian phục vụ của công ty thuê xe là từ 10 giờ sáng đến 10 giờ tối.,เวลาให้บริการของบริษัทเช่ารถคือตั้งแต่สิบโมงเช้าถึงสี่ทุ่ม,The car rental company’s service hours are from 10 a.m. to 10 p.m.
價錢,jià qián,giá tiền,ราคา,price,小汽車的價錢比較便宜，一天一千二百元。,"Giá xe nhỏ rẻ hơn, một ngày 1.200 đồng.",ราคารถยนต์คันเล็กถูกกว่า วันละหนึ่งพันสองร้อยหยวน,"The price of the small car is cheaper, at 1,200 dollars per day."
汽車,qì chē,ô tô / xe hơi,รถยนต์,car,爸爸明天要租一台汽車，帶全家人去旅行。,Ngày mai bố muốn thuê một chiếc ô tô để đưa cả nhà đi du lịch.,พรุ่งนี้พ่อจะเช่ารถยนต์หนึ่งคัน พาทั้งครอบครัวไปเที่ยว,Dad wants to rent a car tomorrow and take the whole family on a trip.
只能,zhǐ néng,chỉ có thể,ทำได้แค่ / สามารถ...เท่านั้น,can only,這家公司晚上十點以後休息，所以只能白天打電話。,"Công ty này sau mười giờ tối nghỉ, nên chỉ có thể gọi điện ban ngày.",บริษัทนี้หลังสี่ทุ่มหยุดพัก ดังนั้นจึงโทรศัพท์ได้เฉพาะตอนกลางวัน,"This company closes after 10 p.m., so you can only call during the day."
租,zū,thuê,เช่า,rent,小王想租一台大汽車，因為他要和朋友一起出去玩。,Tiểu Vương muốn thuê một chiếc xe lớn vì cậu ấy muốn đi chơi với bạn bè.,เสี่ยวหวังอยากเช่ารถคันใหญ่ เพราะเขาจะออกไปเที่ยวกับเพื่อน,Xiaowang wants to rent a large car because he is going out with friends.
一種,yì zhǒng,một loại,ชนิดหนึ่ง,one kind,這家公司不是只能租一種車，還有小汽車和大汽車。,"Công ty này không phải chỉ có thể thuê một loại xe, còn có xe nhỏ và xe lớn.",บริษัทนี้ไม่ได้ให้เช่ารถเพียงชนิดเดียว ยังมีรถเล็กและรถใหญ่ด้วย,This company does not rent only one kind of car; it has small cars and large cars.
搭,dā,đi / ngồi phương tiện,นั่ง / โดยสาร,take / ride,如果要去火車站，你可以搭公車或搭計程車。,"Nếu muốn đi đến nhà ga, bạn có thể đi xe buýt hoặc đi taxi.",ถ้าจะไปสถานีรถไฟ คุณสามารถนั่งรถเมล์หรือนั่งแท็กซี่ได้,"If you want to go to the train station, you can take a bus or a taxi."
計程車,jì chéng chē,taxi,แท็กซี่,taxi,下雨的時候，很多人會搭計程車回家。,"Khi trời mưa, nhiều người sẽ đi taxi về nhà.",เวลาฝนตก หลายคนจะนั่งแท็กซี่กลับบ้าน,"When it rains, many people take a taxi home."
打電話,dǎ diàn huà,gọi điện thoại,โทรศัพท์,make a phone call,想租車的人可以先打電話問價格。,Người muốn thuê xe có thể gọi điện hỏi giá trước.,คนที่อยากเช่ารถสามารถโทรศัพท์ถามราคาก่อนได้,People who want to rent a car can call first to ask about the price.
價格,jià gé,giá cả,ราคา,price,這家旅館的價格不高，所以很多學生喜歡住這裡。,"Giá của khách sạn này không cao, nên nhiều học sinh thích ở đây.",ราคาของโรงแรมนี้ไม่สูง ดังนั้นนักเรียนหลายคนชอบพักที่นี่,"The price of this hotel is not high, so many students like staying here."
最少,zuì shǎo,ít nhất,อย่างน้อยที่สุด,at least / minimum,租車一天最少要一千二百元，請先準備好錢。,"Thuê xe một ngày ít nhất cần 1.200 đồng, xin chuẩn bị tiền trước.",การเช่ารถหนึ่งวันต้องใช้เงินอย่างน้อยหนึ่งพันสองร้อยหยวน กรุณาเตรียมเงินไว้ก่อน,"Renting a car costs at least 1,200 dollars per day, so please prepare the money first."
休息,xiū xi,nghỉ ngơi / nghỉ,พัก,rest / be closed,今天商店休息，客人只能明天再來買東西。,"Hôm nay cửa hàng nghỉ, khách chỉ có thể ngày mai quay lại mua đồ.",วันนี้ร้านหยุดพัก ลูกค้าจึงทำได้แค่พรุ่งนี้ค่อยกลับมาซื้อของ,"The store is closed today, so customers can only come back tomorrow."
醫院,yī yuàn,bệnh viện,โรงพยาบาล,hospital,醫院離飲料店很遠，所以王先生坐公車去。,"Bệnh viện cách tiệm đồ uống rất xa, nên ông Vương đi xe buýt.",โรงพยาบาลอยู่ไกลจากร้านเครื่องดื่มมาก ดังนั้นคุณหวังนั่งรถเมล์ไป,"The hospital is far from the drink shop, so Mr. Wang took the bus."
A離B近,A lí B jìn,A gần B,A อยู่ใกล้ B,A is close to B,公車站離早餐店很近，走路只要兩分鐘。,"Trạm xe buýt gần tiệm ăn sáng, đi bộ chỉ mất hai phút.",ป้ายรถเมล์อยู่ใกล้ร้านอาหารเช้า เดินเพียงสองนาที,The bus stop is close to the breakfast shop; it takes only two minutes to walk there.
A離B遠,A lí B yuǎn,A xa B,A อยู่ไกลจาก B,A is far from B,醫院離商店很遠，開車也要二十分鐘。,"Bệnh viện xa cửa hàng, lái xe cũng mất hai mươi phút.",โรงพยาบาลอยู่ไกลจากร้านค้า ขับรถก็ต้องใช้เวลายี่สิบนาที,The hospital is far from the store; it takes twenty minutes even by car.
商店,shāng diàn,cửa hàng,ร้านค้า,store / shop,這家商店早上十點開門，晚上八點關門。,Cửa hàng này mở cửa lúc 10 giờ sáng và đóng cửa lúc 8 giờ tối.,ร้านค้านี้เปิดตอนสิบโมงเช้า และปิดตอนสองทุ่ม,This store opens at 10 a.m. and closes at 8 p.m.
開門,kāi mén,mở cửa,เปิดประตู / เปิดร้าน,open,飲料店早上七點開門，很多學生上課前會去買紅茶。,"Tiệm đồ uống mở cửa lúc bảy giờ sáng, nhiều học sinh sẽ đi mua trà đen trước giờ học.",ร้านเครื่องดื่มเปิดตอนเจ็ดโมงเช้า นักเรียนหลายคนจะไปซื้อชาแดงก่อนเข้าเรียน,"The drink shop opens at 7 a.m., and many students buy black tea before class."
關門,guān mén,đóng cửa,ปิดประตู / ปิดร้าน,close,因為今天休息，商店下午五點就關門了。,"Vì hôm nay nghỉ, cửa hàng đóng cửa lúc năm giờ chiều.",เพราะวันนี้หยุดพัก ร้านจึงปิดตอนห้าโมงเย็น,"Because it was closed today, the store shut its doors at 5 p.m."
公車站,gōng chē zhàn,trạm xe buýt,ป้ายรถเมล์,bus stop,公車站在飲料店前面，等車的人很多。,"Trạm xe buýt ở trước tiệm đồ uống, người chờ xe rất đông.",ป้ายรถเมล์อยู่หน้าร้านเครื่องดื่ม คนรอรถเยอะมาก,"The bus stop is in front of the drink shop, and many people are waiting there."
飲料店,yǐn liào diàn,tiệm đồ uống,ร้านเครื่องดื่ม,drink shop,放學以後，小美和同學去飲料店買紅茶。,"Sau giờ học, Tiểu Mỹ và bạn cùng lớp đi tiệm đồ uống mua trà đen.",หลังเลิกเรียน เสี่ยวเหม่ยกับเพื่อนร่วมชั้นไปร้านเครื่องดื่มซื้อชาแดง,"After school, Xiaomei and her classmate went to the drink shop to buy black tea."
A教Bsomething,A jiāo B something,A dạy B điều gì đó,A สอน B บางอย่าง,A teaches B something,王老師教林心心中文，林心心覺得上課很開心。,"Thầy Vương dạy Lâm Tâm Tâm tiếng Trung, Lâm Tâm Tâm thấy đi học rất vui.",ครูหวังสอนภาษาจีนให้หลินซินซิน หลินซินซินรู้สึกว่าเรียนสนุกมาก,"Teacher Wang teaches Lin Xinxin Chinese, and Lin Xinxin enjoys the class."
雖然A，但是B,"suī rán A, dàn shì B","mặc dù A, nhưng B",แม้ว่า A แต่ B,"although A, but B",雖然只有三個月，但是林心心永遠記得王老師。,"Mặc dù chỉ có ba tháng, nhưng Lâm Tâm Tâm sẽ mãi nhớ thầy Vương.",แม้ว่ามีเวลาเพียงสามเดือน แต่หลินซินซินจะจดจำครูหวังตลอดไป,"Although it was only three months, Lin Xinxin will always remember Teacher Wang."
永遠,yǒng yuǎn,mãi mãi,ตลอดไป,forever / always,學生很喜歡王老師，所以說會永遠記得他。,Học sinh rất thích thầy Vương nên nói sẽ mãi nhớ thầy.,นักเรียนชอบครูหวังมาก จึงบอกว่าจะจดจำเขาตลอดไป,The student liked Teacher Wang very much and said she would remember him forever.
記得,jì de,nhớ,จำได้,remember,請你記得明天帶課本，不要忘了。,"Xin bạn nhớ mang sách giáo khoa ngày mai, đừng quên.",กรุณาจำไว้ว่าพรุ่งนี้ต้องเอาหนังสือเรียนมา อย่าลืม,"Please remember to bring your textbook tomorrow, and do not forget."
