生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
有線電話,yǒu xiàn diàn huà,điện thoại có dây,โทรศัพท์มีสาย,landline phone,以前我家客廳裡有一支有線電話，現在大家都用手機了。,"Trước đây trong phòng khách nhà tôi có một chiếc điện thoại có dây, bây giờ mọi người đều dùng điện thoại di động.",เมื่อก่อนในห้องรับแขกบ้านฉันมีโทรศัพท์มีสายหนึ่งเครื่อง ตอนนี้ทุกคนใช้มือถือกันแล้ว,"There used to be a landline phone in my living room, but now everyone uses mobile phones."
無線電話,wú xiàn diàn huà,điện thoại không dây,โทรศัพท์ไร้สาย,cordless phone,辦公室裡的無線電話壞了，所以經理叫我用手機打電話。,"Điện thoại không dây trong văn phòng bị hỏng, nên giám đốc bảo tôi dùng điện thoại di động để gọi.",โทรศัพท์ไร้สายในออฟฟิศเสีย ดังนั้นผู้จัดการจึงให้ฉันใช้มือถือโทร,"The cordless phone in the office broke, so the manager told me to use my mobile phone to make the call."
手機,shǒu jī,điện thoại di động,โทรศัพท์มือถือ,mobile phone,昨天小王的手機壞了，所以他沒有接到老師打來的電話。,"Hôm qua điện thoại di động của Tiểu Vương bị hỏng, nên cậu ấy không nhận được cuộc gọi của giáo viên.",เมื่อวานมือถือของเสี่ยวหวังเสีย ดังนั้นเขาจึงไม่ได้รับสายที่ครูโทรมา,"Yesterday Xiaowang’s mobile phone broke, so he did not receive the teacher’s call."
電腦,diàn nǎo,máy tính,คอมพิวเตอร์,computer,學生在教室裡用電腦上網查資料，老師請他們不要玩遊戲。,"Học sinh dùng máy tính lên mạng tra tài liệu trong lớp học, giáo viên yêu cầu họ đừng chơi trò chơi.",นักเรียนใช้คอมพิวเตอร์ค้นข้อมูลทางอินเทอร์เน็ตในห้องเรียน ครูขอให้พวกเขาอย่าเล่นเกม,"The students used computers in the classroom to look up information online, and the teacher asked them not to play games."
收音機,shōu yīn jī,radio,วิทยุ,radio,爺爺每天早上打開收音機，一邊喝茶一邊聽新聞。,"Ông nội mỗi sáng mở radio, vừa uống trà vừa nghe tin tức.",คุณปู่เปิดวิทยุทุกเช้า ดื่มชาไปด้วยฟังข่าวไปด้วย,Grandpa turns on the radio every morning and listens to the news while drinking tea.
壞,huài,hỏng,เสีย,broken,我的手機壞了，不能接電話，也不能上網。,"Điện thoại di động của tôi bị hỏng, không thể nghe điện thoại cũng không thể lên mạng.",มือถือของฉันเสีย รับโทรศัพท์ไม่ได้ และเข้าอินเทอร์เน็ตไม่ได้,"My mobile phone is broken, so I cannot answer calls or go online."
短頭髮,duǎn tóu fǎ,tóc ngắn,ผมสั้น,short hair,那個短頭髮、戴眼鏡的女孩是我的妹妹，她今年上高中。,"Cô gái tóc ngắn đeo kính đó là em gái tôi, năm nay em ấy học cấp ba.",เด็กผู้หญิงผมสั้นใส่แว่นคนนั้นคือน้องสาวของฉัน ปีนี้เธอเรียนมัธยมปลาย,"The girl with short hair and glasses is my younger sister, and she is in high school this year."
長頭髮,cháng tóu fǎ,tóc dài,ผมยาว,long hair,坐在窗戶旁邊的長頭髮女生是新同學，她剛從南部搬來。,"Nữ sinh tóc dài ngồi bên cửa sổ là bạn học mới, cô ấy vừa chuyển đến từ miền Nam.",นักเรียนหญิงผมยาวที่นั่งข้างหน้าต่างคือเพื่อนใหม่ เธอเพิ่งย้ายมาจากภาคใต้,The long-haired girl sitting by the window is a new classmate who just moved from the south.
眼鏡,yǎn jìng,kính mắt,แว่นตา,glasses,妹妹上課的時候一定要戴眼鏡，不然她看不清楚黑板上的字。,"Khi đi học, em gái nhất định phải đeo kính, nếu không em ấy nhìn không rõ chữ trên bảng.",เวลาเรียน น้องสาวต้องใส่แว่น ไม่อย่างนั้นเธอจะมองตัวหนังสือบนกระดานไม่ชัด,"My younger sister must wear glasses in class, or she cannot see the words on the board clearly."
排隊,pái duì,xếp hàng,ต่อแถว,to line up,這家衣服店今天有特價，所以很多人一早就在門口排隊。,"Hôm nay cửa hàng quần áo này có giảm giá, nên nhiều người xếp hàng trước cửa từ sáng sớm.",วันนี้ร้านเสื้อผ้าร้านนี้ลดราคา ดังนั้นหลายคนมาต่อแถวหน้าประตูตั้งแต่เช้า,"This clothing store has a sale today, so many people lined up at the entrance early in the morning."
衣服,yī fú,quần áo,เสื้อผ้า,clothes,這裡的衣服很便宜，媽媽想買兩件襯衫給爸爸。,"Quần áo ở đây rất rẻ, mẹ muốn mua hai cái áo sơ mi cho bố.",เสื้อผ้าที่นี่ถูกมาก แม่อยากซื้อเสื้อเชิ้ตสองตัวให้พ่อ,"The clothes here are cheap, so Mom wants to buy two shirts for Dad."
便宜,pián yí,rẻ,ถูก,cheap,這家店的衣服又漂亮又便宜，難怪每天都有很多客人。,"Quần áo của cửa hàng này vừa đẹp vừa rẻ, chẳng trách mỗi ngày đều có nhiều khách.",เสื้อผ้าของร้านนี้ทั้งสวยทั้งถูก ไม่น่าแปลกใจที่ทุกวันมีลูกค้าหลายคน,"The clothes in this store are both pretty and cheap, so it is no wonder there are many customers every day."
藥局,yào jú,nhà thuốc,ร้านขายยา,pharmacy,弟弟頭痛的時候，媽媽帶他到藥局買藥。,"Khi em trai bị đau đầu, mẹ dẫn em ấy đến hiệu thuốc mua thuốc.",ตอนน้องชายปวดหัว แม่พาเขาไปร้านขายยาเพื่อซื้อยา,"When my younger brother had a headache, Mom took him to the pharmacy to buy medicine."
衣服店,yī fú diàn,cửa hàng quần áo,ร้านเสื้อผ้า,clothing store,姐姐週末想去衣服店買一條裙子，因為她下星期要參加舞會。,Cuối tuần chị gái muốn đi cửa hàng quần áo mua một chiếc váy vì tuần sau chị ấy sẽ tham gia buổi khiêu vũ.,พี่สาวอยากไปร้านเสื้อผ้าซื้อกระโปรงหนึ่งตัวตอนสุดสัปดาห์ เพราะสัปดาห์หน้าเธอจะไปงานเต้นรำ,My older sister wants to go to a clothing store this weekend to buy a skirt because she will attend a dance party next week.
水果店,shuǐ guǒ diàn,cửa hàng trái cây,ร้านผลไม้,fruit store,學校旁邊的水果店賣的蘋果很甜，學生下課後常常去買。,"Tiệm trái cây bên cạnh trường bán táo rất ngọt, học sinh thường đến mua sau giờ học.",ร้านผลไม้ข้างโรงเรียนขายแอปเปิลหวานมาก นักเรียนมักไปซื้อหลังเลิกเรียน,"The fruit store next to the school sells very sweet apples, and students often buy them after class."
牛排,niú pái,bít tết,สเต๊ก,steak,這家餐廳的牛排很好吃，但是我今天不想吃肉。,"Bít tết của nhà hàng này rất ngon, nhưng hôm nay tôi không muốn ăn thịt.",สเต๊กของร้านนี้อร่อยมาก แต่วันนี้ฉันไม่อยากกินเนื้อ,"The steak at this restaurant is delicious, but I do not want to eat meat today."
漢堡,hàn bǎo,hamburger,แฮมเบอร์เกอร์,hamburger,弟弟想點一個漢堡和一杯汽水，媽媽叫他先吃青菜。,"Em trai muốn gọi một cái hamburger và một ly nước ngọt, mẹ bảo em ấy ăn rau trước.",น้องชายอยากสั่งแฮมเบอร์เกอร์หนึ่งชิ้นกับน้ำอัดลมหนึ่งแก้ว แม่บอกให้เขากินผักก่อน,"My younger brother wanted to order a hamburger and a soda, but Mom told him to eat vegetables first."
試一試,shì yi shì,thử một chút,ลองดู,to try,服務員說這裡的牛排很好吃，問我們要不要試一試。,Nhân viên phục vụ nói bít tết ở đây rất ngon và hỏi chúng tôi có muốn thử không.,พนักงานบอกว่าสเต๊กที่นี่อร่อยมาก แล้วถามพวกเราว่าอยากลองไหม,The server said the steak here was delicious and asked if we wanted to try it.
不能吃肉,bù néng chī ròu,không thể ăn thịt,กินเนื้อไม่ได้,cannot eat meat,小美因為身體不舒服，今天不能吃肉，只想點一份青菜。,"Vì Tiểu Mỹ không khỏe, hôm nay cô ấy không thể ăn thịt, chỉ muốn gọi một phần rau.",เสี่ยวเหม่ยไม่สบาย วันนี้กินเนื้อไม่ได้ อยากสั่งผักหนึ่งที่เท่านั้น,"Because Xiaomei does not feel well, she cannot eat meat today and only wants to order vegetables."
點,diǎn,gọi món / chọn,สั่ง / จุด,to order / to choose,我們進餐廳以後，爸爸點了一份牛排，媽媽點了一碗酸辣湯。,"Sau khi chúng tôi vào nhà hàng, bố gọi một phần bít tết, mẹ gọi một bát canh chua cay.",หลังจากพวกเราเข้าร้านอาหาร พ่อสั่งสเต๊กหนึ่งที่ แม่สั่งซุปเปรี้ยวเผ็ดหนึ่งชาม,"After we entered the restaurant, Dad ordered a steak and Mom ordered a bowl of hot and sour soup."
青菜,qīng cài,rau xanh,ผักใบเขียว,green vegetables,他不能吃肉，所以請服務員幫他點一份青菜和一碗飯。,"Anh ấy không thể ăn thịt, nên nhờ nhân viên phục vụ gọi giúp một phần rau và một bát cơm.",เขากินเนื้อไม่ได้ จึงขอให้พนักงานช่วยสั่งผักหนึ่งที่กับข้าวหนึ่งชาม,"He cannot eat meat, so he asked the server to order vegetables and a bowl of rice for him."
客廳,kè tīng,phòng khách,ห้องรับแขก,living room,小明在客廳找不到新買的小說，後來才發現它在浴室裡。,"Tiểu Minh không tìm thấy cuốn tiểu thuyết mới mua trong phòng khách, sau đó mới phát hiện nó ở trong phòng tắm.",เสี่ยวหมิงหานิยายที่เพิ่งซื้อไม่เจอในห้องรับแขก ต่อมาจึงพบว่ามันอยู่ในห้องน้ำ,"Xiaoming could not find the novel he had just bought in the living room, and later discovered it was in the bathroom."
房間,fáng jiān,phòng,ห้อง,room,弟弟把書包放在房間裡，然後到客廳看電視。,"Em trai để cặp sách trong phòng, sau đó ra phòng khách xem ti vi.",น้องชายวางกระเป๋านักเรียนไว้ในห้อง แล้วไปดูทีวีที่ห้องรับแขก,My younger brother put his schoolbag in the room and then went to the living room to watch TV.
浴室,yù shì,phòng tắm,ห้องน้ำ / ห้องอาบน้ำ,bathroom,爸爸昨天把毛巾放在浴室裡，今天早上卻一直找不到。,"Hôm qua bố để khăn trong phòng tắm, nhưng sáng nay lại tìm mãi không thấy.",เมื่อวานพ่อวางผ้าเช็ดตัวไว้ในห้องน้ำ แต่เช้าวันนี้หาเท่าไรก็ไม่เจอ,"Dad put the towel in the bathroom yesterday, but could not find it this morning."
小說,xiǎo shuō,tiểu thuyết,นิยาย,novel,這本小說是小明昨天新買的，他想晚上回家以後看。,"Cuốn tiểu thuyết này là cuốn Tiểu Minh mới mua hôm qua, cậu ấy muốn đọc sau khi về nhà tối nay.",นิยายเล่มนี้เสี่ยวหมิงเพิ่งซื้อเมื่อวาน เขาอยากอ่านหลังกลับบ้านตอนเย็น,"This novel is the one Xiaoming bought yesterday, and he wants to read it after he gets home tonight."
廚房,chú fáng,nhà bếp,ห้องครัว,kitchen,媽媽在廚房做菜的時候，妹妹在客廳寫功課。,"Khi mẹ nấu ăn trong bếp, em gái làm bài tập trong phòng khách.",ตอนแม่ทำอาหารในครัว น้องสาวทำการบ้านอยู่ในห้องรับแขก,"While Mom was cooking in the kitchen, my younger sister was doing homework in the living room."
畫,huà,tranh / vẽ,ภาพวาด,painting / picture,我把朋友送我的畫掛在冰箱後面的牆上。,Tôi treo bức tranh bạn tặng tôi lên bức tường phía sau tủ lạnh.,ฉันแขวนภาพที่เพื่อนให้ไว้บนผนังด้านหลังตู้เย็น,I hung the painting my friend gave me on the wall behind the refrigerator.
放,fàng,đặt / để,วาง / ใส่,to put / place,小美把鑰匙放在桌上，出門以後才發現自己忘了帶。,"Tiểu Mỹ để chìa khóa trên bàn, sau khi ra khỏi nhà mới phát hiện mình quên mang theo.",เสี่ยวเหม่ยวางกุญแจไว้บนโต๊ะ หลังออกจากบ้านจึงพบว่าตัวเองลืมเอาไป,Xiaomei put the key on the table and only realized after leaving home that she had forgotten it.
掛,guà,treo,แขวน,to hang,爸爸想把新的照片掛在客廳的牆上，讓客人一進門就看得到。,Bố muốn treo bức ảnh mới lên tường phòng khách để khách vừa vào cửa là có thể nhìn thấy.,พ่ออยากแขวนรูปถ่ายใหม่บนผนังห้องรับแขก เพื่อให้แขกเห็นได้ทันทีที่เข้าประตู,Dad wants to hang the new photo on the living room wall so guests can see it as soon as they enter.
冰箱,bīng xiāng,tủ lạnh,ตู้เย็น,refrigerator,媽媽把牛奶放進冰箱，因為今天的天氣太熱了。,Mẹ đặt sữa vào tủ lạnh vì thời tiết hôm nay quá nóng.,แม่เอานมใส่ตู้เย็น เพราะวันนี้อากาศร้อนเกินไป,Mom put the milk in the refrigerator because the weather is too hot today.
牆壁,qiáng bì,bức tường,ผนัง,wall,教室後面的牆壁上掛著學生畫的圖，大家都覺得很漂亮。,"Trên bức tường phía sau lớp học treo tranh học sinh vẽ, mọi người đều thấy rất đẹp.",บนผนังด้านหลังห้องเรียนแขวนภาพที่นักเรียนวาด ทุกคนรู้สึกว่าสวยมาก,"The wall at the back of the classroom has students’ drawings hanging on it, and everyone thinks they are beautiful."
表演,biǎo yǎn,biểu diễn,การแสดง / แสดง,performance / to perform,小美下星期要在學校表演吉他，所以她每天晚上都練習。,"Tuần sau Tiểu Mỹ sẽ biểu diễn guitar ở trường, nên mỗi tối cô ấy đều luyện tập.",สัปดาห์หน้าเสี่ยวเหม่ยจะแสดงกีตาร์ที่โรงเรียน ดังนั้นเธอจึงฝึกทุกคืน,"Xiaomei will perform guitar at school next week, so she practices every night."
鋼琴,gāng qín,đàn piano,เปียโน,piano,她以前表演過鋼琴，但是這次想試試看吉他表演。,"Trước đây cô ấy từng biểu diễn piano, nhưng lần này muốn thử biểu diễn guitar.",เมื่อก่อนเธอเคยแสดงเปียโน แต่ครั้งนี้อยากลองแสดงกีตาร์,"She performed piano before, but this time she wants to try a guitar performance."
吉他,jí tā,đàn guitar,กีตาร์,guitar,哥哥學吉他學了三年，現在可以自己寫歌給朋友聽。,"Anh trai học guitar ba năm rồi, bây giờ có thể tự viết bài hát cho bạn bè nghe.",พี่ชายเรียนกีตาร์มาสามปี ตอนนี้สามารถแต่งเพลงเองให้เพื่อนฟังได้,My older brother has studied guitar for three years and can now write songs for his friends to hear.
豎琴,shù qín,đàn hạc,ฮาร์ป,harp,音樂會上有鋼琴、小提琴，還有一位學生表演豎琴。,"Trong buổi hòa nhạc có piano, violin, và còn có một học sinh biểu diễn đàn hạc.",ในคอนเสิร์ตมีเปียโน ไวโอลิน และยังมีนักเรียนคนหนึ่งแสดงพิณฮาร์ป,"At the concert there was piano and violin, and one student also performed the harp."
小提琴,xiǎo tí qín,đàn vĩ cầm,ไวโอลิน,violin,妹妹從小學小提琴，週末常常到老師家練習。,"Em gái học violin từ nhỏ, cuối tuần thường đến nhà giáo viên luyện tập.",น้องสาวเรียนไวโอลินตั้งแต่เด็ก วันหยุดสุดสัปดาห์มักไปฝึกที่บ้านครู,My younger sister has studied violin since childhood and often practices at her teacher’s house on weekends.
笛子,dí zi,sáo,ขลุ่ย,flute,爺爺很會吹笛子，過年的時候常常表演給家人看。,"Ông nội thổi sáo rất giỏi, dịp Tết thường biểu diễn cho gia đình xem.",คุณปู่เป่าขลุ่ยเก่งมาก ตอนปีใหม่มักแสดงให้ครอบครัวดู,Grandpa is very good at playing the flute and often performs for the family during New Year.
怎麼還,zěn me hái,sao vẫn còn,ทำไมยัง,why still,已經晚上九點了，辦公室裡怎麼還有人在工作？,"Đã chín giờ tối rồi, sao trong văn phòng vẫn còn người làm việc?",ตอนนี้สามทุ่มแล้ว ทำไมในออฟฟิศยังมีคนทำงานอยู่,It is already nine at night; why are there still people working in the office?
辦公書,bàn gōng shū,văn phòng（應為辦公室）,ออฟฟิศ（ควรเป็น辦公室）,office (typo for 辦公室),晚上九點的時候，辦公書裡還有兩位同事在準備明天的會議。,"Lúc chín giờ tối, trong văn phòng vẫn còn hai đồng nghiệp đang chuẩn bị cuộc họp ngày mai.",ตอนสามทุ่ม ในออฟฟิศยังมีเพื่อนร่วมงานสองคนเตรียมการประชุมพรุ่งนี้อยู่,"At nine o’clock at night, there were still two colleagues in the office preparing for tomorrow’s meeting."
經理,jīng lǐ,quản lý / giám đốc,ผู้จัดการ,manager,蘇經理今天很忙，因為他下午要跟客戶開會。,Quản lý Tô hôm nay rất bận vì chiều nay anh ấy phải họp với khách hàng.,ผู้จัดการซูวันนี้ยุ่งมาก เพราะตอนบ่ายเขาต้องประชุมกับลูกค้า,Manager Su is very busy today because he has a meeting with a client this afternoon.
開會,kāi huì,họp,ประชุม,to have a meeting,他們兩個晚上還在辦公室開會，討論明天的報告。,Hai người họ buổi tối vẫn họp trong văn phòng để thảo luận báo cáo ngày mai.,ตอนกลางคืนพวกเขาสองคนยังประชุมในออฟฟิศเพื่อคุยรายงานของพรุ่งนี้,The two of them were still having a meeting in the office at night to discuss tomorrow’s report.
生氣,shēng qì,tức giận,โกรธ,angry,兩個人因為小孩的事情討論很久，最後都變得很生氣。,"Hai người thảo luận rất lâu vì chuyện của con cái, cuối cùng đều trở nên rất tức giận.",ทั้งสองคนคุยเรื่องของเด็กอยู่นาน สุดท้ายต่างก็โกรธมาก,The two people discussed the child’s matters for a long time and both became very angry in the end.
討論,tǎo lùn,thảo luận,คุยกัน / อภิปราย,to discuss,老師請學生分組討論，然後把答案寫在黑板上。,"Giáo viên yêu cầu học sinh thảo luận theo nhóm, sau đó viết câu trả lời lên bảng.",ครูให้นักเรียนแบ่งกลุ่มอภิปราย แล้วเขียนคำตอบบนกระดาน,The teacher asked the students to discuss in groups and then write their answers on the board.
小孩的事情,xiǎo hái de shì qíng,chuyện của con cái,เรื่องของเด็ก / เรื่องลูก,matters about the child,他們一討論小孩的事情，就會想起以前不開心的經驗。,"Hễ họ thảo luận chuyện của con cái, họ lại nhớ đến những kinh nghiệm không vui trước đây.",พอพวกเขาคุยเรื่องของเด็ก ก็จะนึกถึงประสบการณ์ที่ไม่สบายใจในอดีต,"As soon as they discuss the child’s matters, they remember unhappy experiences from the past."
開心,kāi xīn,vui vẻ,มีความสุข,happy,媽媽看到小孩平安回家，心裡覺得很開心。,Mẹ thấy đứa trẻ bình an về nhà thì cảm thấy rất vui trong lòng.,แม่เห็นเด็กกลับบ้านอย่างปลอดภัย ก็รู้สึกดีใจมาก,Mom felt very happy when she saw the child come home safely.
學校,xué xiào,trường học,โรงเรียน,school,小明今天沒有去學校，因為他在家裡準備明天的報告。,Hôm nay Tiểu Minh không đến trường vì cậu ấy ở nhà chuẩn bị báo cáo ngày mai.,วันนี้เสี่ยวหมิงไม่ได้ไปโรงเรียน เพราะเขาเตรียมรายงานของพรุ่งนี้อยู่ที่บ้าน,Xiaoming did not go to school today because he was preparing tomorrow’s report at home.
在家,zài jiā,ở nhà,อยู่บ้าน,at home,小美今天在家寫報告，晚上才會跟朋友出去吃飯。,"Hôm nay Tiểu Mỹ ở nhà viết báo cáo, buổi tối mới đi ăn với bạn.",วันนี้เสี่ยวเหม่ยเขียนรายงานอยู่ที่บ้าน ตอนเย็นค่อยออกไปกินข้าวกับเพื่อน,Xiaomei is writing a report at home today and will go out to eat with friends in the evening.
報告,bào gào,báo cáo,รายงาน,report,明天上課以前，學生要把中文報告準備好。,"Trước khi lên lớp ngày mai, học sinh phải chuẩn bị xong bài báo cáo tiếng Trung.",ก่อนเข้าเรียนพรุ่งนี้ นักเรียนต้องเตรียมรายงานภาษาจีนให้เสร็จ,"Before class tomorrow, the students need to prepare their Chinese reports."
山上,shān shàng,trên núi,บนภูเขา,on the mountain,他們在山上租了一間房子，早上可以看到很漂亮的風景。,"Họ thuê một căn nhà trên núi, buổi sáng có thể nhìn thấy phong cảnh rất đẹp.",พวกเขาเช่าบ้านหลังหนึ่งบนภูเขา ตอนเช้าสามารถเห็นวิวที่สวยมาก,They rented a house in the mountains and can see beautiful scenery in the morning.
租,zū,thuê,เช่า,to rent,我們想在學校附近租房子，這樣上課比較方便。,"Chúng tôi muốn thuê nhà gần trường, như vậy đi học sẽ tiện hơn.",พวกเราอยากเช่าบ้านใกล้โรงเรียน แบบนี้ไปเรียนจะสะดวกกว่า,We want to rent a house near the school so that going to class will be more convenient.
房子,fáng zi,nhà,บ้าน,house,這間房子雖然不大，但是樓下有一個很大的窗戶。,"Căn nhà này tuy không lớn, nhưng tầng dưới có một cửa sổ rất lớn.",บ้านหลังนี้ถึงแม้ไม่ใหญ่ แต่ชั้นล่างมีหน้าต่างบานใหญ่มากหนึ่งบาน,"Although this house is not big, there is a large window downstairs."
樓下,lóu xià,tầng dưới / dưới lầu,ชั้นล่าง,downstairs,樓下的房間有一個大窗戶，下午的時候陽光會照進來。,"Căn phòng ở tầng dưới có một cửa sổ lớn, buổi chiều ánh nắng sẽ chiếu vào.",ห้องชั้นล่างมีหน้าต่างบานใหญ่ ตอนบ่ายแสงแดดจะส่องเข้ามา,"The downstairs room has a large window, and sunlight comes in during the afternoon."
樓上,lóu shàng,tầng trên / trên lầu,ชั้นบน,upstairs,樓上的小孩常常跑來跑去，所以樓下的住戶覺得很吵。,"Đứa trẻ ở tầng trên thường chạy qua chạy lại, nên người ở tầng dưới thấy rất ồn.",เด็กชั้นบนมักวิ่งไปวิ่งมา ดังนั้นผู้อยู่อาศัยชั้นล่างจึงรู้สึกว่าเสียงดังมาก,"The child upstairs often runs around, so the residents downstairs feel it is very noisy."
窗戶,chuāng hù,cửa sổ,หน้าต่าง,window,請你把窗戶打開一點，房間裡的空氣比較不好。,"Xin bạn mở cửa sổ ra một chút, không khí trong phòng không tốt lắm.",กรุณาเปิดหน้าต่างสักหน่อย อากาศในห้องไม่ค่อยดี,Please open the window a little because the air in the room is not very good.
河邊,hé biān,bên sông,ริมแม่น้ำ,riverside,晚飯以後，爸爸喜歡帶我們到河邊散步。,"Sau bữa tối, bố thích dẫn chúng tôi ra bờ sông đi dạo.",หลังอาหารเย็น พ่อชอบพาพวกเราไปเดินเล่นที่ริมแม่น้ำ,"After dinner, Dad likes to take us for a walk by the river."
