生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
聊天,liáo tiān,trò chuyện,คุยเล่น / สนทนา,to chat,午休時間，同學們在教室外面聊天，聲音有一點大。,"Giờ nghỉ trưa, các bạn học trò chuyện bên ngoài lớp học, tiếng hơi lớn.",ช่วงพักเที่ยง เพื่อนร่วมชั้นคุยกันนอกห้องเรียน เสียงดังเล็กน้อย,"During the lunch break, classmates chat outside the classroom, and their voices are a little loud."
電腦,diàn nǎo,máy tính,คอมพิวเตอร์,computer,小李用電腦做作業，做完以後才出去打球。,"Tiểu Lý dùng máy tính làm bài tập, làm xong rồi mới ra ngoài chơi bóng.",เสี่ยวหลี่ใช้คอมพิวเตอร์ทำการบ้าน ทำเสร็จแล้วจึงออกไปเล่นบอล,Xiaoli uses a computer to do his homework and goes out to play ball only after finishing.
咖啡店,kā fēi diàn,quán cà phê,ร้านกาแฟ,coffee shop / café,這家咖啡店早上剛開門，所以現在一個客人也沒有。,"Quán cà phê này vừa mở cửa buổi sáng, nên bây giờ không có một khách nào.",ร้านกาแฟนี้เพิ่งเปิดตอนเช้า ดังนั้นตอนนี้ไม่มีลูกค้าเลยสักคน,"This coffee shop just opened in the morning, so there is not a single customer now."
客人,kè rén,khách,ลูกค้า / แขก,customer / guest,下雨以後，店裡的客人變少了，老闆開始整理桌子。,"Sau khi trời mưa, khách trong tiệm ít đi, ông chủ bắt đầu dọn bàn.",หลังฝนตก ลูกค้าในร้านน้อยลง เจ้าของร้านเริ่มจัดโต๊ะ,"After it rained, there were fewer customers in the shop, and the owner began cleaning the tables."
一個……也,yí ge... yě,một... cũng,แม้แต่...สักคน/สักอันก็,not even one,今天太早了，教室裡一個學生也沒有。,"Hôm nay còn quá sớm, trong lớp không có một học sinh nào.",วันนี้ยังเช้าเกินไป ในห้องเรียนไม่มีนักเรียนเลยสักคน,"It is too early today, and there is not even one student in the classroom."
沒有,méi yǒu,không có,ไม่มี,not have / there is no,小王出門太急，沒有帶鑰匙，只好打電話給媽媽。,"Tiểu Vương ra ngoài quá vội, không mang chìa khóa nên đành gọi điện cho mẹ.",เสี่ยวหวังออกจากบ้านรีบเกินไป ไม่ได้เอากุญแจไป จึงต้องโทรหาแม่,"Xiaowang left home in a hurry, did not bring his key, and had to call his mother."
騎,qí,cưỡi / đi xe,ขี่,to ride,哥哥每天騎機車去公司，週末才騎腳踏車運動。,"Anh trai mỗi ngày đi xe máy đến công ty, cuối tuần mới đạp xe để vận động.",พี่ชายขี่มอเตอร์ไซค์ไปบริษัททุกวัน และสุดสัปดาห์จึงขี่จักรยานออกกำลังกาย,My older brother rides a scooter to work every day and rides a bicycle for exercise on weekends.
機車,jī chē,xe máy,มอเตอร์ไซค์,scooter / motorcycle,小明的機車停在市場前面，他買完菜就騎回家。,Xe máy của Tiểu Minh đậu trước chợ; sau khi mua rau xong cậu ấy lái về nhà.,มอเตอร์ไซค์ของเสี่ยวหมิงจอดอยู่หน้าตลาด พอซื้อผักเสร็จเขาก็ขี่กลับบ้าน,"Xiaoming’s scooter is parked in front of the market, and he rides home after buying vegetables."
市場,shì chǎng,chợ,ตลาด,market,媽媽星期天早上去市場買菜，因為那裡的水果很新鮮。,Sáng Chủ nhật mẹ đi chợ mua rau vì trái cây ở đó rất tươi.,เช้าวันอาทิตย์แม่ไปตลาดซื้อผัก เพราะผลไม้ที่นั่นสดมาก,Mom goes to the market on Sunday morning to buy vegetables because the fruit there is fresh.
幫,bāng,giúp,ช่วย,to help,妹妹太小不會洗碗，所以哥哥幫她把碗放好。,"Em gái còn nhỏ không biết rửa bát, nên anh trai giúp em đặt bát vào chỗ.",น้องสาวยังเล็กและล้างชามไม่เป็น พี่ชายจึงช่วยเธอเก็บชามให้เรียบร้อย,"His younger sister is too young to wash dishes, so her older brother helps her put the bowls away."
媽媽,mā ma,mẹ,แม่,mother / mom,媽媽今天不舒服，所以小華幫她去買晚餐。,"Hôm nay mẹ không khỏe, nên Tiểu Hoa giúp mẹ đi mua bữa tối.",วันนี้แม่ไม่สบาย ดังนั้นเสี่ยวหัวจึงช่วยแม่ไปซื้ออาหารเย็น,"Mom is not feeling well today, so Xiaohua helps her buy dinner."
買菜,mǎi cài,mua rau / mua thức ăn,ซื้อผัก / ซื้อกับข้าว,to buy groceries / vegetables,下課以後，小美先去市場買菜，再回家做晚餐。,"Sau giờ học, Tiểu Mỹ đi chợ mua rau trước, rồi về nhà nấu bữa tối.",หลังเลิกเรียน เสี่ยวเหม่ยไปตลาดซื้อผักก่อน แล้วจึงกลับบ้านทำอาหารเย็น,"After class, Xiaomei first goes to the market to buy groceries, then goes home to make dinner."
腳踏車,jiǎo tà chē,xe đạp,จักรยาน,bicycle,小王的腳踏車壞了，所以今天不能騎去學校。,"Xe đạp của Tiểu Vương bị hỏng, nên hôm nay cậu ấy không thể đạp xe đến trường.",จักรยานของเสี่ยวหวังเสีย ดังนั้นวันนี้เขาขี่ไปโรงเรียนไม่ได้,"Xiaowang’s bicycle is broken, so he cannot ride it to school today."
自行車,zì xíng chē,xe đạp,จักรยาน,bicycle,很多學生喜歡騎自行車上學，因為又方便又健康。,Nhiều học sinh thích đi xe đạp đến trường vì vừa tiện vừa tốt cho sức khỏe.,นักเรียนหลายคนชอบขี่จักรยานไปโรงเรียน เพราะทั้งสะดวกและดีต่อสุขภาพ,Many students like riding bicycles to school because it is convenient and healthy.
摩托車,mó tuō chē,xe máy / mô tô,รถมอเตอร์ไซค์,motorcycle,叔叔買了一台新的摩托車，週末常常騎去山上玩。,"Chú mua một chiếc xe máy mới, cuối tuần thường chạy lên núi chơi.",คุณอาซื้อมอเตอร์ไซค์คันใหม่ และสุดสัปดาห์มักขี่ขึ้นเขาไปเที่ยว,My uncle bought a new motorcycle and often rides it to the mountains on weekends.
平常,píng cháng,bình thường / thường ngày,ปกติ,usually / ordinary,小明平常晚餐後去公園散步，今天因為下雨就沒有去。,"Bình thường sau bữa tối Tiểu Minh đi dạo công viên, hôm nay vì trời mưa nên không đi.",ปกติหลังอาหารเย็นเสี่ยวหมิงไปเดินเล่นที่สวนสาธารณะ แต่วันนี้เพราะฝนตกจึงไม่ได้ไป,"Xiaoming usually goes for a walk in the park after dinner, but he did not go today because it rained."
晚餐,wǎn cān,bữa tối,อาหารเย็น,dinner,我們吃完晚餐以後，爸爸帶大家到附近的公園散步。,"Sau khi ăn xong bữa tối, bố đưa mọi người đến công viên gần nhà đi dạo.",หลังจากกินอาหารเย็นเสร็จ พ่อพาทุกคนไปเดินเล่นที่สวนสาธารณะใกล้บ้าน,"After dinner, Dad takes everyone to a nearby park for a walk."
後,hòu,sau / phía sau,หลัง / หลังจาก,after / behind,下課後，老師請學生把作業放在桌上。,"Sau giờ học, giáo viên bảo học sinh đặt bài tập lên bàn.",หลังเลิกเรียน ครูให้นักเรียนวางการบ้านไว้บนโต๊ะ,"After class, the teacher asks the students to put their homework on the desk."
公園,gōng yuán,công viên,สวนสาธารณะ,park,這個公園有很多樹，晚上也有很多人來散步。,"Công viên này có nhiều cây, buổi tối cũng có nhiều người đến đi dạo.",สวนสาธารณะนี้มีต้นไม้มากมาย ตอนกลางคืนก็มีคนมาเดินเล่นหลายคน,"This park has many trees, and many people come here for walks at night."
散步,sàn bù,đi dạo,เดินเล่น,to take a walk,奶奶每天白天都會去河邊散步，看看風景。,Bà nội mỗi ngày ban ngày đều đi dạo bên bờ sông để ngắm cảnh.,คุณย่าไปเดินเล่นริมแม่น้ำตอนกลางวันทุกวัน เพื่อชมทิวทัศน์,Grandma takes a walk by the river during the day every day to enjoy the scenery.
白天,bái tiān,ban ngày,ตอนกลางวัน,daytime,白天公園裡有很多小孩跑步，晚上就比較安靜。,"Ban ngày trong công viên có nhiều trẻ em chạy bộ, buổi tối thì yên tĩnh hơn.",ตอนกลางวันในสวนมีเด็กหลายคนวิ่งเล่น ตอนกลางคืนจะเงียบกว่า,"During the day, many children run in the park, and it is quieter at night."
跑步,pǎo bù,chạy bộ,วิ่ง,to run / jogging,小李每天早上跑步三十分鐘，然後才去上班。,Mỗi sáng Tiểu Lý chạy bộ ba mươi phút rồi mới đi làm.,เสี่ยวหลี่วิ่งทุกเช้าเป็นเวลาสามสิบนาที แล้วจึงไปทำงาน,Xiaoli runs for thirty minutes every morning and then goes to work.
醫生,yī shēng,bác sĩ,หมอ / แพทย์,doctor,醫生走進病房，問病人今天身體有沒有比較好。,Bác sĩ bước vào phòng bệnh và hỏi bệnh nhân hôm nay cơ thể có khá hơn không.,หมอเดินเข้าไปในห้องผู้ป่วยและถามคนไข้ว่าวันนี้ร่างกายดีขึ้นไหม,The doctor walks into the ward and asks the patient whether he feels better today.
正在,zhèng zài,đang,กำลัง,be doing / in progress,護士正在和病人說話，請大家先不要進去。,"Y tá đang nói chuyện với bệnh nhân, xin mọi người đừng vào vội.",พยาบาลกำลังคุยกับคนไข้ ขอให้ทุกคนอย่าเพิ่งเข้าไป,"The nurse is talking with the patient, so please do not go in yet."
病房,bìng fáng,phòng bệnh,ห้องผู้ป่วย,hospital ward / patient room,病房裡很安靜，病人正在休息。,"Trong phòng bệnh rất yên tĩnh, bệnh nhân đang nghỉ ngơi.",ในห้องผู้ป่วยเงียบมาก คนไข้กำลังพักผ่อน,"The ward is very quiet, and the patient is resting."
病人,bìng rén,bệnh nhân,คนไข้ / ผู้ป่วย,patient,這位病人昨天開刀，今天醫生來看他恢復得怎麼樣。,"Bệnh nhân này hôm qua phẫu thuật, hôm nay bác sĩ đến xem anh ấy hồi phục thế nào.",คนไข้คนนี้ผ่าตัดเมื่อวาน วันนี้หมอมาดูว่าเขาฟื้นตัวอย่างไร,"This patient had surgery yesterday, and today the doctor comes to see how he is recovering."
說話,shuō huà,nói chuyện,พูดคุย,to speak / talk,老師在前面說話的時候，學生們都安靜地聽。,"Khi giáo viên nói ở phía trước, học sinh đều yên lặng lắng nghe.",ตอนที่ครูพูดอยู่ด้านหน้า นักเรียนทุกคนฟังอย่างเงียบ ๆ,"When the teacher is speaking at the front, the students listen quietly."
護士,hù shì,y tá,พยาบาล,nurse,護士幫病人量體溫，然後把結果告訴醫生。,Y tá giúp bệnh nhân đo nhiệt độ rồi nói kết quả cho bác sĩ.,พยาบาลช่วยวัดอุณหภูมิคนไข้ แล้วบอกผลให้หมอทราบ,The nurse takes the patient’s temperature and then tells the result to the doctor.
護理,hù lǐ,chăm sóc điều dưỡng,การพยาบาล / การดูแลผู้ป่วย,nursing / care,小美在醫院學護理，希望以後可以照顧更多病人。,Tiểu Mỹ học điều dưỡng ở bệnh viện và hy vọng sau này có thể chăm sóc nhiều bệnh nhân hơn.,เสี่ยวเหม่ยเรียนการพยาบาลที่โรงพยาบาล และหวังว่าอนาคตจะดูแลคนไข้ได้มากขึ้น,Xiaomei studies nursing at the hospital and hopes to care for more patients in the future.
下雨,xià yǔ,mưa,ฝนตก,to rain,今天下午下雨了，很多人都把雨傘拿出來。,"Chiều nay trời mưa, nhiều người đều lấy ô ra.",บ่ายวันนี้ฝนตก หลายคนจึงหยิบร่มออกมา,"It rained this afternoon, and many people took out their umbrellas."
下大雨,xià dà yǔ,mưa to,ฝนตกหนัก,to rain heavily,下大雨的時候，路上的人都跑進商店買雨衣。,"Khi trời mưa to, người trên đường đều chạy vào cửa hàng mua áo mưa.",ตอนฝนตกหนัก คนบนถนนต่างวิ่งเข้าไปในร้านเพื่อซื้อเสื้อกันฝน,"When it rains heavily, people on the street run into shops to buy raincoats."
所以,suǒ yǐ,vì vậy / cho nên,ดังนั้น,so / therefore,外面風很大，所以媽媽叫小明穿外套再出門。,"Bên ngoài gió rất mạnh, nên mẹ bảo Tiểu Minh mặc áo khoác rồi hãy ra ngoài.",ข้างนอกลมแรงมาก ดังนั้นแม่จึงบอกให้เสี่ยวหมิงใส่เสื้อคลุมก่อนออกจากบ้าน,"It is very windy outside, so Mom tells Xiaoming to wear a jacket before going out."
很多人,hěn duō rén,rất nhiều người,หลายคน / คนจำนวนมาก,many people,週末市場裡有很多人，買菜要排很久的隊。,"Cuối tuần trong chợ có rất nhiều người, mua rau phải xếp hàng rất lâu.",สุดสัปดาห์ในตลาดมีคนจำนวนมาก การซื้อผักต้องต่อคิวนาน,"There are many people at the market on weekends, and buying vegetables requires waiting in line for a long time."
買,mǎi,mua,ซื้อ,to buy,小月想買一件大衣，但是她覺得價格太貴了。,"Tiểu Nguyệt muốn mua một chiếc áo khoác dài, nhưng cô ấy thấy giá quá đắt.",เสี่ยวเยว่อยากซื้อเสื้อโค้ตตัวหนึ่ง แต่เธอคิดว่าราคาแพงเกินไป,"Xiaoyue wants to buy a coat, but she thinks the price is too expensive."
雨衣,yǔ yī,áo mưa,เสื้อกันฝน,raincoat,小王沒有帶雨傘，只好在車站買一件雨衣。,Tiểu Vương không mang ô nên đành mua một chiếc áo mưa ở ga.,เสี่ยวหวังไม่ได้เอาร่มมา จึงต้องซื้อเสื้อกันฝนที่สถานี,"Xiaowang did not bring an umbrella, so he had to buy a raincoat at the station."
雨傘,yǔ sǎn,ô / dù,ร่ม,umbrella,妹妹把雨傘放在教室，回家時才發現外面下雨了。,"Em gái để ô trong lớp học, lúc về nhà mới phát hiện bên ngoài trời mưa.",น้องสาววางร่มไว้ในห้องเรียน ตอนกลับบ้านจึงพบว่าข้างนอกฝนตก,My younger sister left her umbrella in the classroom and only noticed it was raining when she went home.
天氣,tiān qì,thời tiết,อากาศ,weather,今天天氣很冷，小月穿了長褲和外套才出門。,"Hôm nay thời tiết rất lạnh, Tiểu Nguyệt mặc quần dài và áo khoác rồi mới ra ngoài.",วันนี้อากาศหนาวมาก เสี่ยวเยว่ใส่กางเกงขายาวและเสื้อคลุมก่อนออกจากบ้าน,"The weather is very cold today, so Xiaoyue wears long pants and a jacket before going out."
冷,lěng,lạnh,หนาว / เย็น,cold,冬天早上很冷，學生們都穿著厚厚的毛衣上學。,"Buổi sáng mùa đông rất lạnh, học sinh đều mặc áo len dày đi học.",ตอนเช้าฤดูหนาวหนาวมาก นักเรียนทุกคนใส่เสื้อไหมพรมหนาไปโรงเรียน,"Winter mornings are very cold, and the students all wear thick sweaters to school."
不只……還……,bù zhǐ... hái...,không chỉ... còn...,ไม่เพียงแต่...ยัง...,not only... but also...,小月不只穿長褲，還穿了外套，因為今天真的很冷。,"Tiểu Nguyệt không chỉ mặc quần dài mà còn mặc áo khoác, vì hôm nay thật sự rất lạnh.",เสี่ยวเยว่ไม่เพียงแต่ใส่กางเกงขายาว ยังใส่เสื้อคลุมด้วย เพราะวันนี้หนาวจริง ๆ,Xiaoyue not only wears long pants but also wears a jacket because it is really cold today.
穿,chuān,mặc,ใส่ / สวม,to wear,小美明天要去面試，所以想穿一件乾淨的襯衫。,"Ngày mai Tiểu Mỹ đi phỏng vấn, nên cô ấy muốn mặc một chiếc áo sơ mi sạch.",พรุ่งนี้เสี่ยวเหม่ยจะไปสัมภาษณ์งาน ดังนั้นเธออยากใส่เสื้อเชิ้ตสะอาดตัวหนึ่ง,"Xiaomei has an interview tomorrow, so she wants to wear a clean shirt."
長褲,cháng kù,quần dài,กางเกงขายาว,long pants,天氣變冷以後，小明每天都穿長褲去上課。,"Sau khi trời lạnh hơn, mỗi ngày Tiểu Minh đều mặc quần dài đi học.",หลังอากาศเริ่มหนาว เสี่ยวหมิงใส่กางเกงขายาวไปเรียนทุกวัน,"After the weather gets colder, Xiaoming wears long pants to class every day."
短褲,duǎn kù,quần ngắn,กางเกงขาสั้น,shorts,夏天去海邊的時候，哥哥喜歡穿短褲打球。,"Khi đi biển vào mùa hè, anh trai thích mặc quần ngắn chơi bóng.",ตอนที่ไปทะเลในฤดูร้อน พี่ชายชอบใส่กางเกงขาสั้นเล่นบอล,"When going to the beach in summer, my older brother likes wearing shorts to play ball."
外套,wài tào,áo khoác,เสื้อคลุม / แจ็กเก็ต,jacket / coat,媽媽把外套放在椅子上，提醒小月出門時要穿。,Mẹ đặt áo khoác lên ghế và nhắc Tiểu Nguyệt mặc khi ra ngoài.,แม่วางเสื้อคลุมไว้บนเก้าอี้ และเตือนเสี่ยวเยว่ว่าออกจากบ้านต้องใส่,Mom puts the jacket on the chair and reminds Xiaoyue to wear it when going out.
裙子,qún zi,váy,กระโปรง,skirt,姐姐買了一條白色裙子，準備生日那天穿。,"Chị gái mua một chiếc váy màu trắng, chuẩn bị mặc vào ngày sinh nhật.",พี่สาวซื้อกระโปรงสีขาวหนึ่งตัว เตรียมใส่ในวันเกิด,My older sister bought a white skirt and plans to wear it on her birthday.
大衣,dà yī,áo khoác dài / áo choàng,เสื้อโค้ต,overcoat / coat,冬天快到了，爸爸想買一件黑色大衣。,"Mùa đông sắp đến, bố muốn mua một chiếc áo khoác dài màu đen.",ฤดูหนาวใกล้จะมาถึง พ่ออยากซื้อเสื้อโค้ตสีดำหนึ่งตัว,"Winter is coming, and Dad wants to buy a black coat."
毛衣,máo yī,áo len,เสื้อไหมพรม,sweater,妹妹覺得教室很冷，就把毛衣從書包裡拿出來。,Em gái thấy lớp học rất lạnh nên lấy áo len ra khỏi cặp.,น้องสาวรู้สึกว่าห้องเรียนหนาว จึงหยิบเสื้อไหมพรมออกจากกระเป๋า,"My younger sister feels the classroom is cold, so she takes a sweater out of her bag."
A 比 B 高/矮,A bǐ B gāo/ǎi,A cao/thấp hơn B,A สูง/เตี้ยกว่า B,A is taller/shorter than B,小明比妹妹高，但是他沒有爸爸高。,"Tiểu Minh cao hơn em gái, nhưng cậu ấy không cao bằng bố.",เสี่ยวหมิงสูงกว่าน้องสาว แต่เขาไม่สูงเท่าพ่อ,"Xiaoming is taller than his younger sister, but he is not as tall as his father."
B 沒有 A 高/矮,B méi yǒu A gāo/ǎi,B không cao/thấp bằng A,B ไม่สูง/เตี้ยเท่า A,B is not as tall/short as A,妹妹沒有小明高，所以她站在前面拍照。,"Em gái không cao bằng Tiểu Minh, nên cô ấy đứng phía trước để chụp ảnh.",น้องสาวไม่สูงเท่าเสี่ยวหมิง ดังนั้นเธอยืนด้านหน้าเพื่อถ่ายรูป,"His younger sister is not as tall as Xiaoming, so she stands in front for the photo."
第二,dì èr,thứ hai,ที่สอง,second,到第二個路口以前，你會先看到一家銀行。,"Trước khi đến ngã tư thứ hai, bạn sẽ nhìn thấy một ngân hàng trước.",ก่อนถึงสี่แยกที่สอง คุณจะเห็นธนาคารแห่งหนึ่งก่อน,"Before you reach the second intersection, you will first see a bank."
路口,lù kǒu,ngã tư / giao lộ,แยกถนน,intersection,請在下一個路口右轉，醫院就在前面。,"Xin rẽ phải ở giao lộ tiếp theo, bệnh viện ở ngay phía trước.",กรุณาเลี้ยวขวาที่แยกถัดไป โรงพยาบาลอยู่ข้างหน้า,Please turn right at the next intersection; the hospital is just ahead.
以前,yǐ qián,trước / trước đây,ก่อน / เมื่อก่อน,before / in the past,上課以前，老師請學生先把手機關掉。,"Trước khi vào lớp, giáo viên yêu cầu học sinh tắt điện thoại trước.",ก่อนเข้าเรียน ครูให้นักเรียนปิดมือถือก่อน,"Before class, the teacher asks the students to turn off their phones first."
先,xiān,trước tiên,ก่อน,first,我們先經過銀行，再到紅綠燈那裡左轉。,"Chúng tôi đi qua ngân hàng trước, rồi đến đèn giao thông rẽ trái.",พวกเราเดินผ่านธนาคารก่อน แล้วถึงไฟแดงค่อยเลี้ยวซ้าย,We first pass the bank and then turn left at the traffic light.
經過,jīng guò,đi ngang qua / trải qua,ผ่าน,to pass by / go through,小王每天上學都會經過一家咖啡店。,Mỗi ngày đi học Tiểu Vương đều đi ngang qua một quán cà phê.,เสี่ยวหวังไปโรงเรียนทุกวันจะผ่านร้านกาแฟร้านหนึ่ง,Xiaowang passes a coffee shop every day on his way to school.
銀行,yín háng,ngân hàng,ธนาคาร,bank,媽媽要去銀行領錢，然後再去市場買菜。,Mẹ muốn đến ngân hàng rút tiền rồi mới đi chợ mua rau.,แม่จะไปธนาคารถอนเงิน แล้วจึงไปตลาดซื้อผัก,Mom wants to go to the bank to withdraw money and then go to the market to buy vegetables.
紅綠燈,hóng lǜ dēng,đèn giao thông,ไฟจราจร,traffic light,走到紅綠燈的時候，請等綠燈再過馬路。,"Khi đi đến đèn giao thông, hãy chờ đèn xanh rồi mới qua đường.",เมื่อเดินถึงไฟจราจร กรุณารอไฟเขียวแล้วค่อยข้ามถนน,"When you reach the traffic light, please wait for the green light before crossing the road."
醫院,yī yuàn,bệnh viện,โรงพยาบาล,hospital,奶奶身體不舒服，爸爸帶她到醫院看病。,"Bà nội không khỏe, bố đưa bà đến bệnh viện khám bệnh.",คุณย่าไม่สบาย พ่อพาเธอไปโรงพยาบาลพบหมอ,"Grandma is not feeling well, so Dad takes her to the hospital to see a doctor."
雙,shuāng,đôi / cặp,คู่,pair / measure word for pairs,小美想買一雙鞋子，但是生日禮物是一雙襪子。,"Tiểu Mỹ muốn mua một đôi giày, nhưng quà sinh nhật lại là một đôi tất.",เสี่ยวเหม่ยอยากซื้อรองเท้าหนึ่งคู่ แต่ของขวัญวันเกิดเป็นถุงเท้าหนึ่งคู่,"Xiaomei wants to buy a pair of shoes, but her birthday gift is a pair of socks."
鞋子,xié zi,giày,รองเท้า,shoes,這雙鞋子有一點小，小華穿起來不太舒服。,"Đôi giày này hơi nhỏ, Tiểu Hoa mang vào không thoải mái lắm.",รองเท้าคู่นี้เล็กไปหน่อย เสี่ยวหัวใส่แล้วไม่ค่อยสบาย,"This pair of shoes is a little small, and Xiaohua does not feel comfortable wearing them."
但是,dàn shì,nhưng,แต่,but / however,小王想去游泳，但是今天下大雨，所以他留在家裡。,"Tiểu Vương muốn đi bơi, nhưng hôm nay mưa to nên cậu ấy ở nhà.",เสี่ยวหวังอยากไปว่ายน้ำ แต่วันนี้ฝนตกหนัก ดังนั้นเขาอยู่บ้าน,"Xiaowang wants to go swimming, but it is raining heavily today, so he stays home."
收到,shōu dào,nhận được,ได้รับ,to receive,小美收到朋友寄來的明信片，看到以後非常高興。,Tiểu Mỹ nhận được bưu thiếp bạn gửi đến và rất vui sau khi nhìn thấy.,เสี่ยวเหม่ยได้รับโปสต์การ์ดที่เพื่อนส่งมา และดีใจมากหลังจากเห็น,Xiaomei received a postcard from her friend and was very happy after seeing it.
襪子,wà zi,tất / vớ,ถุงเท้า,socks,天氣很冷，媽媽叫妹妹穿厚一點的襪子。,"Trời rất lạnh, mẹ bảo em gái mang tất dày hơn một chút.",อากาศหนาวมาก แม่บอกให้น้องสาวใส่ถุงเท้าที่หนาขึ้นหน่อย,"The weather is cold, and Mom tells her younger daughter to wear thicker socks."
帽子,mào zi,mũ / nón,หมวก,hat / cap,去海邊以前，爸爸買了一頂帽子給小明。,"Trước khi đi biển, bố mua cho Tiểu Minh một cái mũ.",ก่อนไปทะเล พ่อซื้อหมวกใบหนึ่งให้เสี่ยวหมิง,"Before going to the beach, Dad bought a hat for Xiaoming."
箱子,xiāng zi,cái thùng / vali,กล่อง / ลัง / กระเป๋าเดินทาง,box / suitcase,搬家的時候，小王把書和衣服都放進箱子裡。,"Khi chuyển nhà, Tiểu Vương bỏ sách và quần áo vào thùng.",ตอนย้ายบ้าน เสี่ยวหวังใส่หนังสือและเสื้อผ้าทั้งหมดลงในกล่อง,"When moving, Xiaowang puts his books and clothes into boxes."
