生詞,pinyin,生詞越南文,生詞泰文,生詞英文,例句,例句越南語翻譯,例句泰文翻譯,例句英文翻譯
付學費,fù xué fèi,trả học phí,จ่ายค่าเทอม,to pay tuition,開學以前，學生要先付學費。,"Trước khi khai giảng, học sinh phải trả học phí trước.",ก่อนเปิดเทอม นักเรียนต้องจ่ายค่าเทอมก่อน,"Before school starts, students need to pay tuition first."
方法,fāng fǎ,phương pháp,วิธี,method,媽媽想找一個省錢的方法，幫小美準備大學學費。,Mẹ muốn tìm một phương pháp tiết kiệm tiền để chuẩn bị học phí đại học cho Tiểu Mỹ.,แม่อยากหาวิธีประหยัดเงินเพื่อเตรียมค่าเทอมมหาวิทยาลัยให้เสี่ยวเหม่ย,Mother wants to find a way to save money for Xiaomei’s university tuition.
讀大學,dú dà xué,học đại học,เรียนมหาวิทยาลัย,to attend university,小美明年想讀大學，所以媽媽先了解學費。,"Năm sau Tiểu Mỹ muốn học đại học, nên mẹ tìm hiểu học phí trước.",ปีหน้าเสี่ยวเหม่ยอยากเรียนมหาวิทยาลัย แม่จึงทำความเข้าใจค่าเทอมก่อน,"Xiaomei wants to attend university next year, so her mother is checking the tuition first."
顧客,gù kè,khách hàng,ลูกค้า,customer,這位顧客每天都要和很多人說話，工作非常忙。,"Người khách hàng này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",ลูกค้าคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This customer has to talk with many people every day and is very busy at work.
永遠,yǒng yuǎn,mãi mãi / luôn luôn,ตลอดไป / เสมอ,forever / always,經理常說顧客永遠是對的，服務一定要好。,"Quản lý thường nói khách hàng luôn luôn đúng, dịch vụ nhất định phải tốt.",ผู้จัดการมักพูดว่าลูกค้าถูกเสมอ การบริการต้องดี,The manager often says that the customer is always right and service must be good.
是對的,shì duì de,là đúng,ถูกต้อง,is right,經理覺得顧客是對的，所以要求服務生要有禮貌。,"Quản lý cho rằng khách hàng là đúng, nên yêu cầu nhân viên phục vụ phải lịch sự.",ผู้จัดการคิดว่าลูกค้าถูก จึงขอให้พนักงานบริการมีมารยาท,"The manager thinks the customer is right, so he asks servers to be polite."
經理,jīng lǐ,quản lý / giám đốc,ผู้จัดการ,manager,這位經理每天都要和很多人說話，工作非常忙。,"Người quản lý / giám đốc này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",ผู้จัดการคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This manager has to talk with many people every day and is very busy at work.
講十遍,jiǎng shí biàn,nói mười lần,พูดสิบรอบ,say ten times,經理每天把這句話講十遍，服務生都記住了。,"Quản lý nói câu này mười lần mỗi ngày, nên nhân viên phục vụ đều nhớ rồi.",ผู้จัดการพูดประโยคนี้วันละสิบรอบ พนักงานบริการทุกคนจึงจำได้,"The manager says this sentence ten times every day, so all the servers remember it."
怎麼可能,zěn me kě néng,sao có thể được,เป็นไปได้อย่างไร,how is that possible,小王聽到這件事以後說：「怎麼可能？」,"Sau khi Tiểu Vương nghe chuyện này, cậu ấy nói: “Sao có thể được?”",หลังจากเสี่ยวหวังได้ยินเรื่องนี้ เขาพูดว่า “เป็นไปได้อย่างไร”,"After Xiaowang heard this, he said, “How is that possible?”"
討厭,tǎo yàn,ghét / đáng ghét,เกลียด / น่ารำคาญ,to dislike / annoying,經理說沒有討厭的客人，只有最好的服務。,"Quản lý nói không có vị khách đáng ghét, chỉ có dịch vụ tốt nhất.",ผู้จัดการบอกว่าไม่มีลูกค้าที่น่ารำคาญ มีแต่บริการที่ดีที่สุด,"The manager said there are no annoying customers, only the best service."
客人,kè rén,khách,ลูกค้า / แขก,guest / customer,這位客人每天都要和很多人說話，工作非常忙。,"Người khách này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",ลูกค้า / แขกคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This guest / customer has to talk with many people every day and is very busy at work.
只有,zhǐ yǒu,chỉ có,มีแค่,only have / only,今天晚上只有小明在辦公室，其他人都回家了。,"Tối nay chỉ có Tiểu Minh ở văn phòng, những người khác đều về nhà rồi.",คืนนี้มีแค่เสี่ยวหมิงอยู่ที่ออฟฟิศ คนอื่นกลับบ้านหมดแล้ว,Only Xiaoming is in the office tonight; everyone else has gone home.
服務,fú wù,dịch vụ / phục vụ,บริการ,service,這家餐廳的服務很好，所以客人很多。,"Dịch vụ của nhà hàng này rất tốt, nên có nhiều khách.",การบริการของร้านอาหารนี้ดีมาก จึงมีลูกค้าหลายคน,"This restaurant has good service, so it has many customers."
好棒,hǎo bàng,tuyệt quá,ยอดเยี่ยมมาก,great / excellent,女朋友聽了以後說，這位經理真的好棒。,"Sau khi bạn gái nghe xong, cô ấy nói vị quản lý này thật tuyệt.",หลังจากแฟนสาวฟังแล้ว เธอบอกว่าผู้จัดการคนนี้ยอดเยี่ยมจริง ๆ,"After hearing this, his girlfriend said the manager was really great."
去你那兒,qù nǐ nà ér,đến chỗ bạn,ไปที่ร้าน/ที่ของคุณ,go to your place,小美聽說那家餐廳服務很好，下次想去你那兒吃飯。,"Tiểu Mỹ nghe nói nhà hàng đó phục vụ rất tốt, lần sau muốn đến chỗ bạn ăn cơm.",เสี่ยวเหม่ยได้ยินว่าร้านอาหารนั้นบริการดีมาก ครั้งหน้าอยากไปกินข้าวที่ร้านของคุณ,Xiaomei heard that the restaurant had good service and wanted to eat at your place next time.
職業,zhí yè,nghề nghiệp,อาชีพ,occupation,小明想知道王先生的職業，所以問他在哪裡工作。,"Tiểu Minh muốn biết nghề nghiệp của anh Vương, nên hỏi anh ấy làm việc ở đâu.",เสี่ยวหมิงอยากรู้อาชีพของคุณหวัง จึงถามว่าเขาทำงานที่ไหน,"Xiaoming wanted to know Mr. Wang’s occupation, so he asked where he worked."
記者,jì zhě,phóng viên,นักข่าว,reporter,這位記者每天都要和很多人說話，工作非常忙。,"Người phóng viên này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",นักข่าวคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This reporter has to talk with many people every day and is very busy at work.
護士,hù shì,y tá,พยาบาล,nurse,這位護士每天都要和很多人說話，工作非常忙。,"Người y tá này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",พยาบาลคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This nurse has to talk with many people every day and is very busy at work.
教師,jiào shī,giáo viên,ครู,teacher,這位教師每天都要和很多人說話，工作非常忙。,"Người giáo viên này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",ครูคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This teacher has to talk with many people every day and is very busy at work.
服務生,fú wù shēng,nhân viên phục vụ,พนักงานบริการ,server / waiter,這位服務生每天都要和很多人說話，工作非常忙。,"Người nhân viên phục vụ này mỗi ngày đều phải nói chuyện với nhiều người, công việc rất bận.",พนักงานบริการคนนี้ต้องพูดคุยกับคนจำนวนมากทุกวัน งานยุ่งมาก,This server / waiter has to talk with many people every day and is very busy at work.
為了,wèi le,vì / để,เพื่อ,in order to / for,為了畢業以後能找到好工作，小王每天都很努力。,"Để sau khi tốt nghiệp có thể tìm được công việc tốt, Tiểu Vương ngày nào cũng rất cố gắng.",เพื่อให้หลังเรียนจบหางานดีได้ เสี่ยวหวังจึงพยายามทุกวัน,"In order to find a good job after graduation, Xiaowang works hard every day."
畢業以後,bì yè yǐ hòu,sau khi tốt nghiệp,หลังจากเรียนจบ,after graduation,小美畢業以後會去公園散步，這已經成為她的習慣。,"Tiểu Mỹ sau khi tốt nghiệp sẽ đi dạo ở công viên, điều này đã trở thành thói quen của cô ấy.",เสี่ยวเหม่ยหลังจากเรียนจบจะไปเดินเล่นที่สวนสาธารณะ สิ่งนี้กลายเป็นนิสัยของเธอแล้ว,"Xiaomei after graduation goes for a walk in the park, and it has become her habit."
能找到,néng zhǎo dào,có thể tìm được,สามารถหาได้,can find,小明希望畢業以後能找到一份好工作。,Tiểu Minh hy vọng sau khi tốt nghiệp có thể tìm được một công việc tốt.,เสี่ยวหมิงหวังว่าหลังเรียนจบจะสามารถหางานดี ๆ ได้,Xiaoming hopes he can find a good job after graduation.
好工作,hǎo gōng zuò,công việc tốt,งานดี,good job,今天的情況很好工作，所以大家都需要小心一點。,"Tình huống hôm nay rất công việc tốt, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้งานดีมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very good job, so everyone needs to be a little careful."
必須,bì xū,bắt buộc / phải,จำเป็นต้อง / ต้อง,must,小王覺得自己必須努力讀書，才能找到好工作。,Tiểu Vương thấy mình phải cố gắng học thì mới tìm được công việc tốt.,เสี่ยวหวังคิดว่าตัวเองต้องตั้งใจเรียน ถึงจะหางานดีได้,Xiaowang thinks he must study hard in order to find a good job.
非常,fēi cháng,rất,มาก,very,今天的情況很非常，所以大家都需要小心一點。,"Tình huống hôm nay rất rất, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้มากมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very very, so everyone needs to be a little careful."
努力,nǔ lì,cố gắng,พยายาม,to work hard,今天的情況很努力，所以大家都需要小心一點。,"Tình huống hôm nay rất cố gắng, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้พยายามมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very to work hard, so everyone needs to be a little careful."
每天,měi tiān,mỗi ngày,ทุกวัน,every day,小美每天會去公園散步，這已經成為她的習慣。,"Tiểu Mỹ mỗi ngày sẽ đi dạo ở công viên, điều này đã trở thành thói quen của cô ấy.",เสี่ยวเหม่ยทุกวันจะไปเดินเล่นที่สวนสาธารณะ สิ่งนี้กลายเป็นนิสัยของเธอแล้ว,"Xiaomei every day goes for a walk in the park, and it has become her habit."
讀,dú,đọc / học,อ่าน / เรียน,to read / study,小王每天從早上讀到晚上，為了準備考試非常努力。,"Tiểu Vương mỗi ngày đọc/học từ sáng đến tối, rất cố gắng để chuẩn bị cho kỳ thi.",เสี่ยวหวังอ่านหนังสือตั้งแต่เช้าถึงเย็นทุกวัน เพื่อเตรียมสอบอย่างตั้งใจมาก,Xiaowang studies from morning to night every day and works hard to prepare for the exam.
一直,yì zhí,luôn luôn / mãi,ตลอด / เสมอ,always / continuously,小美一直會去公園散步，這已經成為她的習慣。,"Tiểu Mỹ luôn luôn / mãi sẽ đi dạo ở công viên, điều này đã trở thành thói quen của cô ấy.",เสี่ยวเหม่ยตลอด / เสมอจะไปเดินเล่นที่สวนสาธารณะ สิ่งนี้กลายเป็นนิสัยของเธอแล้ว,"Xiaomei always / continuously goes for a walk in the park, and it has become her habit."
讀書,dú shū,học bài / đọc sách,อ่านหนังสือ / เรียน,to study / read,小王每天一直讀書，希望畢業以後能找到好工作。,"Tiểu Vương ngày nào cũng học mãi, hy vọng sau khi tốt nghiệp có thể tìm được công việc tốt.",เสี่ยวหวังอ่านหนังสือตลอดทุกวัน หวังว่าหลังเรียนจบจะหางานดีได้,"Xiaowang studies every day, hoping to find a good job after graduation."
就能,jiù néng,thì có thể,ก็สามารถ,then can,只要每天努力讀書，小王就能準備好考試。,"Chỉ cần ngày nào cũng cố gắng học, Tiểu Vương có thể chuẩn bị tốt cho kỳ thi.",ขอแค่ตั้งใจอ่านหนังสือทุกวัน เสี่ยวหวังก็สามารถเตรียมสอบได้ดี,"As long as Xiaowang studies hard every day, he can prepare well for the exam."
放假,fàng jià,nghỉ / kỳ nghỉ,วันหยุด / ปิดเทอม,to have time off,小美放假會去公園散步，這已經成為她的習慣。,"Tiểu Mỹ nghỉ / kỳ nghỉ sẽ đi dạo ở công viên, điều này đã trở thành thói quen của cô ấy.",เสี่ยวเหม่ยวันหยุด / ปิดเทอมจะไปเดินเล่นที่สวนสาธารณะ สิ่งนี้กลายเป็นนิสัยของเธอแล้ว,"Xiaomei to have time off goes for a walk in the park, and it has become her habit."
一...就...,yī...jiù...,vừa...thì...,พอ...ก็...,as soon as...,小美一放假就出國玩，所以她很了解旅行的事。,"Tiểu Mỹ vừa được nghỉ là ra nước ngoài chơi, nên cô ấy rất hiểu chuyện du lịch.",เสี่ยวเหม่ยพอได้หยุดก็ไปเที่ยวต่างประเทศ ดังนั้นเธอเข้าใจเรื่องการท่องเที่ยวมาก,"As soon as Xiaomei has a vacation, she travels abroad, so she knows a lot about travel."
出國玩,chū guó wán,ra nước ngoài chơi,ไปเที่ยวต่างประเทศ,to travel abroad for fun,今天下午，小美要出國玩，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải ra nước ngoài chơi, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องไปเที่ยวต่างประเทศ ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to travel abroad for fun, so she arranged her time first."
多重要,duō zhòng yào,quan trọng cỡ nào,สำคัญแค่ไหน,how important,小王不了解一份好工作有多重要。,Tiểu Vương không hiểu một công việc tốt quan trọng cỡ nào.,เสี่ยวหวังไม่เข้าใจว่างานดีหนึ่งงานสำคัญแค่ไหน,Xiaowang does not understand how important a good job is.
美國,měi guó,Mỹ,สหรัฐอเมริกา,the United States,週末，小美和朋友一起去美國，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến Mỹ, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปสหรัฐอเมริกาด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the the United States and took many photos there."
博物館,bó wù guǎn,bảo tàng,พิพิธภัณฑ์,museum,週末，小美和朋友一起去博物館，他們在那裡拍了很多照片。,"Cuối tuần, Tiểu Mỹ và bạn bè cùng đến bảo tàng, họ chụp nhiều ảnh ở đó.",วันหยุดสุดสัปดาห์ เสี่ยวเหม่ยกับเพื่อนไปพิพิธภัณฑ์ด้วยกัน และถ่ายรูปหลายรูปที่นั่น,"On the weekend, Xiaomei and her friends went to the museum and took many photos there."
上班,shàng bān,đi làm,ไปทำงาน,to go to work,今天下午，小美要上班，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải đi làm, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องไปทำงาน ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to go to work, so she arranged her time first."
準備,zhǔn bèi,chuẩn bị,เตรียม,to prepare,今天下午，小美要準備，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải chuẩn bị, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องเตรียม ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to prepare, so she arranged her time first."
出國工作,chū guó gōng zuò,ra nước ngoài làm việc,ไปทำงานต่างประเทศ,to work abroad,今天下午，小美要出國工作，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải ra nước ngoài làm việc, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องไปทำงานต่างประเทศ ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to work abroad, so she arranged her time first."
已經,yǐ jīng,đã,แล้ว,already,小美已經會去公園散步，這已經成為她的習慣。,"Tiểu Mỹ đã sẽ đi dạo ở công viên, điều này đã trở thành thói quen của cô ấy.",เสี่ยวเหม่ยแล้วจะไปเดินเล่นที่สวนสาธารณะ สิ่งนี้กลายเป็นนิสัยของเธอแล้ว,"Xiaomei already goes for a walk in the park, and it has become her habit."
舞會,wǔ huì,buổi khiêu vũ,งานเต้นรำ,dance party,今天晚上有一個舞會，小明玩得很愉快。,"Tối nay có một buổi khiêu vũ, Tiểu Minh chơi rất vui.",คืนนี้มีงานเต้นรำหนึ่งงาน เสี่ยวหมิงสนุกมาก,"There was a dance party tonight, and Xiaoming had a great time."
玩得,wán dé,chơi / vui vẻ đến mức,เล่นได้ / สนุกอย่าง,to play / have fun,小明在舞會上玩得很愉快，還認識了新朋友。,Tiểu Minh chơi rất vui ở buổi khiêu vũ và còn quen bạn mới.,เสี่ยวหมิงสนุกมากในงานเต้นรำ และยังรู้จักเพื่อนใหม่ด้วย,Xiaoming had a great time at the dance party and also met a new friend.
愉快,yú kuài,vui vẻ,ร่าเริง / สนุกสนาน,happy / pleasant,今天的情況很愉快，所以大家都需要小心一點。,"Tình huống hôm nay rất vui vẻ, nên mọi người đều cần cẩn thận hơn một chút.",สถานการณ์วันนี้ร่าเริง / สนุกสนานมาก ดังนั้นทุกคนต้องระวังมากขึ้นหน่อย,"Today’s situation is very happy / pleasant, so everyone needs to be a little careful."
注意,zhù yì,chú ý,ระวัง / สังเกต,to pay attention,今天下午，小美要注意，所以她先把時間安排好。,"Chiều nay, Tiểu Mỹ phải chú ý, nên cô ấy sắp xếp thời gian trước.",บ่ายวันนี้ เสี่ยวเหม่ยต้องระวัง / สังเกต ดังนั้นเธอจัดเวลาก่อนไว้แล้ว,"This afternoon, Xiaomei needs to to pay attention, so she arranged her time first."
紅頭髮,hóng tóu fà,tóc đỏ,ผมสีแดง,red hair,舞會上那位紅頭髮的女孩子和小明聊得很開心。,Cô gái tóc đỏ ở buổi khiêu vũ trò chuyện rất vui với Tiểu Minh.,ผู้หญิงผมสีแดงในงานเต้นรำคุยกับเสี่ยวหมิงอย่างสนุกสนาน,The red-haired girl at the dance party chatted happily with Xiaoming.
