中文,漢語拼音,越南語,泰語 (Thai),英文,例句,例句英文,例句越南語,例句泰語
方便,fāng biàn,tiện lợi,สะดวก,convenient,從白小姐家到市場很方便。,It is convenient to go from Miss Bai’s home to the market.,Từ nhà cô Bạch đến chợ rất thuận tiện.,จากบ้านคุณไป๋ไปตลาดสะดวกมาก
留言,liú yán,để lại lời nhắn,ฝากข้อความ,to leave a message,所以留言給你。,So I left you a message.,Vì vậy tôi để lại lời nhắn cho bạn.,ดังนั้นจึงฝากข้อความไว้ให้คุณ
兩個小時後,liǎng ge xiǎo shí hòu,hai tiếng sau,หลังจากสองชั่วโมง / อีกสองชั่วโมงต่อมา,two hours later,兩個小時後，我要去哪裡開會？,"Two hours later, where should I go for the meeting?","Hai tiếng nữa, tôi phải đi đâu họp?",อีกสองชั่วโมงต่อมา ฉันต้องไปประชุมที่ไหน
開會,kāi huì,họp,ประชุม,to have a meeting,我要去哪裡開會？,Where should I go for the meeting?,Tôi phải đi đâu họp?,ฉันต้องไปประชุมที่ไหน
有問題,yǒu wèn tí,có vấn đề / có câu hỏi,มีปัญหา / มีคำถาม,to have a problem / to have a question,有問題請打給陳小姐。,"If you have any questions, please call Miss Chen.","Nếu có vấn đề, vui lòng gọi cho cô Trần.",ถ้ามีปัญหา กรุณาโทรหาคุณเฉิน
寄,jì,gửi / gửi qua bưu điện,ส่ง / ส่งทางไปรษณีย์,to send / to mail,林先生把書寄出去了。,Mr. Lin sent the books out.,Ông Lâm đã gửi sách đi rồi.,คุณหลินส่งหนังสือออกไปแล้ว
拿,ná,lấy / cầm / nhận,เอา / ถือ / รับ,to take / to hold / to pick up,拿書時請記得給錢。,Please remember to pay when you pick up the books.,"Khi lấy sách, vui lòng nhớ trả tiền.",ตอนรับหนังสือ กรุณาอย่าลืมจ่ายเงิน
請假,qǐng jià,xin nghỉ phép,ขอลา,to ask for leave / to take leave,今天下午請假。,I’m taking leave this afternoon.,Chiều nay tôi xin nghỉ.,บ่ายวันนี้ขอลา
辦公室,bàn gōng shì,văn phòng,ออฟฟิศ / สำนักงาน,office,不在辦公室。,I’m not in the office.,Không có mặt ở văn phòng.,ไม่อยู่ที่ออฟฟิศ
醫院,yī yuàn,bệnh viện,โรงพยาบาล,hospital,送媽媽去醫院。,Take my mom to the hospital.,Đưa mẹ đi bệnh viện.,พาแม่ไปโรงพยาบาล
已經,yǐ jīng,đã,แล้ว,already,王明已經下班回家。,Wang Ming has already gotten off work and gone home.,Vương Minh đã tan làm về nhà rồi.,หวังหมิงเลิกงานกลับบ้านแล้ว
下班,xià bān,tan làm,เลิกงาน,to get off work,我下班前一定會回來。,I will definitely come back before getting off work.,Trước khi tan làm tôi nhất định sẽ quay lại.,ก่อนเลิกงานฉันจะกลับมาแน่นอน
白天,bái tiān,ban ngày,ตอนกลางวัน,daytime / during the day,白天騎車就開燈。,Turn on the lights when riding during the day.,Ban ngày đi xe thì bật đèn.,ขี่รถตอนกลางวันก็เปิดไฟ
開燈,kāi dēng,bật đèn,เปิดไฟ,to turn on the light,開燈以後，看得更清楚。,"After turning on the lights, you can see more clearly.","Sau khi bật đèn, nhìn rõ hơn.",หลังจากเปิดไฟแล้ว จะมองเห็นชัดขึ้น
更,gèng,hơn / càng,ยิ่งขึ้น / มากขึ้น,even more / more,騎車更安全。,Riding is safer.,Đi xe an toàn hơn.,ขี่รถปลอดภัยขึ้น
清楚,qīng chǔ,rõ ràng,ชัดเจน,clear / clearly,看得更清楚。,See more clearly.,Nhìn rõ hơn.,มองเห็นชัดขึ้น
安全,ān quán,an toàn,ปลอดภัย,safe / safety,騎車更安全。,Riding is safer.,Đi xe an toàn hơn.,ขี่รถปลอดภัยขึ้น
警察,jǐng chá,cảnh sát,ตำรวจ,police,交通警察關心您！,The traffic police care about you!,Cảnh sát giao thông quan tâm đến bạn!,ตำรวจจราจรเป็นห่วงคุณ
戴安全帽,dài ān quán mào,đội mũ bảo hiểm,สวมหมวกกันน็อก,to wear a helmet,警察要大家騎車戴著安全帽。,The police want everyone to wear a helmet when riding.,Cảnh sát muốn mọi người đội mũ bảo hiểm khi đi xe.,ตำรวจอยากให้ทุกคนสวมหมวกกันน็อกเวลาขี่รถ
不只晚上,bù zhǐ wǎn shàng,không chỉ buổi tối,ไม่ใช่แค่ตอนกลางคืน,not only at night,警察要大家不只晚上騎車開燈。,"The police want everyone to turn on the lights when riding, not only at night.",Cảnh sát muốn mọi người không chỉ buổi tối mới bật đèn khi đi xe.,ตำรวจอยากให้ทุกคนไม่ใช่แค่ตอนกลางคืนที่เปิดไฟเวลาขี่รถ
每個人,měi ge rén,mỗi người / mọi người,ทุกคน,everyone / every person,每個人坐車都需要付錢。,Everyone needs to pay when taking the bus.,Mỗi người đi xe đều cần trả tiền.,ทุกคนที่ขึ้นรถต้องจ่ายเงิน
需要,xū yào,cần / cần phải,ต้องการ / จำเป็นต้อง,to need / need to,每個人坐車都需要付錢。,Everyone needs to pay when taking the bus.,Mỗi người đi xe đều cần trả tiền.,ทุกคนที่ขึ้นรถต้องจ่ายเงิน
付錢,fù qián,trả tiền,จ่ายเงิน,to pay money,每個人坐車都需要付錢。,Everyone needs to pay when taking the bus.,Mỗi người đi xe đều cần trả tiền.,ทุกคนที่ขึ้นรถต้องจ่ายเงิน
不用,bú yòng,không cần,ไม่ต้อง,do not need to,所有人都不用錢。,Everyone does not need to pay.,Tất cả mọi người đều không cần trả tiền.,ทุกคนไม่ต้องเสียเงิน
車票,chē piào,vé xe,ตั๋วรถ,ticket,十月十日坐車不用買車票。,"On October 10, people do not need to buy a ticket when taking the bus.",Ngày 10 tháng 10 đi xe không cần mua vé.,วันที่ 10 ตุลาคม ขึ้นรถไม่ต้องซื้อตั๋ว
公車,gōng chē,xe buýt,รถเมล์,bus,十月十日搭公車，所有人都不用錢。,"On October 10, everyone can take the bus for free.","Ngày 10 tháng 10 đi xe buýt, tất cả mọi người đều không cần trả tiền.",วันที่ 10 ตุลาคม นั่งรถเมล์ ทุกคนไม่ต้องเสียเงิน
服務,fú wù,dịch vụ / phục vụ,บริการ,service,國家生日那天沒有公車服務。,There is no bus service on the country’s birthday.,Ngày sinh nhật của đất nước không có dịch vụ xe buýt.,วันชาติไม่มีบริการรถเมล์
班次,bān cì,chuyến / số chuyến,เที่ยวรถ / ขบวนรถ,train number / service number,火車班次。,Train service number.,Chuyến tàu / số hiệu tàu.,ขบวนรถไฟ
出發,chū fā,xuất phát,ออกเดินทาง,to depart / to leave,出發時間。,Departure time.,Thời gian xuất phát.,เวลาออกเดินทาง
時間,shí jiān,thời gian,เวลา,time,出發時間。,Departure time.,Thời gian xuất phát.,เวลาออกเดินทาง
起點,qǐ diǎn,điểm xuất phát,จุดเริ่มต้น,starting point,起點：高華市。,Starting point: Gaohua City.,Điểm xuất phát: thành phố Cao Hoa.,จุดเริ่มต้น: เมืองเกาฮวา
目的地,mù dì dì,điểm đến,จุดหมายปลายทาง,destination,目的地：舊城。,Destination: Jiucheng.,Điểm đến: Cựu Thành.,จุดหมายปลายทาง: จิ้วเฉิง
舊城區,jiù chéng qū,khu phố cổ / khu thành cũ,เขตเมืองเก่า,old town area / old city district,中午以後才有車子到舊城。,Only after noon is there a train to Jiucheng.,Sau buổi trưa mới có xe đến Cựu Thành.,หลังเที่ยงถึงจะมีรถไปจิ้วเฉิง
只有,zhǐ yǒu,chỉ có,มีแค่ / เพียงแต่,only / there is only,只有下午才有到新城的火車。,There are trains to Xincheng only in the afternoon.,Chỉ buổi chiều mới có tàu đến Tân Thành.,มีรถไฟไปซินเฉิงเฉพาะตอนบ่ายเท่านั้น
下午,xià wǔ,buổi chiều,ตอนบ่าย,afternoon,只有下午才有到新城的火車。,There are trains to Xincheng only in the afternoon.,Chỉ buổi chiều mới có tàu đến Tân Thành.,มีรถไฟไปซินเฉิงเฉพาะตอนบ่ายเท่านั้น
才,cái,mới / chỉ khi,ถึงจะ / จึงจะ,only then / not until,中午以後才有車子到舊城。,Only after noon is there a train to Jiucheng.,Sau buổi trưa mới có xe đến Cựu Thành.,หลังเที่ยงถึงจะมีรถไปจิ้วเฉิง
服務員,fú wù yuán,nhân viên phục vụ,พนักงานบริการ,service staff / waiter / waitress,學生餐廳需要服務員。,The student cafeteria needs service staff.,Nhà ăn sinh viên cần nhân viên phục vụ.,โรงอาหารนักเรียนต้องการพนักงานบริการ
每天,měi tiān,mỗi ngày,ทุกวัน,every day,這裡的服務員每天都要上班。,The service staff here have to work every day.,Nhân viên phục vụ ở đây ngày nào cũng phải đi làm.,พนักงานบริการที่นี่ต้องทำงานทุกวัน
經驗多,jīng yàn duō,nhiều kinh nghiệm,มีประสบการณ์มาก,to have more experience,經驗多的人可以拿比較多的錢。,People with more experience can get more money.,Người có nhiều kinh nghiệm có thể nhận được nhiều tiền hơn.,คนที่มีประสบการณ์มากกว่าสามารถได้เงินมากกว่า
比較多錢,bǐ jiào duō qián,nhiều tiền hơn,เงินมากกว่า,more money,經驗多的人可以拿比較多的錢。,People with more experience can get more money.,Người có nhiều kinh nghiệm có thể nhận được nhiều tiền hơn.,คนที่มีประสบการณ์มากกว่าสามารถได้เงินมากกว่า
有興趣的人,yǒu xìng qù de rén,người có hứng thú / người quan tâm,คนที่สนใจ,interested people / people who are interested,如果你有興趣，請直接到餐廳找陳先生。,"If you are interested, please go directly to the cafeteria to find Mr. Chen.","Nếu bạn có hứng thú, vui lòng trực tiếp đến nhà ăn tìm ông Trần.",ถ้าคุณสนใจ กรุณาไปที่โรงอาหารเพื่อพบคุณเฉินโดยตรง
直接,zhí jiē,trực tiếp,โดยตรง,directly,請直接到餐廳找陳先生。,Please go directly to the cafeteria to find Mr. Chen.,Vui lòng trực tiếp đến nhà ăn tìm ông Trần.,กรุณาไปที่โรงอาหารเพื่อพบคุณเฉินโดยตรง
